prov_id,grupo_edad,sexo,anio,value
2,20-24,Varón,2005,106477
2,20-24,Mujer,2005,112614
2,25-29,Varón,2005,121844
2,25-29,Mujer,2005,131087
2,30-34,Varón,2005,113159
2,30-34,Mujer,2005,120458
2,35-39,Varón,2005,100148
2,35-39,Mujer,2005,103785
2,40-44,Varón,2005,91001
2,40-44,Mujer,2005,98155
2,45-49,Varón,2005,85242
2,45-49,Mujer,2005,96698
2,50-54,Varón,2005,80672
2,50-54,Mujer,2005,95391
2,55-59,Varón,2005,73295
2,55-59,Mujer,2005,92452
2,60-64,Varón,2005,64545
2,60-64,Mujer,2005,88007
2,65-69,Varón,2005,54247
2,65-69,Mujer,2005,81055
2,70-74,Varón,2005,47968
2,70-74,Mujer,2005,76259
2,75-79,Varón,2005,38193
2,75-79,Mujer,2005,71564
2,80 y más,Varón,2005,39349
2,80 y más,Mujer,2005,100219
6,20-24,Varón,2005,601552
6,20-24,Mujer,2005,587106
6,25-29,Varón,2005,639755
6,25-29,Mujer,2005,625623
6,30-34,Varón,2005,545347
6,30-34,Mujer,2005,536850
6,35-39,Varón,2005,471958
6,35-39,Mujer,2005,473785
6,40-44,Varón,2005,429447
6,40-44,Mujer,2005,442770
6,45-49,Varón,2005,396781
6,45-49,Mujer,2005,430543
6,50-54,Varón,2005,368311
6,50-54,Mujer,2005,406716
6,55-59,Varón,2005,326561
6,55-59,Mujer,2005,364320
6,60-64,Varón,2005,275003
6,60-64,Mujer,2005,309712
6,65-69,Varón,2005,218281
6,65-69,Mujer,2005,267592
6,70-74,Varón,2005,176663
6,70-74,Mujer,2005,243633
6,75-79,Varón,2005,129902
6,75-79,Mujer,2005,203887
6,80 y más,Varón,2005,103959
6,80 y más,Mujer,2005,211345
10,20-24,Varón,2005,15970
10,20-24,Mujer,2005,15403
10,25-29,Varón,2005,15420
10,25-29,Mujer,2005,14845
10,30-34,Varón,2005,12931
10,30-34,Mujer,2005,12456
10,35-39,Varón,2005,10984
10,35-39,Mujer,2005,10606
10,40-44,Varón,2005,10030
10,40-44,Mujer,2005,9604
10,45-49,Varón,2005,9280
10,45-49,Mujer,2005,9002
10,50-54,Varón,2005,8353
10,50-54,Mujer,2005,8225
10,55-59,Varón,2005,6771
10,55-59,Mujer,2005,6694
10,60-64,Varón,2005,5010
10,60-64,Mujer,2005,5420
10,65-69,Varón,2005,3964
10,65-69,Mujer,2005,4619
10,70-74,Varón,2005,3159
10,70-74,Mujer,2005,4006
10,75-79,Varón,2005,2237
10,75-79,Mujer,2005,3171
10,80 y más,Varón,2005,1816
10,80 y más,Mujer,2005,3101
14,20-24,Varón,2005,140453
14,20-24,Mujer,2005,137437
14,25-29,Varón,2005,147071
14,25-29,Mujer,2005,145077
14,30-34,Varón,2005,114674
14,30-34,Mujer,2005,112298
14,35-39,Varón,2005,98805
14,35-39,Mujer,2005,98285
14,40-44,Varón,2005,94441
14,40-44,Mujer,2005,96473
14,45-49,Varón,2005,86336
14,45-49,Mujer,2005,92625
14,50-54,Varón,2005,82182
14,50-54,Mujer,2005,88570
14,55-59,Varón,2005,73509
14,55-59,Mujer,2005,81532
14,60-64,Varón,2005,61945
14,60-64,Mujer,2005,70968
14,65-69,Varón,2005,51060
14,65-69,Mujer,2005,62573
14,70-74,Varón,2005,41111
14,70-74,Mujer,2005,55610
14,75-79,Varón,2005,29231
14,75-79,Mujer,2005,45538
14,80 y más,Varón,2005,23479
14,80 y más,Mujer,2005,49847
18,20-24,Varón,2005,44927
18,20-24,Mujer,2005,43183
18,25-29,Varón,2005,39287
18,25-29,Mujer,2005,40202
18,30-34,Varón,2005,30249
18,30-34,Mujer,2005,31070
18,35-39,Varón,2005,27499
18,35-39,Mujer,2005,28084
18,40-44,Varón,2005,27388
18,40-44,Mujer,2005,27916
18,45-49,Varón,2005,24543
18,45-49,Mujer,2005,25475
18,50-54,Varón,2005,22698
18,50-54,Mujer,2005,22256
18,55-59,Varón,2005,18189
18,55-59,Mujer,2005,18138
18,60-64,Varón,2005,13892
18,60-64,Mujer,2005,15062
18,65-69,Varón,2005,10975
18,65-69,Mujer,2005,13321
18,70-74,Varón,2005,8316
18,70-74,Mujer,2005,10755
18,75-79,Varón,2005,5705
18,75-79,Mujer,2005,7879
18,80 y más,Varón,2005,4844
18,80 y más,Mujer,2005,8506
22,20-24,Varón,2005,47497
22,20-24,Mujer,2005,46146
22,25-29,Varón,2005,40749
22,25-29,Mujer,2005,40518
22,30-34,Varón,2005,31485
22,30-34,Mujer,2005,32118
22,35-39,Varón,2005,28608
22,35-39,Mujer,2005,29047
22,40-44,Varón,2005,28635
22,40-44,Mujer,2005,28628
22,45-49,Varón,2005,26117
22,45-49,Mujer,2005,26290
22,50-54,Varón,2005,23219
22,50-54,Mujer,2005,22367
22,55-59,Varón,2005,18045
22,55-59,Mujer,2005,17253
22,60-64,Varón,2005,13622
22,60-64,Mujer,2005,14455
22,65-69,Varón,2005,11035
22,65-69,Mujer,2005,12946
22,70-74,Varón,2005,8262
22,70-74,Mujer,2005,10408
22,75-79,Varón,2005,5415
22,75-79,Mujer,2005,7340
22,80 y más,Varón,2005,3833
22,80 y más,Mujer,2005,5982
26,20-24,Varón,2005,19683
26,20-24,Mujer,2005,18783
26,25-29,Varón,2005,18624
26,25-29,Mujer,2005,17954
26,30-34,Varón,2005,16395
26,30-34,Mujer,2005,16121
26,35-39,Varón,2005,14824
26,35-39,Mujer,2005,14623
26,40-44,Varón,2005,14372
26,40-44,Mujer,2005,14022
26,45-49,Varón,2005,12787
26,45-49,Mujer,2005,12655
26,50-54,Varón,2005,11213
26,50-54,Mujer,2005,11251
26,55-59,Varón,2005,8989
26,55-59,Mujer,2005,8904
26,60-64,Varón,2005,7055
26,60-64,Mujer,2005,7170
26,65-69,Varón,2005,5609
26,65-69,Mujer,2005,5999
26,70-74,Varón,2005,3854
26,70-74,Mujer,2005,4670
26,75-79,Varón,2005,2590
26,75-79,Mujer,2005,3445
26,80 y más,Varón,2005,1902
26,80 y más,Mujer,2005,3315
30,20-24,Varón,2005,51488
30,20-24,Mujer,2005,50012
30,25-29,Varón,2005,47989
30,25-29,Mujer,2005,46790
30,30-34,Varón,2005,40923
30,30-34,Mujer,2005,39963
30,35-39,Varón,2005,37014
30,35-39,Mujer,2005,36530
30,40-44,Varón,2005,36044
30,40-44,Mujer,2005,35832
30,45-49,Varón,2005,32134
30,45-49,Mujer,2005,34073
30,50-54,Varón,2005,30785
30,50-54,Mujer,2005,31525
30,55-59,Varón,2005,26436
30,55-59,Mujer,2005,27593
30,60-64,Varón,2005,22018
30,60-64,Mujer,2005,23859
30,65-69,Varón,2005,17577
30,65-69,Mujer,2005,21363
30,70-74,Varón,2005,13237
30,70-74,Mujer,2005,18708
30,75-79,Varón,2005,9118
30,75-79,Mujer,2005,15118
30,80 y más,Varón,2005,7874
30,80 y más,Mujer,2005,16969
34,20-24,Varón,2005,23192
34,20-24,Mujer,2005,22376
34,25-29,Varón,2005,18988
