,,"2019","2019"
"Indicator","Age Group","Male","Female"
"lx - number of people left alive at age x","15-19  years","98770.29414","99015.03949"
"lx - number of people left alive at age x","20-24 years","98328.4754","98811.82099"
"lx - number of people left alive at age x","25-29 years","97648.59076","98542.10248"
"lx - number of people left alive at age x","30-34 years","96997.57994","98257.61885"
"lx - number of people left alive at age x","35-39 years","96298.78607","97889.69055"
"lx - number of people left alive at age x","40-44 years","95386.37498","97340.83661"
"lx - number of people left alive at age x","45-49 years","94228.0022","96592.00187"
"lx - number of people left alive at age x","50-54 years","92417.20236","95441.65065"
"lx - number of people left alive at age x","55-59 years","89591.16145","93780.42519"
"lx - number of people left alive at age x","60-64 years","85071.85545","91170.49198"
"lx - number of people left alive at age x","65-69 years","78228.12718","87105.73835"
"lx - number of people left alive at age x","70-74 years","68546.20957","81312.23623"
"lx - number of people left alive at age x","75-79 years","55636.05915","72766.7554"
"lx - number of people left alive at age x","80-84 years","40745.57218","61218.222"
"lx - number of people left alive at age x","85+ years","24341.55469","44698.85335"
"Tx - person-years lived above age x","15-19  years","5867044.357","6463094.999"
"Tx - person-years lived above age x","20-24 years","5374297.433","5968527.848"
"Tx - person-years lived above age x","25-29 years","4884354.768","5475143.039"
"Tx - person-years lived above age x","30-34 years","4397739.341","4983143.736"
"Tx - person-years lived above age x","35-39 years","3914498.426","4492775.463"
"Tx - person-years lived above age x","40-44 years","3435285.524","4004699.145"
"Tx - person-years lived above age x","45-49 years","2961249.581","3519867.048"
"Tx - person-years lived above age x","50-54 years","2494636.569","3039782.917"
"Tx - person-years lived above age x","55-59 years","2039615.66","2566727.728"
"Tx - person-years lived above age x","60-64 years","1602958.117","2104350.435"
"Tx - person-years lived above age x","65-69 years","1194708.161","1658659.859"
"Tx - person-years lived above age x","70-74 years","827772.319","1237614.922"
"Tx - person-years lived above age x","75-79 years","517316.6473","852417.4432"
"Tx - person-years lived above age x","80-84 years","276362.5689","517454.9997"
"Tx - person-years lived above age x","85+ years","113644.7518","252662.3113"
"ex - expectation of life at age x","15-19  years","59.40089992","65.27387185"
"ex - expectation of life at age x","20-24 years","54.65657239","60.40297394"
"ex - expectation of life at age x","25-29 years","50.0197159","55.56145953"
"ex - expectation of life at age x","30-34 years","45.33865014","50.71508748"
"ex - expectation of life at age x","35-39 years","40.64950958","45.89630877"
"ex - expectation of life at age x","40-44 years","36.01442579","41.1409978"
"ex - expectation of life at age x","45-49 years","31.42642857","36.44056423"
"ex - expectation of life at age x","50-54 years","26.99320587","31.84964737"
"ex - expectation of life at age x","55-59 years","22.76581336","27.36954671"
"ex - expectation of life at age x","60-64 years","18.84240221","23.081486"
"ex - expectation of life at age x","65-69 years","15.27210485","19.04191262"
"ex - expectation of life at age x","70-74 years","12.07612097","15.22052497"
"ex - expectation of life at age x","75-79 years","9.29822592","11.71438026"
"ex - expectation of life at age x","80-84 years","6.782640522","8.452630325"
"ex - expectation of life at age x","85+ years","4.668754861","5.652545701"
