"DimensionCode","DimensionMemberCode","DisplayString","DisplaySequence","URL"
"AGEGROUP","AGELT1","<1 year","4",""
"AGEGROUP","AGE5-9","5-9 years","10",""
"AGEGROUP","AGE10-14","10-14 years","16",""
"AGEGROUP","AGE15-19","15-19  years","23",""
"AGEGROUP","AGE20-24","20-24 years","35",""
"AGEGROUP","AGE25-29","25-29 years","50",""
"AGEGROUP","AGE30-34","30-34 years","61",""
"AGEGROUP","AGE35-39","35-39 years","78",""
"AGEGROUP","AGE40-44","40-44 years","97",""
"AGEGROUP","AGE45-49","45-49 years","120",""
"AGEGROUP","AGE50-54","50-54 years","137",""
"AGEGROUP","AGE55-59","55-59 years","160",""
"AGEGROUP","AGE60-64","60-64 years","180",""
"AGEGROUP","AGE65-69","65-69 years","202",""
"AGEGROUP","AGE70-74","70-74 years","221",""
"AGEGROUP","AGE75-79","75-79 years","239",""
"AGEGROUP","AGE80-84","80-84 years","249",""
"AGEGROUP","AGE85-89","85-89 years","252",""
"AGEGROUP","AGE90-94","90-94 years","257",""
"AGEGROUP","AGE95-99","95-99 years","261",""
"AGEGROUP","AGE100+","100+ years","305",""
"AGEGROUP","AGE0-4","0-4 years","5",""
"AGEGROUP","AGE15-29","15-29 years","43",""
"AGEGROUP","AGE30-44","30-44 years","94",""
"AGEGROUP","AGE45-59","45-59 years","154",""
"AGEGROUP","AGE60-69","60-69 years","200",""
"AGEGROUP","AGE70-79","70-79 years","238",""
"AGEGROUP","AGE80+","80+ years","301",""
"AGEGROUP","AGEAll","Total (All ages)","0",""
"AGEGROUP","AGE0year","0 years","2",""
"AGEGROUP","AGE1-4","1-4 years","7",""
"AGEGROUP","AGE5-14","5-14 years","14",""
"AGEGROUP","AGE15-24","15-24 years","30",""
"AGEGROUP","AGE25-34","25-34 years","60",""
"AGEGROUP","AGE35-44","35-44 years","96",""
"AGEGROUP","AGE45-54","45-54 years","135",""
"AGEGROUP","AGE55-64","55-64 years","178",""
"AGEGROUP","AGE65-74","65-74 years","220",""
"AGEGROUP","AGE75+","75+ years","299",""
"AGEGROUP","AGEUnspecified","Unspecified","308",""
"AGEGROUP","AGE30-59","30-59 years","150",""
"AGEGROUP","AGE0-14","0-14 years","13",""
"AGEGROUP","AGE15-59","15-59 years","146",""
"AGEGROUP","AGE60+","60+ years","288",""
"AGEGROUP","AGE15-PLUS","15+ years","264",""
"AGEGROUP","AGE20-PLUS","20+ years","272",""
"AGEGROUP","AGE25-PLUS","25+ years","275",""
"AGEGROUP","AGE15-18","15-18 years","20",""
"AGEGROUP","AGE15-20","15-20 years","26",""
"AGEGROUP","AGE15-39","15-39 years","72",""
"AGEGROUP","AGE15-44","15-44 years","89",""
"AGEGROUP","AGE15-46","15-46 years","103",""
"AGEGROUP","AGE15-49","15-49 years","108",""
"AGEGROUP","AGE15-50","15-50 years","122",""
"AGEGROUP","AGE15-54","15-54 years","131",""
"AGEGROUP","AGE15-60","15-60 years","161",""
"AGEGROUP","AGE15-64","15-64 years","167",""
"AGEGROUP","AGE15-70","15-70 years","203",""
"AGEGROUP","AGE15-74","15-74 years","210",""
"AGEGROUP","AGE15-79","15-79 years","228",""
"AGEGROUP","AGE15-80","15-80 years","240",""
"AGEGROUP","AGE15-84","15-84 years","243",""
"AGEGROUP","AGE15-93","15-93 years","255",""
"AGEGROUP","AGE15-95","15-95 years","258",""
"AGEGROUP","AGE16-19","16-19 years","24",""
"AGEGROUP","AGE16-24","16-24 years","31",""
"AGEGROUP","AGE16-29","16-29 years","45",""
"AGEGROUP","AGE16-49","16-49 years","109",""
"AGEGROUP","AGE16-54","16-54 years","132",""
"AGEGROUP","AGE16-64","16-64 years","168",""
"AGEGROUP","AGE16-74","16-74 years","211",""
"AGEGROUP","AGE16-79","16-79 years","229",""
"AGEGROUP","AGE16-84","16-84 years","244",""
"AGEGROUP","AGE17-24","17-24 years","32",""
"AGEGROUP","AGE18-18","18-18 years","21",""
"AGEGROUP","AGE18-19","18-19 years","25",""
"AGEGROUP","AGE18-20","18-20 years","27",""
"AGEGROUP","AGE18-22","18-22 years","29",""
"AGEGROUP","AGE18-24","18-24 years","33",""
"AGEGROUP","AGE18-28","18-28 years","40",""
"AGEGROUP","AGE18-29","18-29 years","46",""
"AGEGROUP","AGE18-34","18-34 years","56",""
"AGEGROUP","AGE18-35","18-35 years","63",""
"AGEGROUP","AGE18-40","18-40 years","79",""
"AGEGROUP","AGE18-41","18-41 years","83",""
"AGEGROUP","AGE18-44","18-44 years","90",""
"AGEGROUP","AGE18-49","18-49 years","110",""
"AGEGROUP","AGE18-55","18-55 years","139",""
"AGEGROUP","AGE18-59","18-59 years","147",""
"AGEGROUP","AGE18-60","18-60 years","162",""
"AGEGROUP","AGE18-64","18-64 years","169",""
"AGEGROUP","AGE18-65","18-65 years","181",""
"AGEGROUP","AGE18-69","18-69 years","194",""
"AGEGROUP","AGE18-74","18-74 years","212",""
"AGEGROUP","AGE18-75","18-75 years","222",""
"AGEGROUP","AGE18-79","18-79 years","230",""
"AGEGROUP","AGE18-84","18-84 years","245",""
"AGEGROUP","AGE18-99","18-99 years","260",""
"AGEGROUP","AGE19-24","19-24 years","34",""
"AGEGROUP","AGE19-29","19-29 years","47",""
"AGEGROUP","AGE19-34","19-34 years","57",""
"AGEGROUP","AGE19-44","19-44 years","91",""
"AGEGROUP","AGE19-49","19-49 years","111",""
"AGEGROUP","AGE19-59","19-59 years","148",""
"AGEGROUP","AGE19-64","19-64 years","170",""
"AGEGROUP","AGE20-20","20-20 years","28",""
"AGEGROUP","AGE20-25","20-25 years","36",""
"AGEGROUP","AGE20-29","20-29 years","48",""
"AGEGROUP","AGE20-30","20-30 years","52",""
"AGEGROUP","AGE20-34","20-34 years","58",""
"AGEGROUP","AGE20-39","20-39 years","73",""
"AGEGROUP","AGE20-44","20-44 years","92",""
