,,"2019","2019"
"Indicator","Age Group","Male","Female"
"ex - expectation of life at age x","15-19  years","59.40089992","65.27387185"
"ex - expectation of life at age x","20-24 years","54.65657239","60.40297394"
"ex - expectation of life at age x","25-29 years","50.0197159","55.56145953"
"ex - expectation of life at age x","30-34 years","45.33865014","50.71508748"
"ex - expectation of life at age x","35-39 years","40.64950958","45.89630877"
"ex - expectation of life at age x","40-44 years","36.01442579","41.1409978"
"ex - expectation of life at age x","45-49 years","31.42642857","36.44056423"
"ex - expectation of life at age x","50-54 years","26.99320587","31.84964737"
"ex - expectation of life at age x","55-59 years","22.76581336","27.36954671"
"ex - expectation of life at age x","60-64 years","18.84240221","23.081486"
"ex - expectation of life at age x","65-69 years","15.27210485","19.04191262"
"ex - expectation of life at age x","70-74 years","12.07612097","15.22052497"
"ex - expectation of life at age x","75-79 years","9.29822592","11.71438026"
"ex - expectation of life at age x","80-84 years","6.782640522","8.452630325"
"ex - expectation of life at age x","85+ years","4.668754861","5.652545701"
