prov_res_cat,sexo,grupo_edad,anio_enfr,sum_defun,mean_defun,esp_vida,AVP
CABA,Masculino,20 a 24,2005,0,0,54.65657239,0
CABA,Masculino,20 a 24,2009,0,0,54.65657239,0
CABA,Masculino,20 a 24,2013,0,0,54.65657239,0
CABA,Masculino,20 a 24,2018,0,0,54.65657239,0
CABA,Masculino,25 a 29,2005,1,0.5,50.0197159,25.00985795
CABA,Masculino,25 a 29,2009,2,0.6666666666666666,50.0197159,33.34647726666667
CABA,Masculino,25 a 29,2013,2,0.6666666666666666,50.0197159,33.34647726666667
CABA,Masculino,25 a 29,2018,4,1.3333333333333333,50.0197159,66.69295453333334
CABA,Masculino,30 a 34,2005,2,1,45.33865014,45.33865014
CABA,Masculino,30 a 34,2009,1,0.3333333333333333,45.33865014,15.11288338
CABA,Masculino,30 a 34,2013,2,0.6666666666666666,45.33865014,30.22576676
CABA,Masculino,30 a 34,2018,1,0.3333333333333333,45.33865014,15.11288338
CABA,Masculino,35 a 39,2005,1,0.5,40.64950958,20.32475479
CABA,Masculino,35 a 39,2009,5,1.6666666666666667,40.64950958,67.74918263333333
CABA,Masculino,35 a 39,2013,1,0.3333333333333333,40.64950958,13.549836526666667
CABA,Masculino,35 a 39,2018,5,1.6666666666666667,40.64950958,67.74918263333333
CABA,Masculino,40 a 44,2005,3,1.5,36.01442579,54.021638685
CABA,Masculino,40 a 44,2009,4,1.3333333333333333,36.01442579,48.01923438666666
CABA,Masculino,40 a 44,2013,7,2.3333333333333335,36.01442579,84.03366017666667
CABA,Masculino,40 a 44,2018,4,1.3333333333333333,36.01442579,48.01923438666666
CABA,Masculino,45 a 49,2005,1,0.5,31.42642857,15.713214285
CABA,Masculino,45 a 49,2009,6,2,31.42642857,62.85285714
CABA,Masculino,45 a 49,2013,19,6.333333333333333,31.42642857,199.03404761
CABA,Masculino,45 a 49,2018,8,2.6666666666666665,31.42642857,83.80380951999999
CABA,Masculino,50 a 54,2005,13,6.5,26.99320587,175.455838155
CABA,Masculino,50 a 54,2009,12,4,26.99320587,107.97282348
CABA,Masculino,50 a 54,2013,19,6.333333333333333,26.99320587,170.95697051
CABA,Masculino,50 a 54,2018,16,5.333333333333333,26.99320587,143.96376464
CABA,Masculino,55 a 59,2005,17,8.5,22.76581336,193.50941355999998
CABA,Masculino,55 a 59,2009,22,7.333333333333333,22.76581336,166.94929797333333
CABA,Masculino,55 a 59,2013,39,13,22.76581336,295.95557368
CABA,Masculino,55 a 59,2018,35,11.666666666666666,22.76581336,265.60115586666666
CABA,Masculino,60 a 64,2005,22,11,18.84240221,207.26642431
CABA,Masculino,60 a 64,2009,41,13.666666666666666,18.84240221,257.5128302033333
CABA,Masculino,60 a 64,2013,55,18.333333333333332,18.84240221,345.44404051666663
CABA,Masculino,60 a 64,2018,56,18.666666666666668,18.84240221,351.72484125333335
CABA,Masculino,65 a 69,2005,25,12.5,15.27210485,190.901310625
CABA,Masculino,65 a 69,2009,37,12.333333333333334,15.27210485,188.35595981666668
CABA,Masculino,65 a 69,2013,68,22.666666666666668,15.27210485,346.16770993333336
CABA,Masculino,65 a 69,2018,58,19.333333333333332,15.27210485,295.26069376666663
CABA,Masculino,70 a 74,2005,39,19.5,12.07612097,235.484358915
CABA,Masculino,70 a 74,2009,76,25.333333333333332,12.07612097,305.92839790666665
CABA,Masculino,70 a 74,2013,65,21.666666666666668,12.07612097,261.64928768333334
CABA,Masculino,70 a 74,2018,78,26,12.07612097,313.97914522
CABA,Masculino,75 a 79,2005,42,21,9.29822592,195.26274432
CABA,Masculino,75 a 79,2009,63,21,9.29822592,195.26274432
CABA,Masculino,75 a 79,2013,91,30.333333333333332,9.29822592,282.04618624
CABA,Masculino,75 a 79,2018,63,21,9.29822592,195.26274432
CABA,Masculino,80 y más,2005,82,41,6.782640522,278.088261402
CABA,Masculino,80 y más,2009,163,54.333333333333336,6.782640522,368.523468362
CABA,Masculino,80 y más,2013,228,76,6.782640522,515.4806796720001
CABA,Masculino,80 y más,2018,165,55,6.782640522,373.04522871
CABA,Femenino,20 a 24,2005,0,0,60.40297394,0
CABA,Femenino,20 a 24,2009,1,0.3333333333333333,60.40297394,20.134324646666666
CABA,Femenino,20 a 24,2013,1,0.3333333333333333,60.40297394,20.134324646666666
CABA,Femenino,20 a 24,2018,2,0.6666666666666666,60.40297394,40.26864929333333
CABA,Femenino,25 a 29,2005,0,0,55.56145953,0
CABA,Femenino,25 a 29,2009,1,0.3333333333333333,55.56145953,18.520486509999998
CABA,Femenino,25 a 29,2013,1,0.3333333333333333,55.56145953,18.520486509999998
CABA,Femenino,25 a 29,2018,1,0.3333333333333333,55.56145953,18.520486509999998
CABA,Femenino,30 a 34,2005,2,1,50.71508748,50.71508748
CABA,Femenino,30 a 34,2009,2,0.6666666666666666,50.71508748,33.810058319999996
CABA,Femenino,30 a 34,2013,5,1.6666666666666667,50.71508748,84.5251458
