anio_enfr,prov_nombre,grupo_edad_10,sexo,defun_tri,defun_mean_tri,esp_vida,AVP
2005,Buenos Aires,20 a 29,Mujer,22,7.33,52.3461872453209,383.6975525082022
2005,Buenos Aires,20 a 29,Varón,14,4.67,57.98552512050548,270.7924023127606
2005,Buenos Aires,30 a 39,Mujer,27,9,43.00255580888662,387.02300227997955
2005,Buenos Aires,30 a 39,Varón,34,11.33,48.31021760118011,547.3547654213706
2005,Buenos Aires,40 a 49,Mujer,91,30.33,33.73444144969978,1023.1656091693943
2005,Buenos Aires,40 a 49,Varón,136,45.33,38.79985592938144,1758.7974692788605
2005,Buenos Aires,50 a 59,Mujer,271,90.33,24.912328939637863,2250.330673117488
2005,Buenos Aires,50 a 59,Varón,460,153.33,29.629262971095834,4543.054891358124
2005,Buenos Aires,60 a 69,Mujer,756,252,17.132067211169673,4317.280937214758
2005,Buenos Aires,60 a 69,Varón,1051,350.33,21.107751084002853,7394.678437258719
2005,Buenos Aires,70 a 79,Mujer,1301,433.67,10.831570240779218,4697.327066318724
2005,Buenos Aires,70 a 79,Varón,1551,517,13.564680967142696,7012.940060012774
2005,Buenos Aires,80+,Mujer,1518,506,5.992080760900239,3031.992865015521
2005,Buenos Aires,80+,Varón,944,314.67,7.2709457701241185,2287.9485054849565
2005,Catamarca,20 a 29,Mujer,2,0.67,52.3461872453209,35.07194545436501
2005,Catamarca,20 a 29,Varón,0,0,57.98552512050548,0
2005,Catamarca,30 a 39,Mujer,2,0.67,43.00255580888662,28.811712391954035
2005,Catamarca,30 a 39,Varón,1,0.33,48.31021760118011,15.942371808389439
2005,Catamarca,40 a 49,Mujer,4,1.33,33.73444144969978,44.86680712810071
2005,Catamarca,40 a 49,Varón,5,1.67,38.79985592938144,64.79575940206699
2005,Catamarca,50 a 59,Mujer,21,7,24.912328939637863,174.38630257746505
2005,Catamarca,50 a 59,Varón,22,7.33,29.629262971095834,217.18249757813246
2005,Catamarca,60 a 69,Mujer,20,6.67,17.132067211169673,114.27088829850172
2005,Catamarca,60 a 69,Varón,25,8.33,21.107751084002853,175.82756652974376
2005,Catamarca,70 a 79,Mujer,39,13,10.831570240779218,140.81041313012983
2005,Catamarca,70 a 79,Varón,42,14,13.564680967142696,189.90553353999775
2005,Catamarca,80+,Mujer,33,11,5.992080760900239,65.91288836990263
2005,Catamarca,80+,Varón,32,10.67,7.2709457701241185,77.58099136722434
2005,Chaco,20 a 29,Mujer,2,0.67,52.3461872453209,35.07194545436501
2005,Chaco,20 a 29,Varón,0,0,57.98552512050548,0
2005,Chaco,30 a 39,Mujer,3,1,43.00255580888662,43.00255580888662
2005,Chaco,30 a 39,Varón,3,1,48.31021760118011,48.31021760118011
2005,Chaco,40 a 49,Mujer,11,3.67,33.73444144969978,123.80540012039819
2005,Chaco,40 a 49,Varón,8,2.67,38.79985592938144,103.59561533144843
2005,Chaco,50 a 59,Mujer,32,10.67,24.912328939637863,265.814549785936
2005,Chaco,50 a 59,Varón,60,20,29.629262971095834,592.5852594219167
2005,Chaco,60 a 69,Mujer,81,27,17.132067211169673,462.5658147015812
2005,Chaco,60 a 69,Varón,72,24,21.107751084002853,506.58602601606844
2005,Chaco,70 a 79,Mujer,107,35.67,10.831570240779218,386.36211048859474
2005,Chaco,70 a 79,Varón,96,32,13.564680967142696,434.06979094856626
2005,Chaco,80+,Mujer,83,27.67,5.992080760900239,165.80087465410963
2005,Chaco,80+,Varón,44,14.67,7.2709457701241185,106.66477444772082
2005,Chubut,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,Chubut,20 a 29,Varón,0,0,57.98552512050548,0
2005,Chubut,30 a 39,Mujer,3,1,43.00255580888662,43.00255580888662
2005,Chubut,30 a 39,Varón,2,0.67,48.31021760118011,32.367845792790675
2005,Chubut,40 a 49,Mujer,1,0.33,33.73444144969978,11.132365678400928
2005,Chubut,40 a 49,Varón,3,1,38.79985592938144,38.79985592938144
2005,Chubut,50 a 59,Mujer,8,2.67,24.912328939637863,66.51591826883309
2005,Chubut,50 a 59,Varón,18,6,29.629262971095834,177.775577826575
2005,Chubut,60 a 69,Mujer,22,7.33,17.132067211169673,125.5780526578737
2005,Chubut,60 a 69,Varón,33,11,21.107751084002853,232.18526192403138
2005,Chubut,70 a 79,Mujer,21,7,10.831570240779218,75.82099168545453
2005,Chubut,70 a 79,Varón,42,14,13.564680967142696,189.90553353999775
2005,Chubut,80+,Mujer,28,9.33,5.992080760900239,55.906113499199236
2005,Chubut,80+,Varón,16,5.33,7.2709457701241185,38.75414095476155
2005,CABA,20 a 29,Mujer,0,0,52.3461872453209,0
2005,CABA,20 a 29,Varón,1,0.33,57.98552512050548,19.13522328976681
2005,CABA,30 a 39,Mujer,3,1,43.00255580888662,43.00255580888662
2005,CABA,30 a 39,Varón,5,1.67,48.31021760118011,80.67806339397079
2005,CABA,40 a 49,Mujer,6,2,33.73444144969978,67.46888289939956
2005,CABA,40 a 49,Varón,7,2.33,38.79985592938144,90.40366431545876
2005,CABA,50 a 59,Mujer,25,8.33,24.912328939637863,207.5197000671834
2005,CABA,50 a 59,Varón,47,15.67,29.629262971095834,464.2905507570717
2005,CABA,60 a 69,Mujer,62,20.67,17.132067211169673,354.1198292548772
2005,CABA,60 a 69,Varón,92,30.67,21.107751084002853,647.3747257463675
2005,CABA,70 a 79,Mujer,149,49.67,10.831570240779218,538.0040938595038
2005,CABA,70 a 79,Varón,171,57,13.564680967142696,773.1868151271336
2005,CABA,80+,Mujer,304,101.33,5.992080760900239,607.1775435020212
2005,CABA,80+,Varón,149,49.67,7.2709457701241185,361.147876402065
2005,Córdoba,20 a 29,Mujer,5,1.67,52.3461872453209,87.4181326996859
2005,Córdoba,20 a 29,Varón,2,0.67,57.98552512050548,38.85030183073867
2005,Córdoba,30 a 39,Mujer,12,4,43.00255580888662,172.01022323554648
2005,Córdoba,30 a 39,Varón,9,3,48.31021760118011,144.93065280354034
2005,Córdoba,40 a 49,Mujer,25,8.33,33.73444144969978,281.00789727599914
2005,Córdoba,40 a 49,Varón,40,13.33,38.79985592938144,517.2020795386545
2005,Córdoba,50 a 59,Mujer,118,39.33,24.912328939637863,979.8018971959572
2005,Córdoba,50 a 59,Varón,214,71.33,29.629262971095834,2113.4553277282657
2005,Córdoba,60 a 69,Mujer,312,104,17.132067211169673,1781.734989961646
2005,Córdoba,60 a 69,Varón,442,147.33,21.107751084002853,3109.8049672061406
2005,Córdoba,70 a 79,Mujer,475,158.33,10.831570240779218,1714.9625162225736
2005,Córdoba,70 a 79,Varón,594,198,13.564680967142696,2685.806831494254
2005,Córdoba,80+,Mujer,561,187,5.992080760900239,1120.5191022883448
2005,Córdoba,80+,Varón,308,102.67,7.2709457701241185,746.5080022186432
2005,Corrientes,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,Corrientes,20 a 29,Varón,1,0.33,57.98552512050548,19.13522328976681
2005,Corrientes,30 a 39,Mujer,3,1,43.00255580888662,43.00255580888662
2005,Corrientes,30 a 39,Varón,0,0,48.31021760118011,0
2005,Corrientes,40 a 49,Mujer,8,2.67,33.73444144969978,90.07095867069842
2005,Corrientes,40 a 49,Varón,13,4.33,38.79985592938144,168.00337617422161
2005,Corrientes,50 a 59,Mujer,27,9,24.912328939637863,224.21096045674076
2005,Corrientes,50 a 59,Varón,40,13.33,29.629262971095834,394.9580754047075
2005,Corrientes,60 a 69,Mujer,64,21.33,17.132067211169673,365.4269936142491
2005,Corrientes,60 a 69,Varón,89,29.67,21.107751084002853,626.2669746623646
2005,Corrientes,70 a 79,Mujer,100,33.33,10.831570240779218,361.0162361251713
2005,Corrientes,70 a 79,Varón,99,33,13.564680967142696,447.63447191570896
2005,Corrientes,80+,Mujer,80,26.67,5.992080760900239,159.80879389320938
2005,Corrientes,80+,Varón,43,14.33,7.2709457701241185,104.19265288587862
2005,Entre Ríos,20 a 29,Mujer,0,0,52.3461872453209,0
2005,Entre Ríos,20 a 29,Varón,1,0.33,57.98552512050548,19.13522328976681
2005,Entre Ríos,30 a 39,Mujer,7,2.33,43.00255580888662,100.19595503470583
2005,Entre Ríos,30 a 39,Varón,0,0,48.31021760118011,0
2005,Entre Ríos,40 a 49,Mujer,10,3.33,33.73444144969978,112.33569002750026
2005,Entre Ríos,40 a 49,Varón,13,4.33,38.79985592938144,168.00337617422161
2005,Entre Ríos,50 a 59,Mujer,42,14,24.912328939637863,348.7726051549301
2005,Entre Ríos,50 a 59,Varón,55,18.33,29.629262971095834,543.1043902601866
2005,Entre Ríos,60 a 69,Mujer,95,31.67,17.132067211169673,542.5725685777436
2005,Entre Ríos,60 a 69,Varón,137,45.67,21.107751084002853,963.9909920064104
2005,Entre Ríos,70 a 79,Mujer,145,48.33,10.831570240779218,523.4897897368596
2005,Entre Ríos,70 a 79,Varón,163,54.33,13.564680967142696,736.9691169448627
2005,Entre Ríos,80+,Mujer,170,56.67,5.992080760900239,339.57121672021657
2005,Entre Ríos,80+,Varón,92,30.67,7.2709457701241185,222.9999067697067
2005,Formosa,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,Formosa,20 a 29,Varón,0,0,57.98552512050548,0
2005,Formosa,30 a 39,Mujer,2,0.67,43.00255580888662,28.811712391954035
2005,Formosa,30 a 39,Varón,3,1,48.31021760118011,48.31021760118011
2005,Formosa,40 a 49,Mujer,9,3,33.73444144969978,101.20332434909935
2005,Formosa,40 a 49,Varón,2,0.67,38.79985592938144,25.995903472685566
2005,Formosa,50 a 59,Mujer,33,11,24.912328939637863,274.0356183360165
2005,Formosa,50 a 59,Varón,39,13,29.629262971095834,385.1804186242458
2005,Formosa,60 a 69,Mujer,51,17,17.132067211169673,291.24514258988444
2005,Formosa,60 a 69,Varón,54,18,21.107751084002853,379.93951951205133
2005,Formosa,70 a 79,Mujer,81,27,10.831570240779218,292.4523965010389
2005,Formosa,70 a 79,Varón,59,19.67,13.564680967142696,266.81727462369685
2005,Formosa,80+,Mujer,46,15.33,5.992080760900239,91.85859806460067
2005,Formosa,80+,Varón,23,7.67,7.2709457701241185,55.76815405685199
2005,Jujuy,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,Jujuy,20 a 29,Varón,0,0,57.98552512050548,0
2005,Jujuy,30 a 39,Mujer,0,0,43.00255580888662,0
2005,Jujuy,30 a 39,Varón,0,0,48.31021760118011,0
2005,Jujuy,40 a 49,Mujer,2,0.67,33.73444144969978,22.602075771298853
2005,Jujuy,40 a 49,Varón,10,3.33,38.79985592938144,129.20352024484018
2005,Jujuy,50 a 59,Mujer,15,5,24.912328939637863,124.56164469818931
2005,Jujuy,50 a 59,Varón,17,5.67,29.629262971095834,167.99792104611336
2005,Jujuy,60 a 69,Mujer,39,13,17.132067211169673,222.71687374520576
2005,Jujuy,60 a 69,Varón,42,14,21.107751084002853,295.50851517603996
2005,Jujuy,70 a 79,Mujer,51,17,10.831570240779218,184.13669409324672
2005,Jujuy,70 a 79,Varón,34,11.33,13.564680967142696,153.68783535772675
2005,Jujuy,80+,Mujer,28,9.33,5.992080760900239,55.906113499199236
2005,Jujuy,80+,Varón,20,6.67,7.2709457701241185,48.49720828672787
2005,La Pampa,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,La Pampa,20 a 29,Varón,0,0,57.98552512050548,0
2005,La Pampa,30 a 39,Mujer,0,0,43.00255580888662,0
2005,La Pampa,30 a 39,Varón,0,0,48.31021760118011,0
2005,La Pampa,40 a 49,Mujer,3,1,33.73444144969978,33.73444144969978
2005,La Pampa,40 a 49,Varón,1,0.33,38.79985592938144,12.803952456695875
2005,La Pampa,50 a 59,Mujer,7,2.33,24.912328939637863,58.04572642935622
2005,La Pampa,50 a 59,Varón,9,3,29.629262971095834,88.8877889132875
2005,La Pampa,60 a 69,Mujer,12,4,17.132067211169673,68.52826884467869
2005,La Pampa,60 a 69,Varón,20,6.67,21.107751084002853,140.78869973029902
2005,La Pampa,70 a 79,Mujer,17,5.67,10.831570240779218,61.41500326521817
2005,La Pampa,70 a 79,Varón,30,10,13.564680967142696,135.64680967142695
2005,La Pampa,80+,Mujer,45,15,5.992080760900239,89.88121141350359
2005,La Pampa,80+,Varón,22,7.33,7.2709457701241185,53.29603249500979
2005,La Rioja,20 a 29,Mujer,0,0,52.3461872453209,0
2005,La Rioja,20 a 29,Varón,0,0,57.98552512050548,0
2005,La Rioja,30 a 39,Mujer,1,0.33,43.00255580888662,14.190843416932585
2005,La Rioja,30 a 39,Varón,1,0.33,48.31021760118011,15.942371808389439
2005,La Rioja,40 a 49,Mujer,5,1.67,33.73444144969978,56.33651722099863
2005,La Rioja,40 a 49,Varón,3,1,38.79985592938144,38.79985592938144
2005,La Rioja,50 a 59,Mujer,11,3.67,24.912328939637863,91.42824720847095
2005,La Rioja,50 a 59,Varón,20,6.67,29.629262971095834,197.6271840172092
2005,La Rioja,60 a 69,Mujer,20,6.67,17.132067211169673,114.27088829850172
2005,La Rioja,60 a 69,Varón,26,8.67,21.107751084002853,183.00420189830473
2005,La Rioja,70 a 79,Mujer,23,7.67,10.831570240779218,83.0781437467766
2005,La Rioja,70 a 79,Varón,20,6.67,13.564680967142696,90.47642205084178
2005,La Rioja,80+,Mujer,21,7,5.992080760900239,41.94456532630168
2005,La Rioja,80+,Varón,13,4.33,7.2709457701241185,31.483195184637434
2005,Mendoza,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,Mendoza,20 a 29,Varón,2,0.67,57.98552512050548,38.85030183073867
2005,Mendoza,30 a 39,Mujer,3,1,43.00255580888662,43.00255580888662
2005,Mendoza,30 a 39,Varón,6,2,48.31021760118011,96.62043520236023
2005,Mendoza,40 a 49,Mujer,21,7,33.73444144969978,236.14109014789847
2005,Mendoza,40 a 49,Varón,26,8.67,38.79985592938144,336.39475090773703
2005,Mendoza,50 a 59,Mujer,91,30.33,24.912328939637863,755.5909367392163
2005,Mendoza,50 a 59,Varón,135,45,29.629262971095834,1333.3168336993126
2005,Mendoza,60 a 69,Mujer,236,78.67,17.132067211169673,1347.7797275027183
2005,Mendoza,60 a 69,Varón,336,112,21.107751084002853,2364.0681214083197
2005,Mendoza,70 a 79,Mujer,367,122.33,10.831570240779218,1325.0259875545216
2005,Mendoza,70 a 79,Varón,374,124.67,13.564680967142696,1691.1087761736799
2005,Mendoza,80+,Mujer,247,82.33,5.992080760900239,493.3280090449167
2005,Mendoza,80+,Varón,146,48.67,7.2709457701241185,353.87693063194087
2005,Misiones,20 a 29,Mujer,2,0.67,52.3461872453209,35.07194545436501
2005,Misiones,20 a 29,Varón,0,0,57.98552512050548,0
2005,Misiones,30 a 39,Mujer,2,0.67,43.00255580888662,28.811712391954035
2005,Misiones,30 a 39,Varón,4,1.33,48.31021760118011,64.25258940956955
2005,Misiones,40 a 49,Mujer,17,5.67,33.73444144969978,191.27428301979776
2005,Misiones,40 a 49,Varón,12,4,38.79985592938144,155.19942371752575
2005,Misiones,50 a 59,Mujer,48,16,24.912328939637863,398.5972630342058
2005,Misiones,50 a 59,Varón,46,15.33,29.629262971095834,454.21660134689915
2005,Misiones,60 a 69,Mujer,84,28,17.132067211169673,479.69788191275086
2005,Misiones,60 a 69,Varón,85,28.33,21.107751084002853,597.9825882098008
2005,Misiones,70 a 79,Mujer,122,40.67,10.831570240779218,440.5199616924908
2005,Misiones,70 a 79,Varón,108,36,13.564680967142696,488.32851481713703
2005,Misiones,80+,Mujer,82,27.33,5.992080760900239,163.76356719540354
2005,Misiones,80+,Varón,54,18,7.2709457701241185,130.87702386223413
2005,Neuquén,20 a 29,Mujer,0,0,52.3461872453209,0
2005,Neuquén,20 a 29,Varón,0,0,57.98552512050548,0
2005,Neuquén,30 a 39,Mujer,1,0.33,43.00255580888662,14.190843416932585
2005,Neuquén,30 a 39,Varón,1,0.33,48.31021760118011,15.942371808389439
2005,Neuquén,40 a 49,Mujer,4,1.33,33.73444144969978,44.86680712810071
2005,Neuquén,40 a 49,Varón,11,3.67,38.79985592938144,142.39547126082988
2005,Neuquén,50 a 59,Mujer,27,9,24.912328939637863,224.21096045674076
2005,Neuquén,50 a 59,Varón,31,10.33,29.629262971095834,306.07028649141995
2005,Neuquén,60 a 69,Mujer,37,12.33,17.132067211169673,211.23838871372206
2005,Neuquén,60 a 69,Varón,66,22,21.107751084002853,464.37052384806276
2005,Neuquén,70 a 79,Mujer,59,19.67,10.831570240779218,213.05698663612725
2005,Neuquén,70 a 79,Varón,82,27.33,13.564680967142696,370.72273083200986
2005,Neuquén,80+,Mujer,67,22.33,5.992080760900239,133.80316339090234
2005,Neuquén,80+,Varón,42,14,7.2709457701241185,101.79324078173767
2005,Río Negro,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,Río Negro,20 a 29,Varón,0,0,57.98552512050548,0
2005,Río Negro,30 a 39,Mujer,1,0.33,43.00255580888662,14.190843416932585
2005,Río Negro,30 a 39,Varón,0,0,48.31021760118011,0
2005,Río Negro,40 a 49,Mujer,6,2,33.73444144969978,67.46888289939956
2005,Río Negro,40 a 49,Varón,2,0.67,38.79985592938144,25.995903472685566
2005,Río Negro,50 a 59,Mujer,5,1.67,24.912328939637863,41.60358932919523
2005,Río Negro,50 a 59,Varón,15,5,29.629262971095834,148.14631485547918
2005,Río Negro,60 a 69,Mujer,22,7.33,17.132067211169673,125.5780526578737
2005,Río Negro,60 a 69,Varón,36,12,21.107751084002853,253.29301300803422
2005,Río Negro,70 a 79,Mujer,50,16.67,10.831570240779218,180.5622759137896
2005,Río Negro,70 a 79,Varón,58,19.33,13.564680967142696,262.20528309486826
2005,Río Negro,80+,Mujer,41,13.67,5.992080760900239,81.91174400150628
2005,Río Negro,80+,Varón,24,8,7.2709457701241185,58.16756616099295
2005,Salta,20 a 29,Mujer,4,1.33,52.3461872453209,69.6204290362768
2005,Salta,20 a 29,Varón,1,0.33,57.98552512050548,19.13522328976681
2005,Salta,30 a 39,Mujer,0,0,43.00255580888662,0
2005,Salta,30 a 39,Varón,4,1.33,48.31021760118011,64.25258940956955
2005,Salta,40 a 49,Mujer,3,1,33.73444144969978,33.73444144969978
2005,Salta,40 a 49,Varón,13,4.33,38.79985592938144,168.00337617422161
2005,Salta,50 a 59,Mujer,18,6,24.912328939637863,149.47397363782719
2005,Salta,50 a 59,Varón,32,10.67,29.629262971095834,316.14423590159254
2005,Salta,60 a 69,Mujer,41,13.67,17.132067211169673,234.19535877668943
2005,Salta,60 a 69,Varón,47,15.67,21.107751084002853,330.7584594863247
2005,Salta,70 a 79,Mujer,49,16.33,10.831570240779218,176.87954203192461
2005,Salta,70 a 79,Varón,46,15.33,13.564680967142696,207.94655922629752
2005,Salta,80+,Mujer,52,17.33,5.992080760900239,103.84275958640114
2005,Salta,80+,Varón,35,11.67,7.2709457701241185,84.85193713734846
2005,San Juan,20 a 29,Mujer,2,0.67,52.3461872453209,35.07194545436501
2005,San Juan,20 a 29,Varón,3,1,57.98552512050548,57.98552512050548
2005,San Juan,30 a 39,Mujer,3,1,43.00255580888662,43.00255580888662
2005,San Juan,30 a 39,Varón,3,1,48.31021760118011,48.31021760118011
2005,San Juan,40 a 49,Mujer,10,3.33,33.73444144969978,112.33569002750026
2005,San Juan,40 a 49,Varón,11,3.67,38.79985592938144,142.39547126082988
2005,San Juan,50 a 59,Mujer,47,15.67,24.912328939637863,390.37619448412534
2005,San Juan,50 a 59,Varón,58,19.33,29.629262971095834,572.7336532312825
2005,San Juan,60 a 69,Mujer,109,36.33,17.132067211169673,622.4080017817942
2005,San Juan,60 a 69,Varón,127,42.33,21.107751084002853,893.4911033858407
2005,San Juan,70 a 79,Mujer,181,60.33,10.831570240779218,653.4686326262103
2005,San Juan,70 a 79,Varón,164,54.67,13.564680967142696,741.5811084736912
2005,San Juan,80+,Mujer,123,41,5.992080760900239,245.6753111969098
2005,San Juan,80+,Varón,87,29,7.2709457701241185,210.85742733359945
2005,San Luis,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,San Luis,20 a 29,Varón,0,0,57.98552512050548,0
2005,San Luis,30 a 39,Mujer,1,0.33,43.00255580888662,14.190843416932585
2005,San Luis,30 a 39,Varón,5,1.67,48.31021760118011,80.67806339397079
2005,San Luis,40 a 49,Mujer,5,1.67,33.73444144969978,56.33651722099863
2005,San Luis,40 a 49,Varón,8,2.67,38.79985592938144,103.59561533144843
2005,San Luis,50 a 59,Mujer,17,5.67,24.912328939637863,141.25290508774668
2005,San Luis,50 a 59,Varón,33,11,29.629262971095834,325.9218926820542
2005,San Luis,60 a 69,Mujer,29,9.67,17.132067211169673,165.66708993201073
2005,San Luis,60 a 69,Varón,47,15.67,21.107751084002853,330.7584594863247
2005,San Luis,70 a 79,Mujer,63,21,10.831570240779218,227.46297505636358
2005,San Luis,70 a 79,Varón,60,20,13.564680967142696,271.2936193428539
2005,San Luis,80+,Mujer,47,15.67,5.992080760900239,93.89590552330675
2005,San Luis,80+,Varón,36,12,7.2709457701241185,87.25134924148942
2005,Santa Cruz,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2005,Santa Cruz,20 a 29,Varón,0,0,57.98552512050548,0
2005,Santa Cruz,30 a 39,Mujer,0,0,43.00255580888662,0
2005,Santa Cruz,30 a 39,Varón,2,0.67,48.31021760118011,32.367845792790675
2005,Santa Cruz,40 a 49,Mujer,2,0.67,33.73444144969978,22.602075771298853
2005,Santa Cruz,40 a 49,Varón,1,0.33,38.79985592938144,12.803952456695875
