anio_enfr,prov_nombre,grupo_edad,sexo,defun_tri,defun_mean_tri,esp_vida,AVP
2005,Buenos Aires,20 a 24,Mujer,12,4,54.65657238289693,218.62628953158773
2005,Buenos Aires,20 a 24,Varón,5,1.67,60.40297393774405,100.87296647603256
2005,Buenos Aires,25 a 29,Mujer,10,3.33,50.01971590153033,166.565653952096
2005,Buenos Aires,25 a 29,Varón,9,3,55.56145953057201,166.68437859171604
2005,Buenos Aires,30 a 34,Mujer,8,2.67,45.338650136635565,121.05419586481696
2005,Buenos Aires,30 a 34,Varón,15,5,50.71508748453657,253.57543742268285
2005,Buenos Aires,35 a 39,Mujer,19,6.33,40.649509570707714,257.31139558257985
2005,Buenos Aires,35 a 39,Varón,19,6.33,45.89630877119981,290.5236345216948
2005,Buenos Aires,40 a 44,Mujer,44,14.67,36.01442579949483,528.3316264785892
2005,Buenos Aires,40 a 44,Varón,48,16,41.140997801826884,658.2559648292302
2005,Buenos Aires,45 a 49,Mujer,47,15.67,31.426428576026836,492.45213578634053
2005,Buenos Aires,45 a 49,Varón,88,29.33,36.44056422743235,1068.8017487905906
2005,Buenos Aires,50 a 54,Mujer,98,32.67,26.993205867479585,881.868035690558
2005,Buenos Aires,50 a 54,Varón,175,58.33,31.849647363574803,1857.7899307173182
2005,Buenos Aires,55 a 59,Mujer,173,57.67,22.76581335691569,1312.904456293328
2005,Buenos Aires,55 a 59,Varón,285,95,27.36954671297114,2600.1069377322583
2005,Buenos Aires,60 a 64,Mujer,311,103.67,18.842402208355736,1953.3918369402393
2005,Buenos Aires,60 a 64,Varón,469,156.33,23.081486008232023,3608.3287076669126
2005,Buenos Aires,65 a 69,Mujer,445,148.33,15.272104856236956,2265.311313325628
2005,Buenos Aires,65 a 69,Varón,582,194,19.041912627332664,3694.131049702537
2005,Buenos Aires,70 a 74,Mujer,631,210.33,12.076120972884306,2539.9705242267564
2005,Buenos Aires,70 a 74,Varón,763,254.33,15.220524971165217,3871.03611591645
2005,Buenos Aires,75 a 79,Mujer,670,223.33,9.298225920446056,2076.5727948132176
2005,Buenos Aires,75 a 79,Varón,788,262.67,11.714380262171206,3077.0162634645108
2005,Buenos Aires,80+,Mujer,1518,506,5.992080760900239,3031.992865015521
2005,Buenos Aires,80+,Varón,944,314.67,7.2709457701241185,2287.9485054849565
2005,Catamarca,20 a 24,Mujer,1,0.33,54.65657238289693,18.03666888635599
2005,Catamarca,20 a 24,Varón,0,0,60.40297393774405,0
2005,Catamarca,25 a 29,Mujer,1,0.33,50.01971590153033,16.506506247505012
2005,Catamarca,25 a 29,Varón,0,0,55.56145953057201,0
2005,Catamarca,30 a 34,Mujer,1,0.33,45.338650136635565,14.961754545089738
2005,Catamarca,30 a 34,Varón,0,0,50.71508748453657,0
2005,Catamarca,35 a 39,Mujer,1,0.33,40.649509570707714,13.414338158333546
2005,Catamarca,35 a 39,Varón,1,0.33,45.89630877119981,15.145781894495938
2005,Catamarca,40 a 44,Mujer,1,0.33,36.01442579949483,11.884760513833294
2005,Catamarca,40 a 44,Varón,1,0.33,41.140997801826884,13.576529274602873
2005,Catamarca,45 a 49,Mujer,3,1,31.426428576026836,31.426428576026836
2005,Catamarca,45 a 49,Varón,4,1.33,36.44056422743235,48.46595042248502
2005,Catamarca,50 a 54,Mujer,8,2.67,26.993205867479585,72.07185966617048
2005,Catamarca,50 a 54,Varón,12,4,31.849647363574803,127.39858945429921
2005,Catamarca,55 a 59,Mujer,13,4.33,22.76581335691569,98.57597183544493
2005,Catamarca,55 a 59,Varón,10,3.33,27.36954671297114,91.14059055419389
2005,Catamarca,60 a 64,Mujer,11,3.67,18.842402208355736,69.15161610466555
2005,Catamarca,60 a 64,Varón,12,4,23.081486008232023,92.32594403292809
2005,Catamarca,65 a 69,Mujer,9,3,15.272104856236956,45.816314568710865
2005,Catamarca,65 a 69,Varón,13,4.33,19.041912627332664,82.45148167635044
2005,Catamarca,70 a 74,Mujer,19,6.33,12.076120972884306,76.44184575835766
2005,Catamarca,70 a 74,Varón,28,9.33,15.220524971165217,142.00749798097146
2005,Catamarca,75 a 79,Mujer,20,6.67,9.298225920446056,62.01916688937519
2005,Catamarca,75 a 79,Varón,14,4.67,11.714380262171206,54.70615582433953
2005,Catamarca,80+,Mujer,33,11,5.992080760900239,65.91288836990263
2005,Catamarca,80+,Varón,32,10.67,7.2709457701241185,77.58099136722434
2005,Chaco,20 a 24,Mujer,2,0.67,54.65657238289693,36.61990349654095
2005,Chaco,20 a 24,Varón,0,0,60.40297393774405,0
2005,Chaco,25 a 29,Mujer,0,0,50.01971590153033,0
2005,Chaco,25 a 29,Varón,0,0,55.56145953057201,0
2005,Chaco,30 a 34,Mujer,1,0.33,45.338650136635565,14.961754545089738
2005,Chaco,30 a 34,Varón,1,0.33,50.71508748453657,16.735978869897068
2005,Chaco,35 a 39,Mujer,2,0.67,40.649509570707714,27.23517141237417
2005,Chaco,35 a 39,Varón,2,0.67,45.89630877119981,30.750526876703876
2005,Chaco,40 a 44,Mujer,6,2,36.01442579949483,72.02885159898966
2005,Chaco,40 a 44,Varón,6,2,41.140997801826884,82.28199560365377
2005,Chaco,45 a 49,Mujer,5,1.67,31.426428576026836,52.482135721964816
2005,Chaco,45 a 49,Varón,2,0.67,36.44056422743235,24.415178032379675
2005,Chaco,50 a 54,Mujer,19,6.33,26.993205867479585,170.86699314114577
2005,Chaco,50 a 54,Varón,20,6.67,31.849647363574803,212.43714791504394
2005,Chaco,55 a 59,Mujer,13,4.33,22.76581335691569,98.57597183544493
2005,Chaco,55 a 59,Varón,40,13.33,27.36954671297114,364.83605768390527
2005,Chaco,60 a 64,Mujer,39,13,18.842402208355736,244.95122870862457
2005,Chaco,60 a 64,Varón,31,10.33,23.081486008232023,238.4317504650368
2005,Chaco,65 a 69,Mujer,42,14,15.272104856236956,213.8094679873174
2005,Chaco,65 a 69,Varón,41,13.67,19.041912627332664,260.3029456156375
2005,Chaco,70 a 74,Mujer,52,17.33,12.076120972884306,209.279176460085
2005,Chaco,70 a 74,Varón,50,16.67,15.220524971165217,253.7261512693242
2005,Chaco,75 a 79,Mujer,55,18.33,9.298225920446056,170.43648112177618
2005,Chaco,75 a 79,Varón,46,15.33,11.714380262171206,179.58144941908458
2005,Chaco,80+,Mujer,83,27.67,5.992080760900239,165.80087465410963
2005,Chaco,80+,Varón,44,14.67,7.2709457701241185,106.66477444772082
2005,Chubut,20 a 24,Mujer,0,0,54.65657238289693,0
2005,Chubut,20 a 24,Varón,0,0,60.40297393774405,0
2005,Chubut,25 a 29,Mujer,1,0.33,50.01971590153033,16.506506247505012
2005,Chubut,25 a 29,Varón,0,0,55.56145953057201,0
2005,Chubut,30 a 34,Mujer,1,0.33,45.338650136635565,14.961754545089738
2005,Chubut,30 a 34,Varón,2,0.67,50.71508748453657,33.9791086146395
2005,Chubut,35 a 39,Mujer,2,0.67,40.649509570707714,27.23517141237417
2005,Chubut,35 a 39,Varón,0,0,45.89630877119981,0
2005,Chubut,40 a 44,Mujer,0,0,36.01442579949483,0
2005,Chubut,40 a 44,Varón,1,0.33,41.140997801826884,13.576529274602873
2005,Chubut,45 a 49,Mujer,1,0.33,31.426428576026836,10.370721430088857
2005,Chubut,45 a 49,Varón,2,0.67,36.44056422743235,24.415178032379675
2005,Chubut,50 a 54,Mujer,3,1,26.993205867479585,26.993205867479585
2005,Chubut,50 a 54,Varón,9,3,31.849647363574803,95.54894209072441
2005,Chubut,55 a 59,Mujer,5,1.67,22.76581335691569,38.0189083060492
2005,Chubut,55 a 59,Varón,9,3,27.36954671297114,82.10864013891342
2005,Chubut,60 a 64,Mujer,9,3,18.842402208355736,56.52720662506721
2005,Chubut,60 a 64,Varón,12,4,23.081486008232023,92.32594403292809
2005,Chubut,65 a 69,Mujer,13,4.33,15.272104856236956,66.12821402750602
2005,Chubut,65 a 69,Varón,21,7,19.041912627332664,133.29338839132865
2005,Chubut,70 a 74,Mujer,8,2.67,12.076120972884306,32.243242997601094
2005,Chubut,70 a 74,Varón,24,8,15.220524971165217,121.76419976932173
2005,Chubut,75 a 79,Mujer,13,4.33,9.298225920446056,40.26131823553142
2005,Chubut,75 a 79,Varón,18,6,11.714380262171206,70.28628157302724
2005,Chubut,80+,Mujer,28,9.33,5.992080760900239,55.906113499199236
2005,Chubut,80+,Varón,16,5.33,7.2709457701241185,38.75414095476155
2005,CABA,20 a 24,Mujer,0,0,54.65657238289693,0
2005,CABA,20 a 24,Varón,0,0,60.40297393774405,0
2005,CABA,25 a 29,Mujer,0,0,50.01971590153033,0
2005,CABA,25 a 29,Varón,1,0.33,55.56145953057201,18.335281645088763
2005,CABA,30 a 34,Mujer,3,1,45.338650136635565,45.338650136635565
2005,CABA,30 a 34,Varón,4,1.33,50.71508748453657,67.45106635443364
2005,CABA,35 a 39,Mujer,0,0,40.649509570707714,0
2005,CABA,35 a 39,Varón,1,0.33,45.89630877119981,15.145781894495938
2005,CABA,40 a 44,Mujer,2,0.67,36.01442579949483,24.129665285661538
2005,CABA,40 a 44,Varón,5,1.67,41.140997801826884,68.70546632905089
2005,CABA,45 a 49,Mujer,4,1.33,31.426428576026836,41.79715000611569
2005,CABA,45 a 49,Varón,2,0.67,36.44056422743235,24.415178032379675
2005,CABA,50 a 54,Mujer,9,3,26.993205867479585,80.97961760243875
2005,CABA,50 a 54,Varón,21,7,31.849647363574803,222.94753154502362
2005,CABA,55 a 59,Mujer,16,5.33,22.76581335691569,121.34178519236063
2005,CABA,55 a 59,Varón,26,8.67,27.36954671297114,237.29397000145977
2005,CABA,60 a 64,Mujer,23,7.67,18.842402208355736,144.5212249380885
2005,CABA,60 a 64,Varón,38,12.67,23.081486008232023,292.4424277242997
2005,CABA,65 a 69,Mujer,39,13,15.272104856236956,198.5373631310804
2005,CABA,65 a 69,Varón,54,18,19.041912627332664,342.75442729198795
2005,CABA,70 a 74,Mujer,59,19.67,12.076120972884306,237.53729953663432
2005,CABA,70 a 74,Varón,85,28.33,15.220524971165217,431.1974724331106
2005,CABA,75 a 79,Mujer,90,30,9.298225920446056,278.9467776133817
2005,CABA,75 a 79,Varón,86,28.67,11.714380262171206,335.8512821164485
2005,CABA,80+,Mujer,304,101.33,5.992080760900239,607.1775435020212
2005,CABA,80+,Varón,149,49.67,7.2709457701241185,361.147876402065
2005,Córdoba,20 a 24,Mujer,2,0.67,54.65657238289693,36.61990349654095
2005,Córdoba,20 a 24,Varón,1,0.33,60.40297393774405,19.93298139945554
2005,Córdoba,25 a 29,Mujer,3,1,50.01971590153033,50.01971590153033
2005,Córdoba,25 a 29,Varón,1,0.33,55.56145953057201,18.335281645088763
2005,Córdoba,30 a 34,Mujer,4,1.33,45.338650136635565,60.300404681725304
2005,Córdoba,30 a 34,Varón,3,1,50.71508748453657,50.71508748453657
2005,Córdoba,35 a 39,Mujer,8,2.67,40.649509570707714,108.5341905537896
2005,Córdoba,35 a 39,Varón,6,2,45.89630877119981,91.79261754239963
2005,Córdoba,40 a 44,Mujer,8,2.67,36.01442579949483,96.15851688465119
2005,Córdoba,40 a 44,Varón,11,3.67,41.140997801826884,150.98746193270466
2005,Córdoba,45 a 49,Mujer,17,5.67,31.426428576026836,178.18785002607217
2005,Córdoba,45 a 49,Varón,29,9.67,36.44056422743235,352.3802560792708
2005,Córdoba,50 a 54,Mujer,43,14.33,26.993205867479585,386.8126400809825
2005,Córdoba,50 a 54,Varón,80,26.67,31.849647363574803,849.43009518654
2005,Córdoba,55 a 59,Mujer,75,25,22.76581335691569,569.1453339228923
2005,Córdoba,55 a 59,Varón,134,44.67,27.36954671297114,1222.597651668421
2005,Córdoba,60 a 64,Mujer,127,42.33,18.842402208355736,797.5988854796983
2005,Córdoba,60 a 64,Varón,205,68.33,23.081486008232023,1577.1579389424942
2005,Córdoba,65 a 69,Mujer,185,61.67,15.272104856236956,941.8307064841331
2005,Córdoba,65 a 69,Varón,237,79,19.041912627332664,1504.3110975592804
2005,Córdoba,70 a 74,Mujer,192,64,12.076120972884306,772.8717422645956
2005,Córdoba,70 a 74,Varón,283,94.33,15.220524971165217,1435.752120530015
2005,Córdoba,75 a 79,Mujer,283,94.33,9.298225920446056,877.1016510756764
2005,Córdoba,75 a 79,Varón,311,103.67,11.714380262171206,1214.429801779289
2005,Córdoba,80+,Mujer,561,187,5.992080760900239,1120.5191022883448
2005,Córdoba,80+,Varón,308,102.67,7.2709457701241185,746.5080022186432
2005,Corrientes,20 a 24,Mujer,1,0.33,54.65657238289693,18.03666888635599
2005,Corrientes,20 a 24,Varón,0,0,60.40297393774405,0
2005,Corrientes,25 a 29,Mujer,0,0,50.01971590153033,0
2005,Corrientes,25 a 29,Varón,1,0.33,55.56145953057201,18.335281645088763
2005,Corrientes,30 a 34,Mujer,0,0,45.338650136635565,0
2005,Corrientes,30 a 34,Varón,0,0,50.71508748453657,0
2005,Corrientes,35 a 39,Mujer,3,1,40.649509570707714,40.649509570707714
2005,Corrientes,35 a 39,Varón,0,0,45.89630877119981,0
2005,Corrientes,40 a 44,Mujer,3,1,36.01442579949483,36.01442579949483
2005,Corrientes,40 a 44,Varón,4,1.33,41.140997801826884,54.71752707642976
2005,Corrientes,45 a 49,Mujer,5,1.67,31.426428576026836,52.482135721964816
2005,Corrientes,45 a 49,Varón,9,3,36.44056422743235,109.32169268229704
2005,Corrientes,50 a 54,Mujer,14,4.67,26.993205867479585,126.05827140112966
2005,Corrientes,50 a 54,Varón,11,3.67,31.849647363574803,116.88820582431953
2005,Corrientes,55 a 59,Mujer,13,4.33,22.76581335691569,98.57597183544493
2005,Corrientes,55 a 59,Varón,29,9.67,27.36954671297114,264.6635167144309
2005,Corrientes,60 a 64,Mujer,30,10,18.842402208355736,188.42402208355736
2005,Corrientes,60 a 64,Varón,42,14,23.081486008232023,323.14080411524833
2005,Corrientes,65 a 69,Mujer,34,11.33,15.272104856236956,173.0329480211647
2005,Corrientes,65 a 69,Varón,47,15.67,19.041912627332664,298.3867708703028
2005,Corrientes,70 a 74,Mujer,51,17,12.076120972884306,205.2940565390332
2005,Corrientes,70 a 74,Varón,45,15,15.220524971165217,228.30787456747825
2005,Corrientes,75 a 79,Mujer,49,16.33,9.298225920446056,151.84002928088407
2005,Corrientes,75 a 79,Varón,54,18,11.714380262171206,210.8588447190817
2005,Corrientes,80+,Mujer,80,26.67,5.992080760900239,159.80879389320938
2005,Corrientes,80+,Varón,43,14.33,7.2709457701241185,104.19265288587862
2005,Entre Ríos,20 a 24,Mujer,0,0,54.65657238289693,0
2005,Entre Ríos,20 a 24,Varón,1,0.33,60.40297393774405,19.93298139945554
2005,Entre Ríos,25 a 29,Mujer,0,0,50.01971590153033,0
2005,Entre Ríos,25 a 29,Varón,0,0,55.56145953057201,0
2005,Entre Ríos,30 a 34,Mujer,2,0.67,45.338650136635565,30.37689559154583
2005,Entre Ríos,30 a 34,Varón,0,0,50.71508748453657,0
