anio_enfr,prov_nombre,grupo_edad_quin,sexo,def_tri,mean_def_tri,esp_vida,AVP
2005,Buenos Aires,15 a 19,Mujer,2,0.6666666666666666,59.40089991717423,39.600599944782815
2005,Buenos Aires,15 a 19,Varón,5,1.6666666666666667,65.27387185108115,108.7897864184686
2005,Buenos Aires,20 a 24,Mujer,12,4,54.65657238289693,218.62628953158773
2005,Buenos Aires,20 a 24,Varón,5,1.6666666666666667,60.40297393774405,100.67162322957343
2005,Buenos Aires,25 a 29,Mujer,10,3.3333333333333335,50.01971590153033,166.73238633843445
2005,Buenos Aires,25 a 29,Varón,9,3,55.56145953057201,166.68437859171604
2005,Buenos Aires,30 a 34,Mujer,8,2.6666666666666665,45.338650136635565,120.90306703102817
2005,Buenos Aires,30 a 34,Varón,15,5,50.71508748453657,253.57543742268285
2005,Buenos Aires,35 a 39,Mujer,19,6.333333333333333,40.649509570707714,257.4468939478155
2005,Buenos Aires,35 a 39,Varón,19,6.333333333333333,45.89630877119981,290.6766222175988
2005,Buenos Aires,40 a 44,Mujer,44,14.666666666666666,36.01442579949483,528.2115783925908
2005,Buenos Aires,40 a 44,Varón,48,16,41.140997801826884,658.2559648292302
2005,Buenos Aires,45 a 49,Mujer,47,15.666666666666666,31.426428576026836,492.34738102442043
2005,Buenos Aires,45 a 49,Varón,88,29.333333333333332,36.44056422743235,1068.9232173380155
2005,Buenos Aires,50 a 54,Mujer,98,32.666666666666664,26.993205867479585,881.7780583376664
2005,Buenos Aires,50 a 54,Varón,175,58.333333333333336,31.849647363574803,1857.8960962085303
2005,Buenos Aires,55 a 59,Mujer,173,57.666666666666664,22.76581335691569,1312.8285702488047
2005,Buenos Aires,55 a 59,Varón,285,95,27.36954671297114,2600.1069377322583
2005,Buenos Aires,60 a 64,Mujer,311,103.66666666666667,18.842402208355736,1953.3290289328781
2005,Buenos Aires,60 a 64,Varón,469,156.33333333333334,23.081486008232023,3608.4056459536064
2005,Buenos Aires,65 a 69,Mujer,445,148.33333333333334,15.272104856236956,2265.3622203418154
2005,Buenos Aires,65 a 69,Varón,582,194,19.041912627332664,3694.131049702537
2005,Buenos Aires,70 a 74,Mujer,631,210.33333333333334,12.076120972884306,2540.0107779633327
2005,Buenos Aires,70 a 74,Varón,763,254.33333333333334,15.220524971165217,3871.086850999687
2005,Buenos Aires,75 a 79,Mujer,670,223.33333333333334,9.298225920446056,2076.6037888996193
2005,Buenos Aires,75 a 79,Varón,788,262.6666666666667,11.714380262171206,3076.9772155303035
2005,Buenos Aires,80 y más,Mujer,1518,506,5.992080760900239,3031.992865015521
2005,Buenos Aires,80 y más,Varón,944,314.6666666666667,7.2709457701241185,2287.924268999056
2005,CABA,15 a 19,Mujer,0,0,59.40089991717423,0
2005,CABA,15 a 19,Varón,0,0,65.27387185108115,0
2005,CABA,20 a 24,Mujer,0,0,54.65657238289693,0
2005,CABA,20 a 24,Varón,0,0,60.40297393774405,0
2005,CABA,25 a 29,Mujer,0,0,50.01971590153033,0
2005,CABA,25 a 29,Varón,1,0.3333333333333333,55.56145953057201,18.52048651019067
2005,CABA,30 a 34,Mujer,3,1,45.338650136635565,45.338650136635565
2005,CABA,30 a 34,Varón,4,1.3333333333333333,50.71508748453657,67.62011664604876
2005,CABA,35 a 39,Mujer,0,0,40.649509570707714,0
2005,CABA,35 a 39,Varón,1,0.3333333333333333,45.89630877119981,15.298769590399937
2005,CABA,40 a 44,Mujer,2,0.6666666666666666,36.01442579949483,24.009617199663218
2005,CABA,40 a 44,Varón,5,1.6666666666666667,41.140997801826884,68.56832966971147
2005,CABA,45 a 49,Mujer,4,1.3333333333333333,31.426428576026836,41.90190476803578
2005,CABA,45 a 49,Varón,2,0.6666666666666666,36.44056422743235,24.293709484954896
2005,CABA,50 a 54,Mujer,9,3,26.993205867479585,80.97961760243875
2005,CABA,50 a 54,Varón,21,7,31.849647363574803,222.94753154502362
2005,CABA,55 a 59,Mujer,16,5.333333333333333,22.76581335691569,121.41767123688368
2005,CABA,55 a 59,Varón,26,8.666666666666666,27.36954671297114,237.20273817908318
2005,CABA,60 a 64,Mujer,23,7.666666666666667,18.842402208355736,144.4584169307273
2005,CABA,60 a 64,Varón,38,12.666666666666666,23.081486008232023,292.3654894376056
2005,CABA,65 a 69,Mujer,39,13,15.272104856236956,198.5373631310804
2005,CABA,65 a 69,Varón,54,18,19.041912627332664,342.75442729198795
2005,CABA,70 a 74,Mujer,59,19.666666666666668,12.076120972884306,237.49704580005803
2005,CABA,70 a 74,Varón,85,28.333333333333332,15.220524971165217,431.2482075163478
2005,CABA,75 a 79,Mujer,90,30,9.298225920446056,278.9467776133817
2005,CABA,75 a 79,Varón,86,28.666666666666668,11.714380262171206,335.81223418224124
2005,CABA,80 y más,Mujer,304,101.33333333333333,5.992080760900239,607.1975171045575
2005,CABA,80 y más,Varón,149,49.666666666666664,7.2709457701241185,361.1236399161645
2005,Catamarca,15 a 19,Mujer,2,0.6666666666666666,59.40089991717423,39.600599944782815
2005,Catamarca,15 a 19,Varón,0,0,65.27387185108115,0
2005,Catamarca,20 a 24,Mujer,1,0.3333333333333333,54.65657238289693,18.218857460965644
2005,Catamarca,20 a 24,Varón,0,0,60.40297393774405,0
2005,Catamarca,25 a 29,Mujer,1,0.3333333333333333,50.01971590153033,16.673238633843443
2005,Catamarca,25 a 29,Varón,0,0,55.56145953057201,0
2005,Catamarca,30 a 34,Mujer,1,0.3333333333333333,45.338650136635565,15.112883378878522
2005,Catamarca,30 a 34,Varón,0,0,50.71508748453657,0
2005,Catamarca,35 a 39,Mujer,1,0.3333333333333333,40.649509570707714,13.549836523569237
2005,Catamarca,35 a 39,Varón,1,0.3333333333333333,45.89630877119981,15.298769590399937
2005,Catamarca,40 a 44,Mujer,1,0.3333333333333333,36.01442579949483,12.004808599831609
2005,Catamarca,40 a 44,Varón,1,0.3333333333333333,41.140997801826884,13.713665933942295
2005,Catamarca,45 a 49,Mujer,3,1,31.426428576026836,31.426428576026836
2005,Catamarca,45 a 49,Varón,4,1.3333333333333333,36.44056422743235,48.58741896990979
2005,Catamarca,50 a 54,Mujer,8,2.6666666666666665,26.993205867479585,71.98188231327889
2005,Catamarca,50 a 54,Varón,12,4,31.849647363574803,127.39858945429921
2005,Catamarca,55 a 59,Mujer,13,4.333333333333333,22.76581335691569,98.65185787996798
2005,Catamarca,55 a 59,Varón,10,3.3333333333333335,27.36954671297114,91.23182237657046
2005,Catamarca,60 a 64,Mujer,11,3.6666666666666665,18.842402208355736,69.08880809730437
2005,Catamarca,60 a 64,Varón,12,4,23.081486008232023,92.32594403292809
2005,Catamarca,65 a 69,Mujer,9,3,15.272104856236956,45.816314568710865
2005,Catamarca,65 a 69,Varón,13,4.333333333333333,19.041912627332664,82.51495471844154
2005,Catamarca,70 a 74,Mujer,19,6.333333333333333,12.076120972884306,76.48209949493393
2005,Catamarca,70 a 74,Varón,28,9.333333333333334,15.220524971165217,142.0582330642087
2005,Catamarca,75 a 79,Mujer,20,6.666666666666667,9.298225920446056,61.98817280297371
2005,Catamarca,75 a 79,Varón,14,4.666666666666667,11.714380262171206,54.6671078901323
2005,Catamarca,80 y más,Mujer,33,11,5.992080760900239,65.91288836990263
2005,Catamarca,80 y más,Varón,32,10.666666666666666,7.2709457701241185,77.55675488132393
2005,Chaco,15 a 19,Mujer,1,0.3333333333333333,59.40089991717423,19.800299972391407
2005,Chaco,15 a 19,Varón,1,0.3333333333333333,65.27387185108115,21.757957283693717
2005,Chaco,20 a 24,Mujer,2,0.6666666666666666,54.65657238289693,36.43771492193129
2005,Chaco,20 a 24,Varón,0,0,60.40297393774405,0
2005,Chaco,25 a 29,Mujer,0,0,50.01971590153033,0
2005,Chaco,25 a 29,Varón,0,0,55.56145953057201,0
2005,Chaco,30 a 34,Mujer,1,0.3333333333333333,45.338650136635565,15.112883378878522
