anio_enfr,prov_nombre,grupo_edad_quin,sexo,n_defun_tri,mean_defun_tri,esp_vida,AVP
2005,Buenos Aires,15 a 19,Masculino,4,2,59.40089991717423,118.80179983434846
2005,Buenos Aires,15 a 19,Femenino,2,1,65.27387185108115,65.27387185108115
2005,Buenos Aires,20 a 24,Masculino,1,0.5,54.65657238289693,27.328286191448466
2005,Buenos Aires,20 a 24,Femenino,8,4,60.40297393774405,241.6118957509762
2005,Buenos Aires,25 a 29,Masculino,9,4.5,50.01971590153033,225.0887215568865
2005,Buenos Aires,25 a 29,Femenino,10,5,55.56145953057201,277.80729765286003
2005,Buenos Aires,30 a 34,Masculino,10,5,45.338650136635565,226.69325068317784
2005,Buenos Aires,30 a 34,Femenino,4,2,50.71508748453657,101.43017496907314
2005,Buenos Aires,35 a 39,Masculino,14,7,40.649509570707714,284.546566994954
2005,Buenos Aires,35 a 39,Femenino,10,5,45.89630877119981,229.48154385599906
2005,Buenos Aires,40 a 44,Masculino,36,18,36.01442579949483,648.2596643909069
2005,Buenos Aires,40 a 44,Femenino,32,16,41.140997801826884,658.2559648292302
2005,Buenos Aires,45 a 49,Masculino,54,27,31.426428576026836,848.5135715527246
2005,Buenos Aires,45 a 49,Femenino,25,12.5,36.44056422743235,455.50705284290433
2005,Buenos Aires,50 a 54,Masculino,120,60,26.993205867479585,1619.5923520487752
2005,Buenos Aires,50 a 54,Femenino,67,33.5,31.849647363574803,1066.9631866797558
2005,Buenos Aires,55 a 59,Masculino,183,91.5,22.76581335691569,2083.0719221577856
2005,Buenos Aires,55 a 59,Femenino,122,61,27.36954671297114,1669.5423494912395
2005,Buenos Aires,60 a 64,Masculino,317,158.5,18.842402208355736,2986.520750024384
2005,Buenos Aires,60 a 64,Femenino,211,105.5,23.081486008232023,2435.0967738684785
2005,Buenos Aires,65 a 69,Masculino,367,183.5,15.272104856236956,2802.4312411194815
2005,Buenos Aires,65 a 69,Femenino,300,150,19.041912627332664,2856.2868940998997
2005,Buenos Aires,70 a 74,Masculino,495,247.5,12.076120972884306,2988.8399407888655
2005,Buenos Aires,70 a 74,Femenino,409,204.5,15.220524971165217,3112.5973566032867
2005,Buenos Aires,75 a 79,Masculino,524,262,9.298225920446056,2436.1351911568668
2005,Buenos Aires,75 a 79,Femenino,426,213,11.714380262171206,2495.162995842467
2005,Buenos Aires,80 y más,Masculino,625,312.5,5.992080760900239,1872.525237781325
2005,Buenos Aires,80 y más,Femenino,985,492.5,7.2709457701241185,3580.9407917861286
2005,Catamarca,15 a 19,Masculino,0,0,59.40089991717423,0
2005,Catamarca,15 a 19,Femenino,0,0,65.27387185108115,0
2005,Catamarca,20 a 24,Masculino,0,0,54.65657238289693,0
2005,Catamarca,20 a 24,Femenino,1,0.5,60.40297393774405,30.201486968872025
2005,Catamarca,25 a 29,Masculino,0,0,50.01971590153033,0
2005,Catamarca,25 a 29,Femenino,1,0.5,55.56145953057201,27.780729765286004
2005,Catamarca,30 a 34,Masculino,0,0,45.338650136635565,0
2005,Catamarca,30 a 34,Femenino,1,0.5,50.71508748453657,25.357543742268284
2005,Catamarca,35 a 39,Masculino,1,0.5,40.649509570707714,20.324754785353857
2005,Catamarca,35 a 39,Femenino,1,0.5,45.89630877119981,22.948154385599906
2005,Catamarca,40 a 44,Masculino,0,0,36.01442579949483,0
2005,Catamarca,40 a 44,Femenino,0,0,41.140997801826884,0
2005,Catamarca,45 a 49,Masculino,1,0.5,31.426428576026836,15.713214288013418
2005,Catamarca,45 a 49,Femenino,1,0.5,36.44056422743235,18.220282113716173
2005,Catamarca,50 a 54,Masculino,8,4,26.993205867479585,107.97282346991834
2005,Catamarca,50 a 54,Femenino,3,1.5,31.849647363574803,47.774471045362205
2005,Catamarca,55 a 59,Masculino,8,4,22.76581335691569,91.06325342766276
2005,Catamarca,55 a 59,Femenino,10,5,27.36954671297114,136.8477335648557
2005,Catamarca,60 a 64,Masculino,6,3,18.842402208355736,56.52720662506721
2005,Catamarca,60 a 64,Femenino,6,3,23.081486008232023,69.24445802469607
2005,Catamarca,65 a 69,Masculino,7,3.5,15.272104856236956,53.45236699682935
2005,Catamarca,65 a 69,Femenino,6,3,19.041912627332664,57.12573788199799
2005,Catamarca,70 a 74,Masculino,21,10.5,12.076120972884306,126.79927021528522
2005,Catamarca,70 a 74,Femenino,14,7,15.220524971165217,106.54367479815652
2005,Catamarca,75 a 79,Masculino,11,5.5,9.298225920446056,51.14024256245331
2005,Catamarca,75 a 79,Femenino,13,6.5,11.714380262171206,76.14347170411284
2005,Catamarca,80 y más,Masculino,21,10.5,5.992080760900239,62.91684798945251
2005,Catamarca,80 y más,Femenino,27,13.5,7.2709457701241185,98.1577678966756
2005,Chaco,15 a 19,Masculino,0,0,59.40089991717423,0
2005,Chaco,15 a 19,Femenino,1,0.5,65.27387185108115,32.63693592554058
2005,Chaco,20 a 24,Masculino,0,0,54.65657238289693,0
2005,Chaco,20 a 24,Femenino,2,1,60.40297393774405,60.40297393774405
2005,Chaco,25 a 29,Masculino,0,0,50.01971590153033,0
2005,Chaco,25 a 29,Femenino,0,0,55.56145953057201,0
2005,Chaco,30 a 34,Masculino,1,0.5,45.338650136635565,22.669325068317782
2005,Chaco,30 a 34,Femenino,1,0.5,50.71508748453657,25.357543742268284
2005,Chaco,35 a 39,Masculino,0,0,40.649509570707714,0
2005,Chaco,35 a 39,Femenino,2,1,45.89630877119981,45.89630877119981
2005,Chaco,40 a 44,Masculino,4,2,36.01442579949483,72.02885159898966
2005,Chaco,40 a 44,Femenino,3,1.5,41.140997801826884,61.71149670274033
2005,Chaco,45 a 49,Masculino,1,0.5,31.426428576026836,15.713214288013418
2005,Chaco,45 a 49,Femenino,3,1.5,36.44056422743235,54.66084634114852
2005,Chaco,50 a 54,Masculino,15,7.5,26.993205867479585,202.4490440060969
2005,Chaco,50 a 54,Femenino,10,5,31.849647363574803,159.24823681787402
2005,Chaco,55 a 59,Masculino,26,13,22.76581335691569,295.95557363990395
2005,Chaco,55 a 59,Femenino,5,2.5,27.36954671297114,68.42386678242785
2005,Chaco,60 a 64,Masculino,21,10.5,18.842402208355736,197.84522318773523
2005,Chaco,60 a 64,Femenino,24,12,23.081486008232023,276.9778320987843
2005,Chaco,65 a 69,Masculino,28,14,15.272104856236956,213.8094679873174
2005,Chaco,65 a 69,Femenino,28,14,19.041912627332664,266.5867767826573
2005,Chaco,70 a 74,Masculino,33,16.5,12.076120972884306,199.25599605259106
2005,Chaco,70 a 74,Femenino,39,19.5,15.220524971165217,296.8002369377217
2005,Chaco,75 a 79,Masculino,33,16.5,9.298225920446056,153.42072768735991
2005,Chaco,75 a 79,Femenino,34,17,11.714380262171206,199.1444644569105
2005,Chaco,80 y más,Masculino,31,15.5,5.992080760900239,92.8772517939537
2005,Chaco,80 y más,Femenino,59,29.5,7.2709457701241185,214.4929002186615
2005,Chubut,15 a 19,Masculino,0,0,59.40089991717423,0
2005,Chubut,15 a 19,Femenino,0,0,65.27387185108115,0
2005,Chubut,20 a 24,Masculino,0,0,54.65657238289693,0
2005,Chubut,20 a 24,Femenino,0,0,60.40297393774405,0
2005,Chubut,25 a 29,Masculino,0,0,50.01971590153033,0
2005,Chubut,25 a 29,Femenino,1,0.5,55.56145953057201,27.780729765286004
2005,Chubut,30 a 34,Masculino,1,0.5,45.338650136635565,22.669325068317782
2005,Chubut,30 a 34,Femenino,0,0,50.71508748453657,0
2005,Chubut,35 a 39,Masculino,0,0,40.649509570707714,0
2005,Chubut,35 a 39,Femenino,2,1,45.89630877119981,45.89630877119981
2005,Chubut,40 a 44,Masculino,1,0.5,36.01442579949483,18.007212899747415
2005,Chubut,40 a 44,Femenino,0,0,41.140997801826884,0
2005,Chubut,45 a 49,Masculino,1,0.5,31.426428576026836,15.713214288013418
2005,Chubut,45 a 49,Femenino,0,0,36.44056422743235,0
2005,Chubut,50 a 54,Masculino,6,3,26.993205867479585,80.97961760243875
2005,Chubut,50 a 54,Femenino,2,1,31.849647363574803,31.849647363574803
2005,Chubut,55 a 59,Masculino,7,3.5,22.76581335691569,79.68034674920492
2005,Chubut,55 a 59,Femenino,4,2,27.36954671297114,54.73909342594228
2005,Chubut,60 a 64,Masculino,9,4.5,18.842402208355736,84.79080993760081
2005,Chubut,60 a 64,Femenino,1,0.5,23.081486008232023,11.540743004116012
2005,Chubut,65 a 69,Masculino,14,7,15.272104856236956,106.9047339936587
2005,Chubut,65 a 69,Femenino,8,4,19.041912627332664,76.16765050933066
2005,Chubut,70 a 74,Masculino,14,7,12.076120972884306,84.53284681019014
2005,Chubut,70 a 74,Femenino,7,3.5,15.220524971165217,53.27183739907826
2005,Chubut,75 a 79,Masculino,12,6,9.298225920446056,55.78935552267633
2005,Chubut,75 a 79,Femenino,11,5.5,11.714380262171206,64.42909144194164
2005,Chubut,80 y más,Masculino,12,6,5.992080760900239,35.952484565401434
2005,Chubut,80 y más,Femenino,21,10.5,7.2709457701241185,76.34493058630325
2005,Ciudad de Buenos Aires,15 a 19,Masculino,0,0,59.40089991717423,0
2005,Ciudad de Buenos Aires,15 a 19,Femenino,0,0,65.27387185108115,0
2005,Ciudad de Buenos Aires,20 a 24,Masculino,0,0,54.65657238289693,0
2005,Ciudad de Buenos Aires,20 a 24,Femenino,0,0,60.40297393774405,0
2005,Ciudad de Buenos Aires,25 a 29,Masculino,1,0.5,50.01971590153033,25.009857950765166
2005,Ciudad de Buenos Aires,25 a 29,Femenino,0,0,55.56145953057201,0
2005,Ciudad de Buenos Aires,30 a 34,Masculino,2,1,45.338650136635565,45.338650136635565
2005,Ciudad de Buenos Aires,30 a 34,Femenino,2,1,50.71508748453657,50.71508748453657
2005,Ciudad de Buenos Aires,35 a 39,Masculino,1,0.5,40.649509570707714,20.324754785353857
2005,Ciudad de Buenos Aires,35 a 39,Femenino,0,0,45.89630877119981,0
2005,Ciudad de Buenos Aires,40 a 44,Masculino,3,1.5,36.01442579949483,54.021638699242246
2005,Ciudad de Buenos Aires,40 a 44,Femenino,1,0.5,41.140997801826884,20.570498900913442
2005,Ciudad de Buenos Aires,45 a 49,Masculino,1,0.5,31.426428576026836,15.713214288013418
2005,Ciudad de Buenos Aires,45 a 49,Femenino,1,0.5,36.44056422743235,18.220282113716173
2005,Ciudad de Buenos Aires,50 a 54,Masculino,13,6.5,26.993205867479585,175.4558381386173
2005,Ciudad de Buenos Aires,50 a 54,Femenino,5,2.5,31.849647363574803,79.62411840893701
2005,Ciudad de Buenos Aires,55 a 59,Masculino,17,8.5,22.76581335691569,193.50941353378337
2005,Ciudad de Buenos Aires,55 a 59,Femenino,13,6.5,27.36954671297114,177.9020536343124
2005,Ciudad de Buenos Aires,60 a 64,Masculino,22,11,18.842402208355736,207.2664242919131
2005,Ciudad de Buenos Aires,60 a 64,Femenino,13,6.5,23.081486008232023,150.02965905350814
2005,Ciudad de Buenos Aires,65 a 69,Masculino,25,12.5,15.272104856236956,190.90131070296195
2005,Ciudad de Buenos Aires,65 a 69,Femenino,22,11,19.041912627332664,209.4610389006593
2005,Ciudad de Buenos Aires,70 a 74,Masculino,39,19.5,12.076120972884306,235.48435897124398
2005,Ciudad de Buenos Aires,70 a 74,Femenino,33,16.5,15.220524971165217,251.13866202422608
2005,Ciudad de Buenos Aires,75 a 79,Masculino,42,21,9.298225920446056,195.26274432936717
2005,Ciudad de Buenos Aires,75 a 79,Femenino,45,22.5,11.714380262171206,263.57355589885213
2005,Ciudad de Buenos Aires,80 y más,Masculino,82,41,5.992080760900239,245.6753111969098
2005,Ciudad de Buenos Aires,80 y más,Femenino,147,73.5,7.2709457701241185,534.4145141041228
2005,Corrientes,15 a 19,Masculino,0,0,59.40089991717423,0
2005,Corrientes,15 a 19,Femenino,0,0,65.27387185108115,0
2005,Corrientes,20 a 24,Masculino,0,0,54.65657238289693,0
2005,Corrientes,20 a 24,Femenino,1,0.5,60.40297393774405,30.201486968872025
2005,Corrientes,25 a 29,Masculino,1,0.5,50.01971590153033,25.009857950765166
2005,Corrientes,25 a 29,Femenino,0,0,55.56145953057201,0
2005,Corrientes,30 a 34,Masculino,0,0,45.338650136635565,0
2005,Corrientes,30 a 34,Femenino,0,0,50.71508748453657,0
2005,Corrientes,35 a 39,Masculino,0,0,40.649509570707714,0
2005,Corrientes,35 a 39,Femenino,3,1.5,45.89630877119981,68.84446315679972
2005,Corrientes,40 a 44,Masculino,2,1,36.01442579949483,36.01442579949483
2005,Corrientes,40 a 44,Femenino,2,1,41.140997801826884,41.140997801826884
2005,Corrientes,45 a 49,Masculino,6,3,31.426428576026836,94.27928572808051
2005,Corrientes,45 a 49,Femenino,2,1,36.44056422743235,36.44056422743235
2005,Corrientes,50 a 54,Masculino,8,4,26.993205867479585,107.97282346991834
2005,Corrientes,50 a 54,Femenino,7,3.5,31.849647363574803,111.47376577251181
2005,Corrientes,55 a 59,Masculino,22,11,22.76581335691569,250.42394692607257
2005,Corrientes,55 a 59,Femenino,9,4.5,27.36954671297114,123.16296020837012
2005,Corrientes,60 a 64,Masculino,25,12.5,18.842402208355736,235.5300276044467
2005,Corrientes,60 a 64,Femenino,21,10.5,23.081486008232023,242.35560308643625
2005,Corrientes,65 a 69,Masculino,32,16,15.272104856236956,244.3536776997913
2005,Corrientes,65 a 69,Femenino,26,13,19.041912627332664,247.54486415532463
2005,Corrientes,70 a 74,Masculino,34,17,12.076120972884306,205.2940565390332
2005,Corrientes,70 a 74,Femenino,30,15,15.220524971165217,228.30787456747825
2005,Corrientes,75 a 79,Masculino,38,19,9.298225920446056,176.66629248847505
2005,Corrientes,75 a 79,Femenino,38,19,11.714380262171206,222.5732249812529
2005,Corrientes,80 y más,Masculino,26,13,5.992080760900239,77.8970498917031
2005,Corrientes,80 y más,Femenino,49,24.5,7.2709457701241185,178.1381713680409
2005,Córdoba,15 a 19,Masculino,0,0,59.40089991717423,0
2005,Córdoba,15 a 19,Femenino,0,0,65.27387185108115,0
2005,Córdoba,20 a 24,Masculino,0,0,54.65657238289693,0
2005,Córdoba,20 a 24,Femenino,2,1,60.40297393774405,60.40297393774405
2005,Córdoba,25 a 29,Masculino,1,0.5,50.01971590153033,25.009857950765166
2005,Córdoba,25 a 29,Femenino,3,1.5,55.56145953057201,83.34218929585802
2005,Córdoba,30 a 34,Masculino,3,1.5,45.338650136635565,68.00797520495334
2005,Córdoba,30 a 34,Femenino,2,1,50.71508748453657,50.71508748453657
2005,Córdoba,35 a 39,Masculino,5,2.5,40.649509570707714,101.62377392676929
2005,Córdoba,35 a 39,Femenino,7,3.5,45.89630877119981,160.63708069919934
2005,Córdoba,40 a 44,Masculino,8,4,36.01442579949483,144.05770319797932
2005,Córdoba,40 a 44,Femenino,4,2,41.140997801826884,82.28199560365377
2005,Córdoba,45 a 49,Masculino,23,11.5,31.426428576026836,361.4039286243086
2005,Córdoba,45 a 49,Femenino,12,6,36.44056422743235,218.64338536459408
2005,Córdoba,50 a 54,Masculino,56,28,26.993205867479585,755.8097642894284
2005,Córdoba,50 a 54,Femenino,30,15,31.849647363574803,477.744710453622
2005,Córdoba,55 a 59,Masculino,87,43.5,22.76581335691569,990.3128810258324
2005,Córdoba,55 a 59,Femenino,44,22,27.36954671297114,602.1300276853651
