anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,02,CABA,30-39,Mujer,1,0.33,98257.62,4983143.74,50.72,16.91
2005,02,CABA,30-39,Varón,4,1.33,96997.58,4397739.34,45.34,60.45
2005,02,CABA,40-49,Mujer,5,1.67,97340.84,4004699.14,41.14,68.57
2005,02,CABA,40-49,Varón,5,1.67,95386.37,3435285.52,36.01,60.02
2005,02,CABA,50-59,Mujer,24,8,95441.65,3039782.92,31.85,254.8
2005,02,CABA,50-59,Varón,46,15.33,92417.2,2494636.57,26.99,413.9
2005,02,CABA,60-69,Mujer,55,18.33,91170.49,2104350.44,23.08,423.16
2005,02,CABA,60-69,Varón,86,28.67,85071.86,1602958.12,18.84,540.15
2005,02,CABA,70-79,Mujer,138,46,81312.24,1237614.92,15.22,700.14
2005,02,CABA,70-79,Varón,158,52.67,68546.21,827772.32,12.08,636.01
2005,02,CABA,80+,Mujer,291,97,61218.22,517455,8.45,819.91
2005,02,CABA,80+,Varón,141,47,40745.57,276362.57,6.78,318.78
2005,06,Buenos Aires,30-39,Mujer,24,8,98257.62,4983143.74,50.72,405.72
2005,06,Buenos Aires,30-39,Varón,28,9.33,96997.58,4397739.34,45.34,423.16
2005,06,Buenos Aires,40-49,Mujer,89,29.67,97340.84,4004699.14,41.14,1220.52
2005,06,Buenos Aires,40-49,Varón,125,41.67,95386.37,3435285.52,36.01,1500.6
2005,06,Buenos Aires,50-59,Mujer,255,85,95441.65,3039782.92,31.85,2707.22
2005,06,Buenos Aires,50-59,Varón,430,143.33,92417.2,2494636.57,26.99,3869.03
2005,06,Buenos Aires,60-69,Mujer,714,238,91170.49,2104350.44,23.08,5493.39
2005,06,Buenos Aires,60-69,Varón,1010,336.67,85071.86,1602958.12,18.84,6343.61
2005,06,Buenos Aires,70-79,Mujer,1257,419,81312.24,1237614.92,15.22,6377.4
2005,06,Buenos Aires,70-79,Varón,1502,500.67,68546.21,827772.32,12.08,6046.11
2005,06,Buenos Aires,80+,Mujer,1476,492,61218.22,517455,8.45,4158.69
2005,06,Buenos Aires,80+,Varón,916,305.33,40745.57,276362.57,6.78,2070.97
2005,10,Catamarca,30-39,Mujer,2,0.67,98257.62,4983143.74,50.72,33.81
2005,10,Catamarca,30-39,Varón,1,0.33,96997.58,4397739.34,45.34,15.11
2005,10,Catamarca,40-49,Mujer,4,1.33,97340.84,4004699.14,41.14,54.85
2005,10,Catamarca,40-49,Varón,5,1.67,95386.37,3435285.52,36.01,60.02
