anio_enfr,region,grupo_edad_10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,Centro,30-39,Mujer,43,14.33,98257.62,4983143.74,50.72,726.92
2005,Centro,30-39,Varón,47,15.67,96997.58,4397739.34,45.34,710.31
2005,Centro,40-49,Mujer,157,52.33,97340.84,4004699.14,41.14,2153.05
2005,Centro,40-49,Varón,224,74.67,95386.37,3435285.52,36.01,2689.08
2005,Centro,50-59,Mujer,548,182.67,95441.65,3039782.92,31.85,5817.87
2005,Centro,50-59,Varón,948,316,92417.2,2494636.57,26.99,8529.85
2005,Centro,60-69,Mujer,1467,489,91170.49,2104350.44,23.08,11286.85
2005,Centro,60-69,Varón,2155,718.33,85071.86,1602958.12,18.84,13535.13
2005,Centro,70-79,Mujer,2555,851.67,81312.24,1237614.92,15.22,12962.81
2005,Centro,70-79,Varón,3086,1028.67,68546.21,827772.32,12.08,12422.3
2005,Centro,80+,Mujer,3189,1063,61218.22,517455,8.45,8985.15
2005,Centro,80+,Varón,1895,631.67,40745.57,276362.57,6.78,4284.37
2005,Cuyo,30-39,Mujer,6,2,98257.62,4983143.74,50.72,101.43
2005,Cuyo,30-39,Varón,11,3.67,96997.58,4397739.34,45.34,166.24
2005,Cuyo,40-49,Mujer,29,9.67,97340.84,4004699.14,41.14,397.7
2005,Cuyo,40-49,Varón,40,13.33,95386.37,3435285.52,36.01,480.19
2005,Cuyo,50-59,Mujer,142,47.33,95441.65,3039782.92,31.85,1507.55
2005,Cuyo,50-59,Varón,207,69,92417.2,2494636.57,26.99,1862.53
2005,Cuyo,60-69,Mujer,348,116,91170.49,2104350.44,23.08,2677.45
2005,Cuyo,60-69,Varón,485,161.67,85071.86,1602958.12,18.84,3046.19
2005,Cuyo,70-79,Mujer,560,186.67,81312.24,1237614.92,15.22,2841.16
2005,Cuyo,70-79,Varón,558,186,68546.21,827772.32,12.08,2246.16
2005,Cuyo,80+,Mujer,391,130.33,61218.22,517455,8.45,1101.66
2005,Cuyo,80+,Varón,252,84,40745.57,276362.57,6.78,569.74
2005,Noreste,30-39,Mujer,9,3,98257.62,4983143.74,50.72,152.15
2005,Noreste,30-39,Varón,7,2.33,96997.58,4397739.34,45.34,105.79
2005,Noreste,40-49,Mujer,42,14,97340.84,4004699.14,41.14,575.97
2005,Noreste,40-49,Varón,32,10.67,95386.37,3435285.52,36.01,384.15
2005,Noreste,50-59,Mujer,132,44,95441.65,3039782.92,31.85,1401.38
2005,Noreste,50-59,Varón,178,59.33,92417.2,2494636.57,26.99,1601.6
2005,Noreste,60-69,Mujer,271,90.33,91170.49,2104350.44,23.08,2085.03
2005,Noreste,60-69,Varón,291,97,85071.86,1602958.12,18.84,1827.71
2005,Noreste,70-79,Mujer,399,133,81312.24,1237614.92,15.22,2024.33
2005,Noreste,70-79,Varón,347,115.67,68546.21,827772.32,12.08,1396.8
2005,Noreste,80+,Mujer,285,95,61218.22,517455,8.45,803
2005,Noreste,80+,Varón,156,52,40745.57,276362.57,6.78,352.7
2005,Noroeste,30-39,Mujer,8,2.67,98257.62,4983143.74,50.72,135.24
2005,Noroeste,30-39,Varón,12,4,96997.58,4397739.34,45.34,181.35
2005,Noroeste,40-49,Mujer,39,13,97340.84,4004699.14,41.14,534.83
2005,Noroeste,40-49,Varón,52,17.33,95386.37,3435285.52,36.01,624.25
