anio_enfr,prov_id,prov_nombre,grupo_edad,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,02,CABA,35-39 años,Mujer,0,0,NA,NA,NA,NA
2005,02,CABA,35-39 años,Varón,1,0.33,NA,NA,NA,NA
2005,02,CABA,40-44 años,Mujer,2,0.67,NA,NA,NA,NA
2005,02,CABA,40-44 años,Varón,5,1.67,NA,NA,NA,NA
2005,02,CABA,45-49 años,Mujer,4,1.33,NA,NA,NA,NA
2005,02,CABA,45-49 años,Varón,2,0.67,NA,NA,NA,NA
2005,02,CABA,50-54 años,Mujer,9,3,NA,NA,NA,NA
2005,02,CABA,50-54 años,Varón,21,7,NA,NA,NA,NA
2005,02,CABA,55-59 años,Mujer,16,5.33,NA,NA,NA,NA
2005,02,CABA,55-59 años,Varón,26,8.67,NA,NA,NA,NA
2005,02,CABA,60-64 años,Mujer,23,7.67,NA,NA,NA,NA
2005,02,CABA,60-64 años,Varón,38,12.67,NA,NA,NA,NA
2005,02,CABA,65-69 años,Mujer,39,13,NA,NA,NA,NA
2005,02,CABA,65-69 años,Varón,54,18,NA,NA,NA,NA
2005,02,CABA,70-74 años,Mujer,59,19.67,NA,NA,NA,NA
2005,02,CABA,70-74 años,Varón,85,28.33,NA,NA,NA,NA
2005,02,CABA,75-79 años,Mujer,90,30,NA,NA,NA,NA
2005,02,CABA,75-79 años,Varón,86,28.67,NA,NA,NA,NA
2005,02,CABA,80+ años,Mujer,304,101.33,NA,NA,NA,NA
2005,02,CABA,80+ años,Varón,149,49.67,NA,NA,NA,NA
2005,06,Buenos Aires,35-39 años,Mujer,19,6.33,NA,NA,NA,NA
2005,06,Buenos Aires,35-39 años,Varón,19,6.33,NA,NA,NA,NA
2005,06,Buenos Aires,40-44 años,Mujer,44,14.67,NA,NA,NA,NA
2005,06,Buenos Aires,40-44 años,Varón,48,16,NA,NA,NA,NA
2005,06,Buenos Aires,45-49 años,Mujer,47,15.67,NA,NA,NA,NA
2005,06,Buenos Aires,45-49 años,Varón,88,29.33,NA,NA,NA,NA
2005,06,Buenos Aires,50-54 años,Mujer,98,32.67,NA,NA,NA,NA
