anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,2,CABA,20 a 29,Mujer,0,0,98676.96,5721835.44,57.98,0
2005,2,CABA,20 a 29,Varón,1,0.17,97988.53,5129326.1,52.34,8.72
2005,2,CABA,30 a 39,Mujer,3,0.5,98073.65,4737959.6,48.31,24.15
2005,2,CABA,30 a 39,Varón,5,0.83,96648.18,4156118.88,42.99,35.83
2005,2,CABA,40 a 49,Mujer,6,1,96966.42,3762283.1,38.79,38.79
2005,2,CABA,40 a 49,Varón,7,1.17,94807.19,3198267.55,33.72,39.34
2005,2,CABA,50 a 59,Mujer,25,4.17,94611.04,2803255.32,29.61,123.37
2005,2,CABA,50 a 59,Varón,47,7.83,91004.18,2267126.11,24.88,194.89
2005,2,CABA,60 a 69,Mujer,62,10.33,89138.12,1881505.15,21.06,217.64
2005,2,CABA,60 a 69,Varón,92,15.33,81649.99,1398833.14,17.06,261.54
2005,2,CABA,70 a 79,Mujer,149,24.83,77039.5,1045016.18,13.47,334.44
2005,2,CABA,70 a 79,Varón,171,28.5,62091.13,672544.48,10.69,304.58
2005,2,CABA,80+,Mujer,304,101.33,61218.22,517455,8.45,856.53
2005,2,CABA,80+,Varón,149,49.67,40745.57,276362.57,6.78,336.87
2005,6,Buenos Aires,20 a 29,Mujer,27,4.5,98676.96,5721835.44,57.98,260.92
2005,6,Buenos Aires,20 a 29,Varón,18,3,97988.53,5129326.1,52.34,157.01
2005,6,Buenos Aires,30 a 39,Mujer,27,4.5,98073.65,4737959.6,48.31,217.38
2005,6,Buenos Aires,30 a 39,Varón,34,5.67,96648.18,4156118.88,42.99,243.63
2005,6,Buenos Aires,40 a 49,Mujer,91,15.17,96966.42,3762283.1,38.79,588.33
2005,6,Buenos Aires,40 a 49,Varón,136,22.67,94807.19,3198267.55,33.72,764.33
2005,6,Buenos Aires,50 a 59,Mujer,271,45.17,94611.04,2803255.32,29.61,1337.37
2005,6,Buenos Aires,50 a 59,Varón,460,76.67,91004.18,2267126.11,24.88,1907.43
2005,6,Buenos Aires,60 a 69,Mujer,756,126,89138.12,1881505.15,21.06,2653.77
2005,6,Buenos Aires,60 a 69,Varón,1051,175.17,81649.99,1398833.14,17.06,2987.86
2005,6,Buenos Aires,70 a 79,Mujer,1301,216.83,77039.5,1045016.18,13.47,2920.19
2005,6,Buenos Aires,70 a 79,Varón,1551,258.5,62091.13,672544.48,10.69,2762.63
2005,6,Buenos Aires,80+,Mujer,1518,506,61218.22,517455,8.45,4277.03
2005,6,Buenos Aires,80+,Varón,944,314.67,40745.57,276362.57,6.78,2134.27
2005,10,Catamarca,20 a 29,Mujer,2,0.33,98676.96,5721835.44,57.98,19.33
2005,10,Catamarca,20 a 29,Varón,0,0,97988.53,5129326.1,52.34,0
2005,10,Catamarca,30 a 39,Mujer,2,0.33,98073.65,4737959.6,48.31,16.1
2005,10,Catamarca,30 a 39,Varón,1,0.17,96648.18,4156118.88,42.99,7.17
2005,10,Catamarca,40 a 49,Mujer,4,0.67,96966.42,3762283.1,38.79,25.86
2005,10,Catamarca,40 a 49,Varón,5,0.83,94807.19,3198267.55,33.72,28.1
2005,10,Catamarca,50 a 59,Mujer,21,3.5,94611.04,2803255.32,29.61,103.63
2005,10,Catamarca,50 a 59,Varón,22,3.67,91004.18,2267126.11,24.88,91.22
2005,10,Catamarca,60 a 69,Mujer,20,3.33,89138.12,1881505.15,21.06,70.21
2005,10,Catamarca,60 a 69,Varón,25,4.17,81649.99,1398833.14,17.06,71.07
2005,10,Catamarca,70 a 79,Mujer,39,6.5,77039.5,1045016.18,13.47,87.54
2005,10,Catamarca,70 a 79,Varón,42,7,62091.13,672544.48,10.69,74.81
2005,10,Catamarca,80+,Mujer,33,11,61218.22,517455,8.45,92.98
2005,10,Catamarca,80+,Varón,32,10.67,40745.57,276362.57,6.78,72.35
2005,14,Córdoba,20 a 29,Mujer,6,1,98676.96,5721835.44,57.98,57.98
2005,14,Córdoba,20 a 29,Varón,3,0.5,97988.53,5129326.1,52.34,26.17
2005,14,Córdoba,30 a 39,Mujer,12,2,98073.65,4737959.6,48.31,96.61
2005,14,Córdoba,30 a 39,Varón,9,1.5,96648.18,4156118.88,42.99,64.49
