anio_enfr,prov_id,prov_nombre,grupo_edad,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,2,CABA,20 a 24,Mujer,0,0,98811.82,5968527.85,60.4,0
2005,2,CABA,20 a 24,Varón,0,0,98328.48,5374297.43,54.66,0
2005,2,CABA,25 a 29,Mujer,0,0,98542.1,5475143.04,55.56,0
2005,2,CABA,25 a 29,Varón,1,0.33,97648.59,4884354.77,50.02,16.67
2005,2,CABA,30 a 34,Mujer,3,1,98257.62,4983143.74,50.72,50.72
2005,2,CABA,30 a 34,Varón,4,1.33,96997.58,4397739.34,45.34,60.45
2005,2,CABA,35 a 39,Mujer,0,0,97889.69,4492775.46,45.9,0
2005,2,CABA,35 a 39,Varón,1,0.33,96298.79,3914498.43,40.65,13.55
2005,2,CABA,40 a 44,Mujer,2,0.67,97340.84,4004699.14,41.14,27.43
2005,2,CABA,40 a 44,Varón,5,1.67,95386.37,3435285.52,36.01,60.02
2005,2,CABA,45 a 49,Mujer,4,1.33,96592,3519867.05,36.44,48.59
2005,2,CABA,45 a 49,Varón,2,0.67,94228,2961249.58,31.43,20.95
2005,2,CABA,50 a 54,Mujer,9,3,95441.65,3039782.92,31.85,95.55
2005,2,CABA,50 a 54,Varón,21,7,92417.2,2494636.57,26.99,188.95
2005,2,CABA,55 a 59,Mujer,16,5.33,93780.43,2566727.73,27.37,145.97
2005,2,CABA,55 a 59,Varón,26,8.67,89591.16,2039615.66,22.77,197.3
2005,2,CABA,60 a 64,Mujer,23,7.67,91170.49,2104350.44,23.08,176.96
2005,2,CABA,60 a 64,Varón,38,12.67,85071.86,1602958.12,18.84,238.67
2005,2,CABA,65 a 69,Mujer,39,13,87105.74,1658659.86,19.04,247.54
2005,2,CABA,65 a 69,Varón,54,18,78228.13,1194708.16,15.27,274.9
2005,2,CABA,70 a 74,Mujer,59,19.67,81312.24,1237614.92,15.22,299.34
2005,2,CABA,70 a 74,Varón,85,28.33,68546.21,827772.32,12.08,342.16
2005,2,CABA,75 a 79,Mujer,90,30,72766.76,852417.44,11.71,351.43
2005,2,CABA,75 a 79,Varón,86,28.67,55636.06,517316.65,9.3,266.55
2005,2,CABA,80+,Mujer,304,101.33,61218.22,517455,8.45,856.53
2005,2,CABA,80+,Varón,149,49.67,40745.57,276362.57,6.78,336.87
2005,6,Buenos Aires,20 a 24,Mujer,12,4,98811.82,5968527.85,60.4,241.61
2005,6,Buenos Aires,20 a 24,Varón,5,1.67,98328.48,5374297.43,54.66,91.09
2005,6,Buenos Aires,25 a 29,Mujer,15,5,98542.1,5475143.04,55.56,277.81
2005,6,Buenos Aires,25 a 29,Varón,13,4.33,97648.59,4884354.77,50.02,216.75
2005,6,Buenos Aires,30 a 34,Mujer,8,2.67,98257.62,4983143.74,50.72,135.24
2005,6,Buenos Aires,30 a 34,Varón,15,5,96997.58,4397739.34,45.34,226.69
2005,6,Buenos Aires,35 a 39,Mujer,19,6.33,97889.69,4492775.46,45.9,290.68
2005,6,Buenos Aires,35 a 39,Varón,19,6.33,96298.79,3914498.43,40.65,257.45
2005,6,Buenos Aires,40 a 44,Mujer,44,14.67,97340.84,4004699.14,41.14,603.4
2005,6,Buenos Aires,40 a 44,Varón,48,16,95386.37,3435285.52,36.01,576.23
2005,6,Buenos Aires,45 a 49,Mujer,47,15.67,96592,3519867.05,36.44,570.9
2005,6,Buenos Aires,45 a 49,Varón,88,29.33,94228,2961249.58,31.43,921.84
2005,6,Buenos Aires,50 a 54,Mujer,98,32.67,95441.65,3039782.92,31.85,1040.42
2005,6,Buenos Aires,50 a 54,Varón,175,58.33,92417.2,2494636.57,26.99,1574.6
2005,6,Buenos Aires,55 a 59,Mujer,173,57.67,93780.43,2566727.73,27.37,1578.31
2005,6,Buenos Aires,55 a 59,Varón,285,95,89591.16,2039615.66,22.77,2162.75
2005,6,Buenos Aires,60 a 64,Mujer,311,103.67,91170.49,2104350.44,23.08,2392.78
2005,6,Buenos Aires,60 a 64,Varón,469,156.33,85071.86,1602958.12,18.84,2945.7
2005,6,Buenos Aires,65 a 69,Mujer,445,148.33,87105.74,1658659.86,19.04,2824.55
2005,6,Buenos Aires,65 a 69,Varón,582,194,78228.13,1194708.16,15.27,2962.79
2005,6,Buenos Aires,70 a 74,Mujer,631,210.33,81312.24,1237614.92,15.22,3201.38
2005,6,Buenos Aires,70 a 74,Varón,763,254.33,68546.21,827772.32,12.08,3071.36
2005,6,Buenos Aires,75 a 79,Mujer,670,223.33,72766.76,852417.44,11.71,2616.21
2005,6,Buenos Aires,75 a 79,Varón,788,262.67,55636.06,517316.65,9.3,2442.33
2005,6,Buenos Aires,80+,Mujer,1518,506,61218.22,517455,8.45,4277.03
2005,6,Buenos Aires,80+,Varón,944,314.67,40745.57,276362.57,6.78,2134.27
2005,10,Catamarca,20 a 24,Mujer,1,0.33,98811.82,5968527.85,60.4,20.13
2005,10,Catamarca,20 a 24,Varón,0,0,98328.48,5374297.43,54.66,0
2005,10,Catamarca,25 a 29,Mujer,1,0.33,98542.1,5475143.04,55.56,18.52
2005,10,Catamarca,25 a 29,Varón,0,0,97648.59,4884354.77,50.02,0
2005,10,Catamarca,30 a 34,Mujer,1,0.33,98257.62,4983143.74,50.72,16.91
2005,10,Catamarca,30 a 34,Varón,0,0,96997.58,4397739.34,45.34,0
2005,10,Catamarca,35 a 39,Mujer,1,0.33,97889.69,4492775.46,45.9,15.3
