anio anio_enfr prov_id prov_nombre grupo_edad grupo_edad_10 sexo total
2004 2005 2 CABA "20 a 24" "20 a 29" Mujer 0
2004 2005 2 CABA "20 a 24" "20 a 29" Varón 0
2004 2005 2 CABA "25 a 29" "20 a 29" Mujer 0
2004 2005 2 CABA "25 a 29" "20 a 29" Varón 0
2004 2005 2 CABA "30 a 34" "30 a 39" Mujer 1
2004 2005 2 CABA "30 a 34" "30 a 39" Varón 1
2004 2005 2 CABA "30 a 34" "30 a 39" Varón 1
2004 2005 2 CABA "35 a 39" "30 a 39" Mujer 0
2004 2005 2 CABA "35 a 39" "30 a 39" Varón 0
2004 2005 2 CABA "40 a 44" "40 a 49" Mujer 1
2004 2005 2 CABA "40 a 44" "40 a 49" Varón 1
2004 2005 2 CABA "40 a 44" "40 a 49" Varón 1
2004 2005 2 CABA "45 a 49" "40 a 49" Mujer 3
2004 2005 2 CABA "45 a 49" "40 a 49" Varón 1
2004 2005 2 CABA "50 a 54" "50 a 59" Mujer 4
2004 2005 2 CABA "50 a 54" "50 a 59" Varón 1
2004 2005 2 CABA "50 a 54" "50 a 59" Varón 2
2004 2005 2 CABA "50 a 54" "50 a 59" Varón 5
2004 2005 2 CABA "55 a 59" "50 a 59" Mujer 1
2004 2005 2 CABA "55 a 59" "50 a 59" Mujer 2
2004 2005 2 CABA "55 a 59" "50 a 59" Varón 9
2004 2005 2 CABA "60 a 64" "60 a 69" Mujer 10
2004 2005 2 CABA "60 a 64" "60 a 69" Varón 4
2004 2005 2 CABA "60 a 64" "60 a 69" Varón 12
2004 2005 2 CABA "65 a 69" "60 a 69" Mujer 3
2004 2005 2 CABA "65 a 69" "60 a 69" Mujer 1
2004 2005 2 CABA "65 a 69" "60 a 69" Mujer 13
2004 2005 2 CABA "65 a 69" "60 a 69" Varón 1
2004 2005 2 CABA "65 a 69" "60 a 69" Varón 1
2004 2005 2 CABA "65 a 69" "60 a 69" Varón 27
2004 2005 2 CABA "70 a 74" "70 a 79" Mujer 5
2004 2005 2 CABA "70 a 74" "70 a 79" Mujer 2
2004 2005 2 CABA "70 a 74" "70 a 79" Mujer 19
2004 2005 2 CABA "70 a 74" "70 a 79" Varón 2
2004 2005 2 CABA "70 a 74" "70 a 79" Varón 5
2004 2005 2 CABA "70 a 74" "70 a 79" Varón 39
2004 2005 2 CABA "75 a 79" "70 a 79" Mujer 4
2004 2005 2 CABA "75 a 79" "70 a 79" Mujer 4
2004 2005 2 CABA "75 a 79" "70 a 79" Mujer 37
2004 2005 2 CABA "75 a 79" "70 a 79" Varón 4
2004 2005 2 CABA "75 a 79" "70 a 79" Varón 5
2004 2005 2 CABA "75 a 79" "70 a 79" Varón 35
2004 2005 2 CABA 80+ 80+ Mujer 1
2004 2005 2 CABA 80+ 80+ Mujer 6
2004 2005 2 CABA 80+ 80+ Mujer 58
2004 2005 2 CABA 80+ 80+ Mujer 5
2004 2005 2 CABA 80+ 80+ Mujer 13
2004 2005 2 CABA 80+ 80+ Mujer 74
2004 2005 2 CABA 80+ 80+ Varón 5
2004 2005 2 CABA 80+ 80+ Varón 29
2004 2005 2 CABA 80+ 80+ Varón 2
2004 2005 2 CABA 80+ 80+ Varón 7
2004 2005 2 CABA 80+ 80+ Varón 24
2004 2005 6 "Buenos Aires" "20 a 24" "20 a 29" Mujer 1
2004 2005 6 "Buenos Aires" "20 a 24" "20 a 29" Mujer 3
2004 2005 6 "Buenos Aires" "20 a 24" "20 a 29" Varón 4
2004 2005 6 "Buenos Aires" "25 a 29" "20 a 29" Mujer 0
2004 2005 6 "Buenos Aires" "25 a 29" "20 a 29" Varón 0
2004 2005 6 "Buenos Aires" "30 a 34" "30 a 39" Mujer 1
2004 2005 6 "Buenos Aires" "30 a 34" "30 a 39" Mujer 3
2004 2005 6 "Buenos Aires" "30 a 34" "30 a 39" Varón 5
2004 2005 6 "Buenos Aires" "35 a 39" "30 a 39" Mujer 2
2004 2005 6 "Buenos Aires" "35 a 39" "30 a 39" Mujer 7
2004 2005 6 "Buenos Aires" "35 a 39" "30 a 39" Varón 1
2004 2005 6 "Buenos Aires" "35 a 39" "30 a 39" Varón 4
2004 2005 6 "Buenos Aires" "40 a 44" "40 a 49" Mujer 1
2004 2005 6 "Buenos Aires" "40 a 44" "40 a 49" Mujer 1
2004 2005 6 "Buenos Aires" "40 a 44" "40 a 49" Mujer 10
2004 2005 6 "Buenos Aires" "40 a 44" "40 a 49" Varón 1
2004 2005 6 "Buenos Aires" "40 a 44" "40 a 49" Varón 11
2004 2005 6 "Buenos Aires" "45 a 49" "40 a 49" Mujer 1
2004 2005 6 "Buenos Aires" "45 a 49" "40 a 49" Mujer 3
2004 2005 6 "Buenos Aires" "45 a 49" "40 a 49" Mujer 18
2004 2005 6 "Buenos Aires" "45 a 49" "40 a 49" Varón 3
2004 2005 6 "Buenos Aires" "45 a 49" "40 a 49" Varón 3
2004 2005 6 "Buenos Aires" "45 a 49" "40 a 49" Varón 28
2004 2005 6 "Buenos Aires" "50 a 54" "50 a 59" Mujer 1
2004 2005 6 "Buenos Aires" "50 a 54" "50 a 59" Mujer 5
2004 2005 6 "Buenos Aires" "50 a 54" "50 a 59" Mujer 25
2004 2005 6 "Buenos Aires" "50 a 54" "50 a 59" Varón 5
2004 2005 6 "Buenos Aires" "50 a 54" "50 a 59" Varón 4
2004 2005 6 "Buenos Aires" "50 a 54" "50 a 59" Varón 46
2004 2005 6 "Buenos Aires" "55 a 59" "50 a 59" Mujer 8
2004 2005 6 "Buenos Aires" "55 a 59" "50 a 59" Mujer 7
2004 2005 6 "Buenos Aires" "55 a 59" "50 a 59" Mujer 36
2004 2005 6 "Buenos Aires" "55 a 59" "50 a 59" Varón 6
2004 2005 6 "Buenos Aires" "55 a 59" "50 a 59" Varón 11
2004 2005 6 "Buenos Aires" "55 a 59" "50 a 59" Varón 85
2004 2005 6 "Buenos Aires" "60 a 64" "60 a 69" Mujer 3
2004 2005 6 "Buenos Aires" "60 a 64" "60 a 69" Mujer 13
2004 2005 6 "Buenos Aires" "60 a 64" "60 a 69" Mujer 84
2004 2005 6 "Buenos Aires" "60 a 64" "60 a 69" Varón 6
2004 2005 6 "Buenos Aires" "60 a 64" "60 a 69" Varón 20
2004 2005 6 "Buenos Aires" "60 a 64" "60 a 69" Varón 126
2004 2005 6 "Buenos Aires" "65 a 69" "60 a 69" Mujer 10
2004 2005 6 "Buenos Aires" "65 a 69" "60 a 69" Mujer 14
2004 2005 6 "Buenos Aires" "65 a 69" "60 a 69" Mujer 121
2004 2005 6 "Buenos Aires" "65 a 69" "60 a 69" Varón 7
2004 2005 6 "Buenos Aires" "65 a 69" "60 a 69" Varón 25
2004 2005 6 "Buenos Aires" "65 a 69" "60 a 69" Varón 183
2004 2005 6 "Buenos Aires" "70 a 74" "70 a 79" Mujer 5
2004 2005 6 "Buenos Aires" "70 a 74" "70 a 79" Mujer 20
2004 2005 6 "Buenos Aires" "70 a 74" "70 a 79" Mujer 197
2004 2005 6 "Buenos Aires" "70 a 74" "70 a 79" Varón 1
2004 2005 6 "Buenos Aires" "70 a 74" "70 a 79" Varón 30
2004 2005 6 "Buenos Aires" "70 a 74" "70 a 79" Varón 237
2004 2005 6 "Buenos Aires" "75 a 79" "70 a 79" Mujer 8
2004 2005 6 "Buenos Aires" "75 a 79" "70 a 79" Mujer 35
2004 2005 6 "Buenos Aires" "75 a 79" "70 a 79" Mujer 201
2004 2005 6 "Buenos Aires" "75 a 79" "70 a 79" Varón 7
2004 2005 6 "Buenos Aires" "75 a 79" "70 a 79" Varón 29
2004 2005 6 "Buenos Aires" "75 a 79" "70 a 79" Varón 228
2004 2005 6 "Buenos Aires" 80+ 80+ Mujer 7
2004 2005 6 "Buenos Aires" 80+ 80+ Mujer 33
2004 2005 6 "Buenos Aires" 80+ 80+ Mujer 220
2004 2005 6 "Buenos Aires" 80+ 80+ Mujer 6
2004 2005 6 "Buenos Aires" 80+ 80+ Mujer 36
2004 2005 6 "Buenos Aires" 80+ 80+ Mujer 231
2004 2005 6 "Buenos Aires" 80+ 80+ Varón 5
2004 2005 6 "Buenos Aires" 80+ 80+ Varón 26
2004 2005 6 "Buenos Aires" 80+ 80+ Varón 184
2004 2005 6 "Buenos Aires" 80+ 80+ Varón 3
2004 2005 6 "Buenos Aires" 80+ 80+ Varón 9
2004 2005 6 "Buenos Aires" 80+ 80+ Varón 92
2004 2005 10 Catamarca "20 a 24" "20 a 29" Mujer 0
2004 2005 10 Catamarca "20 a 24" "20 a 29" Varón 0
2004 2005 10 Catamarca "25 a 29" "20 a 29" Mujer 0
2004 2005 10 Catamarca "25 a 29" "20 a 29" Varón 0
2004 2005 10 Catamarca "30 a 34" "30 a 39" Mujer 0
2004 2005 10 Catamarca "30 a 34" "30 a 39" Varón 0
2004 2005 10 Catamarca "35 a 39" "30 a 39" Mujer 0
2004 2005 10 Catamarca "35 a 39" "30 a 39" Varón 0
2004 2005 10 Catamarca "40 a 44" "40 a 49" Mujer 1
2004 2005 10 Catamarca "40 a 44" "40 a 49" Varón 1
2004 2005 10 Catamarca "45 a 49" "40 a 49" Mujer 2
2004 2005 10 Catamarca "45 a 49" "40 a 49" Varón 3
2004 2005 10 Catamarca "50 a 54" "50 a 59" Mujer 1
2004 2005 10 Catamarca "50 a 54" "50 a 59" Mujer 4
2004 2005 10 Catamarca "50 a 54" "50 a 59" Varón 4
2004 2005 10 Catamarca "55 a 59" "50 a 59" Mujer 3
2004 2005 10 Catamarca "55 a 59" "50 a 59" Varón 2
2004 2005 10 Catamarca "60 a 64" "60 a 69" Mujer 2
2004 2005 10 Catamarca "60 a 64" "60 a 69" Mujer 1
2004 2005 10 Catamarca "60 a 64" "60 a 69" Mujer 2
2004 2005 10 Catamarca "60 a 64" "60 a 69" Varón 1
2004 2005 10 Catamarca "60 a 64" "60 a 69" Varón 1
2004 2005 10 Catamarca "60 a 64" "60 a 69" Varón 4
2004 2005 10 Catamarca "65 a 69" "60 a 69" Mujer 1
2004 2005 10 Catamarca "65 a 69" "60 a 69" Mujer 2
2004 2005 10 Catamarca "65 a 69" "60 a 69" Varón 1
2004 2005 10 Catamarca "65 a 69" "60 a 69" Varón 5
2004 2005 10 Catamarca "70 a 74" "70 a 79" Mujer 5
2004 2005 10 Catamarca "70 a 74" "70 a 79" Varón 7
2004 2005 10 Catamarca "75 a 79" "70 a 79" Mujer 3
2004 2005 10 Catamarca "75 a 79" "70 a 79" Mujer 4
2004 2005 10 Catamarca "75 a 79" "70 a 79" Varón 2
2004 2005 10 Catamarca "75 a 79" "70 a 79" Varón 1
2004 2005 10 Catamarca 80+ 80+ Mujer 1
2004 2005 10 Catamarca 80+ 80+ Mujer 2
2004 2005 10 Catamarca 80+ 80+ Mujer 1
2004 2005 10 Catamarca 80+ 80+ Mujer 2
2004 2005 10 Catamarca 80+ 80+ Varón 2
2004 2005 10 Catamarca 80+ 80+ Varón 4
2004 2005 10 Catamarca 80+ 80+ Varón 1
2004 2005 10 Catamarca 80+ 80+ Varón 4
2004 2005 14 Córdoba "20 a 24" "20 a 29" Mujer 0
2004 2005 14 Córdoba "20 a 24" "20 a 29" Varón 1
2004 2005 14 Córdoba "25 a 29" "20 a 29" Mujer 0
2004 2005 14 Córdoba "25 a 29" "20 a 29" Varón 0
2004 2005 14 Córdoba "30 a 34" "30 a 39" Mujer 1
2004 2005 14 Córdoba "30 a 34" "30 a 39" Mujer 1
2004 2005 14 Córdoba "30 a 34" "30 a 39" Varón 0
2004 2005 14 Córdoba "35 a 39" "30 a 39" Mujer 1
2004 2005 14 Córdoba "35 a 39" "30 a 39" Varón 1
2004 2005 14 Córdoba "40 a 44" "40 a 49" Mujer 1
2004 2005 14 Córdoba "40 a 44" "40 a 49" Mujer 3
2004 2005 14 Córdoba "40 a 44" "40 a 49" Varón 2
2004 2005 14 Córdoba "40 a 44" "40 a 49" Varón 1
2004 2005 14 Córdoba "45 a 49" "40 a 49" Mujer 1
2004 2005 14 Córdoba "45 a 49" "40 a 49" Mujer 4
2004 2005 14 Córdoba "45 a 49" "40 a 49" Varón 1
2004 2005 14 Córdoba "45 a 49" "40 a 49" Varón 1
2004 2005 14 Córdoba "45 a 49" "40 a 49" Varón 4
2004 2005 14 Córdoba "50 a 54" "50 a 59" Mujer 1
2004 2005 14 Córdoba "50 a 54" "50 a 59" Mujer 5
2004 2005 14 Córdoba "50 a 54" "50 a 59" Mujer 7
2004 2005 14 Córdoba "50 a 54" "50 a 59" Varón 1
