grupo_edad sexo nM nq lx nd nL Tx ex grupo_edad_10
"20 a 24" Varón 0.0013876820000000001 0.006914423 98328.4754 679.8846403 489942.6654 5374297.433 54.65657239 "20 a 29"
"20 a 24" Mujer 5.4667e-4 0.002729618 98811.82099 269.7185104 493384.8087 5968527.848 60.40297394 "20 a 29"
"25 a 29" Varón 0.001337834 0.006666874 97648.59076 651.0108159 486615.4267 4884354.768 50.0197159 "20 a 29"
"25 a 29" Mujer 5.7822e-4 0.002886925 98542.10248 284.4836318 491999.3033 5475143.039 55.56145953 "20 a 29"
"30 a 34" Varón 0.001446057 0.00720424 96997.57994 698.7938737 483240.915 4397739.341 45.33865014 "30 a 39"
"30 a 34" Mujer 7.5031e-4 0.003744527 98257.61885 367.9282986 490368.2735 4983143.736 50.71508748 "30 a 39"
"35 a 39" Varón 0.001903979 0.009474793 96298.78607 912.4110809 479212.9026 3914498.426 40.64950958 "30 a 39"
"35 a 39" Mujer 0.001124525 0.005606862 97889.69055 548.8539458 488076.3179 4492775.463 45.89630877 "30 a 39"
"40 a 44" Varón 0.002443639 0.012144007 95386.37498 1158.372781 474035.943 3435285.524 36.01442579 "40 a 49"
"40 a 44" Mujer 0.001544524 0.007692914 97340.83661 748.8347317 484832.09620000003 4004699.145 41.1409978 "40 a 49"
"45 a 49" Varón 0.003880732 0.019217216 94228.0022 1810.799842 466613.0114 2961249.581 31.42642857 "40 a 49"
"45 a 49" Mujer 0.002396145 0.011909384 96592.00187 1150.351228 480084.1313 3519867.048 36.44056423 "40 a 49"
"50 a 54" Varón 0.006210794 0.030579165 92417.20236 2826.040916 455020.9095 2494636.569 26.99320587 "50 a 59"
"50 a 54" Mujer 0.003511695 0.017405666 95441.65065 1661.225453 473055.1896 3039782.917 31.84964737 "50 a 59"
"55 a 59" Varón 0.010349772 0.050443659 89591.16145 4519.305997 436657.5422 2039615.66 22.76581336 "50 a 59"
"55 a 59" Mujer 0.005644596 0.027830256 93780.42519 2609.933213 462377.2929 2566727.728 27.36954671 "50 a 59"
"60 a 64" Varón 0.016763574 0.080446444 85071.85545 6843.728265 408249.9566 1602958.117 18.84240221 "60 a 69"
"60 a 64" Mujer 0.009120125 0.044584092 91170.49198 4064.753633 445690.5758 2104350.435 23.081486 "60 a 69"
"65 a 69" Varón 0.02638586 0.123765172 78228.12718 9681.917618 366935.8419 1194708.161 15.27210485 "60 a 69"
"65 a 69" Mujer 0.013759819 0.066511142 87105.73835 5793.502115 421044.9365 1658659.859 19.04191262 "60 a 69"
"70 a 74" Varón 0.041584521 0.188342295 68546.20957 12910.15042 310455.6718 827772.319 12.07612097 "70 a 79"
"70 a 74" Mujer 0.022184675 0.105094648 81312.23623 8545.480834 385197.4791 1237614.922 15.22052497 "70 a 79"
"75 a 79" Varón 0.061798028 0.267640936 55636.05915 14890.48697 240954.0783 517316.6473 9.29822592 "70 a 79"
"75 a 79" Mujer 0.034477099 0.158706175 72766.7554 11548.5334 334962.4435 852417.4432 11.71438026 "70 a 79"
80+ Varón 0.100812669 0.402596322 40745.57218 16404.01749 162717.8172 276362.5689 6.782640522 80+
80+ Mujer 0.062386045 0.26984398 61218.222 16519.36865 264792.6884 517454.9997 8.452630325 80+
