anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2005,2,CABA,35-39,Mujer,1993,1993,1,0.02,0.02,0.99,Muy alta
2005,2,CABA,35-39,Varón,2088,2088,1,0.03,0.03,0.99,Muy alta
2005,2,CABA,40-44,Mujer,0,0,NA,0,0,NA,NA
2005,2,CABA,40-44,Varón,1844,1844,1,0.02,0.02,0.99,Muy alta
2005,2,CABA,45-49,Mujer,8240,3738.21,0.45,0.07,0.03,0.44,Muy alta
2005,2,CABA,45-49,Varón,8317,3829.41,0.46,0.11,0.05,0.44,Muy alta
2005,2,CABA,50-54,Mujer,2937,2108.67,0.72,0.03,0.02,0.71,Muy alta
2005,2,CABA,50-54,Varón,8463,4508.3,0.53,0.12,0.06,0.51,Muy alta
2005,2,CABA,55-59,Mujer,3452,1797.78,0.52,0.04,0.02,0.52,Muy alta
2005,2,CABA,55-59,Varón,10017,4882.88,0.49,0.15,0.07,0.45,Muy alta
2005,2,CABA,60-64,Mujer,19844,9792.27,0.49,0.25,0.1,0.39,Muy alta
2005,2,CABA,60-64,Varón,18938,6470.65,0.34,0.19,0.06,0.31,Muy alta
2005,2,CABA,65-69,Mujer,16352,5084.64,0.31,0.23,0.06,0.28,Alta
2005,2,CABA,65-69,Varón,8520,4443.62,0.52,0.15,0.07,0.48,Muy alta
2005,2,CABA,70-74,Mujer,4418,2110.9,0.48,0.08,0.04,0.47,Muy alta
2005,2,CABA,70-74,Varón,13786,5357.06,0.39,0.26,0.09,0.33,Muy alta
2005,2,CABA,75-79,Mujer,8933,3180.64,0.36,0.17,0.06,0.32,Muy alta
2005,2,CABA,75-79,Varón,6371,2976.44,0.47,0.2,0.09,0.44,Muy alta
2005,2,CABA,80+,Mujer,7561,3509.05,0.46,0.1,0.04,0.44,Muy alta
2005,2,CABA,80+,Varón,12788,5341.37,0.42,0.27,0.09,0.34,Muy alta
2005,6,Buenos Aires,35-39,Mujer,36489,12331.51,0.34,0.07,0.02,0.33,Muy alta
2005,6,Buenos Aires,35-39,Varón,20570,8186.66,0.4,0.05,0.02,0.39,Muy alta
2005,6,Buenos Aires,40-44,Mujer,14834,7289.69,0.49,0.03,0.01,0.49,Muy alta
2005,6,Buenos Aires,40-44,Varón,19607,8687.81,0.44,0.05,0.02,0.44,Muy alta
2005,6,Buenos Aires,45-49,Mujer,27037,10498.57,0.39,0.07,0.03,0.37,Muy alta
2005,6,Buenos Aires,45-49,Varón,28815,16070.32,0.56,0.08,0.04,0.53,Muy alta
2005,6,Buenos Aires,50-54,Mujer,60294,19186.48,0.32,0.16,0.05,0.29,Alta
2005,6,Buenos Aires,50-54,Varón,41014,15991.77,0.39,0.11,0.04,0.37,Muy alta
2005,6,Buenos Aires,55-59,Mujer,33387,11392.07,0.34,0.1,0.03,0.33,Muy alta
2005,6,Buenos Aires,55-59,Varón,40985,14077.98,0.34,0.11,0.03,0.33,Muy alta
2005,6,Buenos Aires,60-64,Mujer,63992,17631.02,0.28,0.19,0.05,0.25,Alta
2005,6,Buenos Aires,60-64,Varón,59911,17018.06,0.28,0.19,0.05,0.26,Alta
2005,6,Buenos Aires,65-69,Mujer,50903,16607.17,0.33,0.22,0.06,0.27,Alta
2005,6,Buenos Aires,65-69,Varón,37606,12796.81,0.34,0.2,0.06,0.3,Alta
2005,6,Buenos Aires,70-74,Mujer,35489,12819.89,0.36,0.16,0.05,0.33,Muy alta
2005,6,Buenos Aires,70-74,Varón,11416,4695.08,0.41,0.06,0.03,0.41,Muy alta
2005,6,Buenos Aires,75-79,Mujer,36637,13093.02,0.36,0.19,0.06,0.31,Muy alta
2005,6,Buenos Aires,75-79,Varón,47909,16904.67,0.35,0.31,0.08,0.27,Alta
2005,6,Buenos Aires,80+,Mujer,30249,10329.09,0.34,0.16,0.05,0.31,Muy alta
2005,6,Buenos Aires,80+,Varón,30602,14379.78,0.47,0.28,0.12,0.41,Muy alta
2005,10,Catamarca,35-39,Mujer,725,223.49,0.31,0.09,0.03,0.3,Alta
2005,10,Catamarca,35-39,Varón,430,230.51,0.54,0.04,0.02,0.53,Muy alta
2005,10,Catamarca,40-44,Mujer,717,298.47,0.42,0.1,0.04,0.39,Muy alta
2005,10,Catamarca,40-44,Varón,195,160.08,0.82,0.03,0.03,0.81,Muy alta
2005,10,Catamarca,45-49,Mujer,470,228.1,0.49,0.1,0.05,0.46,Muy alta
2005,10,Catamarca,45-49,Varón,253,162.6,0.64,0.04,0.03,0.64,Muy alta
2005,10,Catamarca,50-54,Mujer,757,295.14,0.39,0.11,0.04,0.38,Muy alta
2005,10,Catamarca,50-54,Varón,1402,534.63,0.38,0.23,0.08,0.33,Muy alta
2005,10,Catamarca,55-59,Mujer,1156,401.35,0.35,0.2,0.06,0.31,Muy alta
2005,10,Catamarca,55-59,Varón,366,203.11,0.55,0.1,0.06,0.57,Muy alta
2005,10,Catamarca,60-64,Mujer,551,273.13,0.5,0.13,0.07,0.49,Muy alta
2005,10,Catamarca,60-64,Varón,496,248.04,0.5,0.19,0.09,0.46,Muy alta
2005,10,Catamarca,65-69,Mujer,1640,493.78,0.3,0.5,0.1,0.19,Moderada
