anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,dm_total,dm_total_cv,dm_prev,dm_prev_cv
2005,2,CABA,20 a 29,Mujer,7193,0.63,0.03,0.62
2005,2,CABA,20 a 29,Varón,6343,0.55,0.02,0.55
2005,2,CABA,30 a 39,Mujer,8244,0.56,0.03,0.55
2005,2,CABA,30 a 39,Varón,7239,0.48,0.04,0.47
2005,2,CABA,40 a 49,Mujer,8240,0.45,0.04,0.45
2005,2,CABA,40 a 49,Varón,10161,0.42,0.07,0.41
2005,2,CABA,50 a 59,Mujer,6389,0.43,0.03,0.43
2005,2,CABA,50 a 59,Varón,18480,0.36,0.14,0.34
2005,2,CABA,60 a 69,Mujer,36196,0.3,0.24,0.25
2005,2,CABA,60 a 69,Varón,27458,0.29,0.18,0.26
2005,2,CABA,70 a 79,Mujer,13351,0.29,0.12,0.27
2005,2,CABA,70 a 79,Varón,20157,0.3,0.24,0.27
2005,2,CABA,80+,Mujer,7561,0.46,0.1,0.44
2005,2,CABA,80+,Varón,12788,0.42,0.27,0.34
2005,6,Buenos Aires,20 a 29,Mujer,22301,0.37,0.02,0.37
2005,6,Buenos Aires,20 a 29,Varón,20346,0.62,0.02,0.62
2005,6,Buenos Aires,30 a 39,Mujer,86560,0.23,0.08,0.22
2005,6,Buenos Aires,30 a 39,Varón,29441,0.35,0.03,0.35
2005,6,Buenos Aires,40 a 49,Mujer,41871,0.31,0.05,0.3
2005,6,Buenos Aires,40 a 49,Varón,48422,0.38,0.06,0.36
2005,6,Buenos Aires,50 a 59,Mujer,93681,0.24,0.13,0.22
2005,6,Buenos Aires,50 a 59,Varón,81999,0.26,0.11,0.25
2005,6,Buenos Aires,60 a 69,Mujer,114895,0.21,0.2,0.18
2005,6,Buenos Aires,60 a 69,Varón,97517,0.22,0.19,0.2
2005,6,Buenos Aires,70 a 79,Mujer,72126,0.25,0.17,0.22
2005,6,Buenos Aires,70 a 79,Varón,59325,0.3,0.18,0.26
2005,6,Buenos Aires,80+,Mujer,30249,0.34,0.16,0.31
2005,6,Buenos Aires,80+,Varón,30602,0.47,0.28,0.41
2005,10,Catamarca,20 a 29,Mujer,835,0.58,0.04,0.56
2005,10,Catamarca,20 a 29,Varón,587,0.47,0.03,0.47
2005,10,Catamarca,30 a 39,Mujer,1402,0.3,0.08,0.29
2005,10,Catamarca,30 a 39,Varón,824,0.36,0.04,0.35
2005,10,Catamarca,40 a 49,Mujer,1187,0.32,0.1,0.3
2005,10,Catamarca,40 a 49,Varón,448,0.51,0.04,0.5
2005,10,Catamarca,50 a 59,Mujer,1913,0.26,0.15,0.25
2005,10,Catamarca,50 a 59,Varón,1768,0.32,0.18,0.3
2005,10,Catamarca,60 a 69,Mujer,2191,0.26,0.3,0.23
2005,10,Catamarca,60 a 69,Varón,981,0.36,0.17,0.34
2005,10,Catamarca,70 a 79,Mujer,1078,0.33,0.3,0.28
2005,10,Catamarca,70 a 79,Varón,359,0.46,0.12,0.45
2005,10,Catamarca,80+,Mujer,18,1,0.01,1.02
2005,10,Catamarca,80+,Varón,34,1,0.04,1.02
2005,14,Córdoba,20 a 29,Mujer,11863,0.46,0.05,0.45
2005,14,Córdoba,20 a 29,Varón,5391,0.79,0.02,0.78
2005,14,Córdoba,30 a 39,Mujer,10977,0.33,0.06,0.32
2005,14,Córdoba,30 a 39,Varón,12050,0.54,0.1,0.5
2005,14,Córdoba,40 a 49,Mujer,12735,0.5,0.07,0.47
2005,14,Córdoba,40 a 49,Varón,10662,0.42,0.09,0.4
2005,14,Córdoba,50 a 59,Mujer,22265,0.34,0.14,0.31
2005,14,Córdoba,50 a 59,Varón,15610,0.36,0.14,0.33
2005,14,Córdoba,60 a 69,Mujer,27676,0.3,0.24,0.25
2005,14,Córdoba,60 a 69,Varón,29389,0.29,0.26,0.25
2005,14,Córdoba,70 a 79,Mujer,18233,0.24,0.21,0.22
2005,14,Córdoba,70 a 79,Varón,12018,0.39,0.17,0.35
2005,14,Córdoba,80+,Mujer,2564,0.53,0.09,0.51
2005,14,Córdoba,80+,Varón,1469,0.63,0.08,0.65
2005,18,Corrientes,20 a 29,Mujer,5472,0.37,0.08,0.35
2005,18,Corrientes,20 a 29,Varón,989,0.63,0.02,0.63
2005,18,Corrientes,30 a 39,Mujer,2111,0.4,0.04,0.4
2005,18,Corrientes,30 a 39,Varón,758,0.64,0.02,0.64
2005,18,Corrientes,40 a 49,Mujer,2153,0.32,0.06,0.31
2005,18,Corrientes,40 a 49,Varón,1988,0.4,0.05,0.39
2005,18,Corrientes,50 a 59,Mujer,4756,0.29,0.13,0.27
2005,18,Corrientes,50 a 59,Varón,6026,0.31,0.19,0.27
2005,18,Corrientes,60 a 69,Mujer,5040,0.26,0.22,0.23
2005,18,Corrientes,60 a 69,Varón,2713,0.38,0.17,0.35
2005,18,Corrientes,70 a 79,Mujer,1505,0.41,0.15,0.39
2005,18,Corrientes,70 a 79,Varón,3323,0.33,0.31,0.29
2005,18,Corrientes,80+,Mujer,0,NA,0,NA
2005,18,Corrientes,80+,Varón,470,0.68,0.2,0.6
2005,22,Chaco,20 a 29,Mujer,3264,0.36,0.05,0.35
2005,22,Chaco,20 a 29,Varón,1985,0.41,0.03,0.4
2005,22,Chaco,30 a 39,Mujer,5531,0.26,0.12,0.24
2005,22,Chaco,30 a 39,Varón,1225,0.52,0.03,0.51
2005,22,Chaco,40 a 49,Mujer,3847,0.24,0.09,0.23
2005,22,Chaco,40 a 49,Varón,1931,0.37,0.05,0.36
2005,22,Chaco,50 a 59,Mujer,4520,0.32,0.15,0.29
2005,22,Chaco,50 a 59,Varón,4534,0.33,0.12,0.31
2005,22,Chaco,60 a 69,Mujer,2767,0.29,0.15,0.27
2005,22,Chaco,60 a 69,Varón,2664,0.33,0.16,0.31
2005,22,Chaco,70 a 79,Mujer,5032,0.28,0.25,0.24
2005,22,Chaco,70 a 79,Varón,1781,0.33,0.19,0.35
2005,22,Chaco,80+,Mujer,787,0.51,0.2,0.46
2005,22,Chaco,80+,Varón,255,0.74,0.07,0.75
2005,26,Chubut,20 a 29,Mujer,1098,0.38,0.04,0.37
2005,26,Chubut,20 a 29,Varón,552,0.59,0.02,0.59
2005,26,Chubut,30 a 39,Mujer,3025,0.3,0.09,0.29
2005,26,Chubut,30 a 39,Varón,921,0.37,0.03,0.37
2005,26,Chubut,40 a 49,Mujer,2285,0.24,0.12,0.23
2005,26,Chubut,40 a 49,Varón,1949,0.32,0.09,0.31
2005,26,Chubut,50 a 59,Mujer,2475,0.24,0.12,0.24
2005,26,Chubut,50 a 59,Varón,3056,0.26,0.17,0.24
2005,26,Chubut,60 a 69,Mujer,2081,0.33,0.15,0.3
2005,26,Chubut,60 a 69,Varón,1436,0.29,0.1,0.31
