anio_enfr,prov_id,prov_nombre,grupo_edad,sexo,dm_total,dm_total_cv,dm_prev,dm_prev_cv
2005,2,CABA,20 a 24,Mujer,1824,1,0.02,0.99
2005,2,CABA,20 a 24,Varón,2772,1,0.02,0.99
2005,2,CABA,25 a 29,Mujer,5369,0.77,0.04,0.75
2005,2,CABA,25 a 29,Varón,3571,0.6,0.03,0.59
2005,2,CABA,30 a 34,Mujer,6251,0.66,0.04,0.64
2005,2,CABA,30 a 34,Varón,5151,0.54,0.04,0.54
2005,2,CABA,35 a 39,Mujer,1993,1,0.02,0.99
2005,2,CABA,35 a 39,Varón,2088,1,0.03,0.99
2005,2,CABA,40 a 44,Mujer,0,NA,0,NA
2005,2,CABA,40 a 44,Varón,1844,1,0.02,0.99
2005,2,CABA,45 a 49,Mujer,8240,0.45,0.07,0.44
2005,2,CABA,45 a 49,Varón,8317,0.46,0.11,0.44
2005,2,CABA,50 a 54,Mujer,2937,0.72,0.03,0.71
2005,2,CABA,50 a 54,Varón,8463,0.53,0.12,0.51
2005,2,CABA,55 a 59,Mujer,3452,0.52,0.04,0.52
2005,2,CABA,55 a 59,Varón,10017,0.49,0.15,0.45
2005,2,CABA,60 a 64,Mujer,19844,0.49,0.25,0.39
2005,2,CABA,60 a 64,Varón,18938,0.34,0.19,0.31
2005,2,CABA,65 a 69,Mujer,16352,0.31,0.23,0.28
2005,2,CABA,65 a 69,Varón,8520,0.52,0.15,0.48
2005,2,CABA,70 a 74,Mujer,4418,0.48,0.08,0.47
2005,2,CABA,70 a 74,Varón,13786,0.39,0.26,0.33
2005,2,CABA,75 a 79,Mujer,8933,0.36,0.17,0.32
2005,2,CABA,75 a 79,Varón,6371,0.47,0.2,0.44
2005,2,CABA,80+,Mujer,7561,0.46,0.1,0.44
2005,2,CABA,80+,Varón,12788,0.42,0.27,0.34
2005,6,Buenos Aires,20 a 24,Mujer,15471,0.49,0.03,0.49
2005,6,Buenos Aires,20 a 24,Varón,14902,0.82,0.03,0.8
2005,6,Buenos Aires,25 a 29,Mujer,6830,0.49,0.02,0.49
2005,6,Buenos Aires,25 a 29,Varón,5444,0.68,0.01,0.68
2005,6,Buenos Aires,30 a 34,Mujer,50071,0.32,0.09,0.3
2005,6,Buenos Aires,30 a 34,Varón,8871,0.71,0.02,0.71
2005,6,Buenos Aires,35 a 39,Mujer,36489,0.34,0.07,0.33
2005,6,Buenos Aires,35 a 39,Varón,20570,0.4,0.05,0.39
2005,6,Buenos Aires,40 a 44,Mujer,14834,0.49,0.03,0.49
2005,6,Buenos Aires,40 a 44,Varón,19607,0.44,0.05,0.44
2005,6,Buenos Aires,45 a 49,Mujer,27037,0.39,0.07,0.37
2005,6,Buenos Aires,45 a 49,Varón,28815,0.56,0.08,0.53
2005,6,Buenos Aires,50 a 54,Mujer,60294,0.32,0.16,0.29
2005,6,Buenos Aires,50 a 54,Varón,41014,0.39,0.11,0.37
2005,6,Buenos Aires,55 a 59,Mujer,33387,0.34,0.1,0.33
2005,6,Buenos Aires,55 a 59,Varón,40985,0.34,0.11,0.33
2005,6,Buenos Aires,60 a 64,Mujer,63992,0.28,0.19,0.25
2005,6,Buenos Aires,60 a 64,Varón,59911,0.28,0.19,0.26
2005,6,Buenos Aires,65 a 69,Mujer,50903,0.33,0.22,0.27
2005,6,Buenos Aires,65 a 69,Varón,37606,0.34,0.2,0.3
2005,6,Buenos Aires,70 a 74,Mujer,35489,0.36,0.16,0.33
2005,6,Buenos Aires,70 a 74,Varón,11416,0.41,0.06,0.41
2005,6,Buenos Aires,75 a 79,Mujer,36637,0.36,0.19,0.31
2005,6,Buenos Aires,75 a 79,Varón,47909,0.35,0.31,0.27
2005,6,Buenos Aires,80+,Mujer,30249,0.34,0.16,0.31
2005,6,Buenos Aires,80+,Varón,30602,0.47,0.28,0.41
2005,10,Catamarca,20 a 24,Mujer,195,1,0.02,0.99
2005,10,Catamarca,20 a 24,Varón,297,0.73,0.02,0.73
2005,10,Catamarca,25 a 29,Mujer,640,0.69,0.06,0.66
2005,10,Catamarca,25 a 29,Varón,290,0.6,0.03,0.59
2005,10,Catamarca,30 a 34,Mujer,677,0.53,0.06,0.51
2005,10,Catamarca,30 a 34,Varón,394,0.46,0.04,0.46
2005,10,Catamarca,35 a 39,Mujer,725,0.31,0.09,0.3
2005,10,Catamarca,35 a 39,Varón,430,0.54,0.04,0.53
2005,10,Catamarca,40 a 44,Mujer,717,0.42,0.1,0.39
2005,10,Catamarca,40 a 44,Varón,195,0.82,0.03,0.81
2005,10,Catamarca,45 a 49,Mujer,470,0.49,0.1,0.46
2005,10,Catamarca,45 a 49,Varón,253,0.64,0.04,0.64
2005,10,Catamarca,50 a 54,Mujer,757,0.39,0.11,0.38
2005,10,Catamarca,50 a 54,Varón,1402,0.38,0.23,0.33
2005,10,Catamarca,55 a 59,Mujer,1156,0.35,0.2,0.31
2005,10,Catamarca,55 a 59,Varón,366,0.55,0.1,0.57
2005,10,Catamarca,60 a 64,Mujer,551,0.5,0.13,0.49
2005,10,Catamarca,60 a 64,Varón,496,0.5,0.19,0.46
2005,10,Catamarca,65 a 69,Mujer,1640,0.3,0.5,0.19
2005,10,Catamarca,65 a 69,Varón,485,0.53,0.14,0.5
2005,10,Catamarca,70 a 74,Mujer,755,0.41,0.36,0.33
2005,10,Catamarca,70 a 74,Varón,152,0.79,0.09,0.77
2005,10,Catamarca,75 a 79,Mujer,323,0.52,0.21,0.48
2005,10,Catamarca,75 a 79,Varón,207,0.55,0.15,0.54
2005,10,Catamarca,80+,Mujer,18,1,0.01,1.02
2005,10,Catamarca,80+,Varón,34,1,0.04,1.02
2005,14,Córdoba,20 a 24,Mujer,8483,0.58,0.07,0.56
2005,14,Córdoba,20 a 24,Varón,0,NA,0,NA
2005,14,Córdoba,25 a 29,Mujer,3380,0.72,0.04,0.71
2005,14,Córdoba,25 a 29,Varón,5391,0.79,0.04,0.77
2005,14,Córdoba,30 a 34,Mujer,7399,0.42,0.08,0.41
2005,14,Córdoba,30 a 34,Varón,7045,0.73,0.12,0.66
2005,14,Córdoba,35 a 39,Mujer,3578,0.52,0.04,0.52
2005,14,Córdoba,35 a 39,Varón,5005,0.79,0.08,0.74
2005,14,Córdoba,40 a 44,Mujer,7448,0.47,0.07,0.46
2005,14,Córdoba,40 a 44,Varón,2469,0.83,0.03,0.82
2005,14,Córdoba,45 a 49,Mujer,5287,1,0.08,0.93
2005,14,Córdoba,45 a 49,Varón,8193,0.48,0.19,0.42
2005,14,Córdoba,50 a 54,Mujer,10529,0.43,0.12,0.41
2005,14,Córdoba,50 a 54,Varón,8938,0.47,0.14,0.44
2005,14,Córdoba,55 a 59,Mujer,11736,0.51,0.16,0.45
2005,14,Córdoba,55 a 59,Varón,6672,0.56,0.14,0.52
2005,14,Córdoba,60 a 64,Mujer,10433,0.35,0.18,0.33
2005,14,Córdoba,60 a 64,Varón,11841,0.35,0.17,0.34
2005,14,Córdoba,65 a 69,Mujer,17243,0.44,0.3,0.33
2005,14,Córdoba,65 a 69,Varón,17548,0.42,0.38,0.29
2005,14,Córdoba,70 a 74,Mujer,10417,0.34,0.2,0.31
2005,14,Córdoba,70 a 74,Varón,5038,0.64,0.12,0.59
2005,14,Córdoba,75 a 79,Mujer,7816,0.34,0.22,0.32
2005,14,Córdoba,75 a 79,Varón,6980,0.48,0.23,0.42
2005,14,Córdoba,80+,Mujer,2564,0.53,0.09,0.51
2005,14,Córdoba,80+,Varón,1469,0.63,0.08,0.65
2005,18,Corrientes,20 a 24,Mujer,2939,0.6,0.08,0.57
2005,18,Corrientes,20 a 24,Varón,121,1,0,1
2005,18,Corrientes,25 a 29,Mujer,2533,0.37,0.08,0.36
2005,18,Corrientes,25 a 29,Varón,868,0.71,0.03,0.7
2005,18,Corrientes,30 a 34,Mujer,1201,0.57,0.04,0.56
2005,18,Corrientes,30 a 34,Varón,0,NA,0,NA
2005,18,Corrientes,35 a 39,Mujer,910,0.56,0.04,0.55
2005,18,Corrientes,35 a 39,Varón,758,0.64,0.03,0.64
2005,18,Corrientes,40 a 44,Mujer,1851,0.34,0.09,0.33
2005,18,Corrientes,40 a 44,Varón,866,0.58,0.04,0.57
2005,18,Corrientes,45 a 49,Mujer,302,0.89,0.02,0.88
2005,18,Corrientes,45 a 49,Varón,1122,0.54,0.07,0.52
2005,18,Corrientes,50 a 54,Mujer,1328,0.4,0.06,0.4
2005,18,Corrientes,50 a 54,Varón,3469,0.37,0.19,0.33
2005,18,Corrientes,55 a 59,Mujer,3428,0.38,0.22,0.33
2005,18,Corrientes,55 a 59,Varón,2557,0.53,0.18,0.46
2005,18,Corrientes,60 a 64,Mujer,2859,0.34,0.22,0.3
2005,18,Corrientes,60 a 64,Varón,2042,0.48,0.2,0.42
2005,18,Corrientes,65 a 69,Mujer,2181,0.39,0.21,0.35
2005,18,Corrientes,65 a 69,Varón,671,0.52,0.11,0.52
2005,18,Corrientes,70 a 74,Mujer,929,0.55,0.14,0.52
2005,18,Corrientes,70 a 74,Varón,2150,0.43,0.39,0.32
2005,18,Corrientes,75 a 79,Mujer,576,0.61,0.17,0.57
2005,18,Corrientes,75 a 79,Varón,1173,0.53,0.23,0.51
2005,18,Corrientes,80+,Mujer,0,NA,0,NA
2005,18,Corrientes,80+,Varón,470,0.68,0.2,0.6
2005,22,Chaco,20 a 24,Mujer,1370,0.65,0.04,0.64
2005,22,Chaco,20 a 24,Varón,1276,0.52,0.04,0.51
2005,22,Chaco,25 a 29,Mujer,1894,0.41,0.07,0.4
2005,22,Chaco,25 a 29,Varón,709,0.67,0.02,0.66
2005,22,Chaco,30 a 34,Mujer,1982,0.37,0.09,0.36
2005,22,Chaco,30 a 34,Varón,350,1,0.02,0.99
2005,22,Chaco,35 a 39,Mujer,3549,0.34,0.14,0.31
2005,22,Chaco,35 a 39,Varón,875,0.61,0.04,0.6
2005,22,Chaco,40 a 44,Mujer,2045,0.33,0.08,0.32
2005,22,Chaco,40 a 44,Varón,1559,0.44,0.07,0.42
2005,22,Chaco,45 a 49,Mujer,1802,0.34,0.11,0.33
2005,22,Chaco,45 a 49,Varón,372,0.6,0.02,0.61
2005,22,Chaco,50 a 54,Mujer,1990,0.6,0.12,0.54
2005,22,Chaco,50 a 54,Varón,2822,0.46,0.12,0.43
2005,22,Chaco,55 a 59,Mujer,2530,0.33,0.2,0.29
2005,22,Chaco,55 a 59,Varón,1712,0.42,0.13,0.4
2005,22,Chaco,60 a 64,Mujer,1855,0.37,0.2,0.33
2005,22,Chaco,60 a 64,Varón,985,0.51,0.12,0.49
2005,22,Chaco,65 a 69,Mujer,912,0.48,0.1,0.46
2005,22,Chaco,65 a 69,Varón,1679,0.44,0.19,0.4
2005,22,Chaco,70 a 74,Mujer,4252,0.32,0.35,0.24
2005,22,Chaco,70 a 74,Varón,816,0.49,0.15,0.54
2005,22,Chaco,75 a 79,Mujer,780,0.58,0.1,0.56
2005,22,Chaco,75 a 79,Varón,965,0.45,0.24,0.41
2005,22,Chaco,80+,Mujer,787,0.51,0.2,0.46
2005,22,Chaco,80+,Varón,255,0.74,0.07,0.75
2005,26,Chubut,20 a 24,Mujer,401,0.75,0.03,0.74
2005,26,Chubut,20 a 24,Varón,552,0.59,0.04,0.59
2005,26,Chubut,25 a 29,Mujer,697,0.41,0.06,0.41
2005,26,Chubut,25 a 29,Varón,0,NA,0,NA
2005,26,Chubut,30 a 34,Mujer,881,0.43,0.05,0.43
2005,26,Chubut,30 a 34,Varón,465,0.56,0.03,0.56
2005,26,Chubut,35 a 39,Mujer,2144,0.39,0.13,0.35
2005,26,Chubut,35 a 39,Varón,456,0.49,0.04,0.5
2005,26,Chubut,40 a 44,Mujer,644,0.41,0.06,0.4
2005,26,Chubut,40 a 44,Varón,1374,0.42,0.1,0.4
2005,26,Chubut,45 a 49,Mujer,1641,0.29,0.19,0.28
2005,26,Chubut,45 a 49,Varón,575,0.42,0.08,0.42
2005,26,Chubut,50 a 54,Mujer,1442,0.33,0.11,0.32
2005,26,Chubut,50 a 54,Varón,1089,0.39,0.1,0.39
2005,26,Chubut,55 a 59,Mujer,1033,0.36,0.13,0.35
2005,26,Chubut,55 a 59,Varón,1967,0.34,0.3,0.27
2005,26,Chubut,60 a 64,Mujer,745,0.35,0.11,0.36
2005,26,Chubut,60 a 64,Varón,771,0.35,0.1,0.38
2005,26,Chubut,65 a 69,Mujer,1336,0.47,0.19,0.42
2005,26,Chubut,65 a 69,Varón,665,0.47,0.11,0.5
2005,26,Chubut,70 a 74,Mujer,831,0.3,0.24,0.29
2005,26,Chubut,70 a 74,Varón,599,0.45,0.25,0.41
2005,26,Chubut,75 a 79,Mujer,879,0.36,0.26,0.34
2005,26,Chubut,75 a 79,Varón,510,0.49,0.28,0.42
2005,26,Chubut,80+,Mujer,1122,0.52,0.31,0.39
2005,26,Chubut,80+,Varón,82,1,0.19,1.06
2005,30,Entre Ríos,20 a 24,Mujer,0,NA,0,NA
2005,30,Entre Ríos,20 a 24,Varón,307,1,0.01,1.01
2005,30,Entre Ríos,25 a 29,Mujer,3298,0.47,0.08,0.45
2005,30,Entre Ríos,25 a 29,Varón,270,1,0.01,1
2005,30,Entre Ríos,30 a 34,Mujer,2937,0.44,0.09,0.42
2005,30,Entre Ríos,30 a 34,Varón,940,0.69,0.03,0.69
2005,30,Entre Ríos,35 a 39,Mujer,667,0.52,0.02,0.53
2005,30,Entre Ríos,35 a 39,Varón,125,1,0.01,1.01
2005,30,Entre Ríos,40 a 44,Mujer,1360,0.58,0.05,0.57
2005,30,Entre Ríos,40 a 44,Varón,534,0.69,0.02,0.7
2005,30,Entre Ríos,45 a 49,Mujer,470,0.78,0.02,0.77
2005,30,Entre Ríos,45 a 49,Varón,1313,0.53,0.05,0.53
2005,30,Entre Ríos,50 a 54,Mujer,3327,0.47,0.13,0.44
2005,30,Entre Ríos,50 a 54,Varón,3146,0.47,0.13,0.44
2005,30,Entre Ríos,55 a 59,Mujer,3014,0.41,0.13,0.39
2005,30,Entre Ríos,55 a 59,Varón,5768,0.39,0.2,0.34
2005,30,Entre Ríos,60 a 64,Mujer,3193,0.38,0.14,0.36
2005,30,Entre Ríos,60 a 64,Varón,3075,0.44,0.17,0.4
2005,30,Entre Ríos,65 a 69,Mujer,2137,0.46,0.12,0.44
2005,30,Entre Ríos,65 a 69,Varón,986,0.49,0.07,0.5
2005,30,Entre Ríos,70 a 74,Mujer,4747,0.49,0.3,0.37
2005,30,Entre Ríos,70 a 74,Varón,2347,0.47,0.19,0.43
2005,30,Entre Ríos,75 a 79,Mujer,3061,0.55,0.24,0.45
2005,30,Entre Ríos,75 a 79,Varón,2370,0.6,0.19,0.53
2005,30,Entre Ríos,80+,Mujer,2383,0.43,0.13,0.46
2005,30,Entre Ríos,80+,Varón,1101,0.78,0.2,0.7
2005,34,Formosa,20 a 24,Mujer,602,0.47,0.04,0.47
2005,34,Formosa,20 a 24,Varón,91,1,0.01,1
2005,34,Formosa,25 a 29,Mujer,836,0.36,0.05,0.37
2005,34,Formosa,25 a 29,Varón,86,1,0.01,1.01
2005,34,Formosa,30 a 34,Mujer,251,0.58,0.02,0.58
2005,34,Formosa,30 a 34,Varón,151,0.64,0.01,0.65
2005,34,Formosa,35 a 39,Mujer,510,0.44,0.04,0.44
2005,34,Formosa,35 a 39,Varón,818,0.38,0.07,0.39
2005,34,Formosa,40 a 44,Mujer,779,0.48,0.07,0.46
2005,34,Formosa,40 a 44,Varón,1245,0.52,0.1,0.49
2005,34,Formosa,45 a 49,Mujer,1063,0.32,0.15,0.3
2005,34,Formosa,45 a 49,Varón,1011,0.37,0.12,0.36
2005,34,Formosa,50 a 54,Mujer,942,0.37,0.12,0.36
2005,34,Formosa,50 a 54,Varón,871,0.4,0.1,0.39
2005,34,Formosa,55 a 59,Mujer,1976,0.57,0.31,0.42
2005,34,Formosa,55 a 59,Varón,509,0.53,0.07,0.52
2005,34,Formosa,60 a 64,Mujer,826,0.69,0.25,0.58
2005,34,Formosa,60 a 64,Varón,417,0.52,0.1,0.54
2005,34,Formosa,65 a 69,Mujer,1683,0.33,0.4,0.31
2005,34,Formosa,65 a 69,Varón,238,0.71,0.11,0.71
2005,34,Formosa,70 a 74,Mujer,551,0.38,0.18,0.38
2005,34,Formosa,70 a 74,Varón,25,1,0.02,1.02
2005,34,Formosa,75 a 79,Mujer,1160,0.77,0.26,0.7
2005,34,Formosa,75 a 79,Varón,110,0.78,0.05,0.83
2005,34,Formosa,80+,Mujer,325,0.49,0.14,0.49
2005,34,Formosa,80+,Varón,74,0.71,0.04,0.75
2005,38,Jujuy,20 a 24,Mujer,0,NA,0,NA
2005,38,Jujuy,20 a 24,Varón,0,NA,0,NA
2005,38,Jujuy,25 a 29,Mujer,663,0.63,0.03,0.63
2005,38,Jujuy,25 a 29,Varón,0,NA,0,NA
2005,38,Jujuy,30 a 34,Mujer,373,0.52,0.02,0.53
2005,38,Jujuy,30 a 34,Varón,410,0.67,0.02,0.67
2005,38,Jujuy,35 a 39,Mujer,704,0.56,0.03,0.56
2005,38,Jujuy,35 a 39,Varón,99,1,0.01,1
2005,38,Jujuy,40 a 44,Mujer,987,0.39,0.06,0.4
2005,38,Jujuy,40 a 44,Varón,487,0.72,0.04,0.72
2005,38,Jujuy,45 a 49,Mujer,595,0.54,0.05,0.55
2005,38,Jujuy,45 a 49,Varón,265,0.56,0.03,0.57
2005,38,Jujuy,50 a 54,Mujer,284,0.59,0.03,0.59
2005,38,Jujuy,50 a 54,Varón,1351,0.37,0.1,0.36
2005,38,Jujuy,55 a 59,Mujer,724,0.45,0.06,0.56
2005,38,Jujuy,55 a 59,Varón,976,0.77,0.1,0.73
2005,38,Jujuy,60 a 64,Mujer,655,0.42,0.11,0.42
2005,38,Jujuy,60 a 64,Varón,995,0.48,0.11,0.47
2005,38,Jujuy,65 a 69,Mujer,519,0.56,0.09,0.55
2005,38,Jujuy,65 a 69,Varón,1778,0.36,0.26,0.31
2005,38,Jujuy,70 a 74,Mujer,161,1,0.03,1
2005,38,Jujuy,70 a 74,Varón,0,NA,0,NA
2005,38,Jujuy,75 a 79,Mujer,506,0.42,0.12,0.47
2005,38,Jujuy,75 a 79,Varón,564,0.52,0.2,0.48
2005,38,Jujuy,80+,Mujer,289,0.52,0.1,0.51
2005,38,Jujuy,80+,Varón,214,0.71,0.09,0.71
2005,42,La Pampa,20 a 24,Mujer,205,0.89,0.02,0.88
2005,42,La Pampa,20 a 24,Varón,0,NA,0,NA
2005,42,La Pampa,25 a 29,Mujer,504,0.4,0.07,0.39
2005,42,La Pampa,25 a 29,Varón,57,1,0.01,1
2005,42,La Pampa,30 a 34,Mujer,1356,0.44,0.14,0.4
2005,42,La Pampa,30 a 34,Varón,194,0.72,0.02,0.71
2005,42,La Pampa,35 a 39,Mujer,522,0.44,0.06,0.43
2005,42,La Pampa,35 a 39,Varón,0,NA,0,NA
2005,42,La Pampa,40 a 44,Mujer,690,0.39,0.11,0.37
2005,42,La Pampa,40 a 44,Varón,0,NA,0,NA
2005,42,La Pampa,45 a 49,Mujer,439,0.45,0.08,0.43
2005,42,La Pampa,45 a 49,Varón,97,1,0.02,1
2005,42,La Pampa,50 a 54,Mujer,417,0.55,0.07,0.53
2005,42,La Pampa,50 a 54,Varón,624,0.6,0.1,0.56
2005,42,La Pampa,55 a 59,Mujer,575,0.4,0.13,0.37
2005,42,La Pampa,55 a 59,Varón,705,0.4,0.17,0.38
2005,42,La Pampa,60 a 64,Mujer,289,0.53,0.11,0.5
2005,42,La Pampa,60 a 64,Varón,352,0.56,0.12,0.54
2005,42,La Pampa,65 a 69,Mujer,687,0.54,0.17,0.47
2005,42,La Pampa,65 a 69,Varón,438,0.58,0.2,0.53
2005,42,La Pampa,70 a 74,Mujer,353,0.48,0.11,0.46
2005,42,La Pampa,70 a 74,Varón,466,0.59,0.2,0.53
2005,42,La Pampa,75 a 79,Mujer,245,0.56,0.14,0.52
2005,42,La Pampa,75 a 79,Varón,773,0.46,0.27,0.37
2005,42,La Pampa,80+,Mujer,154,0.68,0.06,0.66
2005,42,La Pampa,80+,Varón,114,0.75,0.1,0.75
2005,46,La Rioja,20 a 24,Mujer,469,0.66,0.04,0.64
2005,46,La Rioja,20 a 24,Varón,228,0.74,0.02,0.73
2005,46,La Rioja,25 a 29,Mujer,797,0.37,0.08,0.35
2005,46,La Rioja,25 a 29,Varón,261,0.57,0.03,0.56
2005,46,La Rioja,30 a 34,Mujer,1089,0.34,0.11,0.32
2005,46,La Rioja,30 a 34,Varón,68,1,0.01,1
2005,46,La Rioja,35 a 39,Mujer,354,0.47,0.05,0.46
2005,46,La Rioja,35 a 39,Varón,124,0.81,0.01,0.8
2005,46,La Rioja,40 a 44,Mujer,1026,0.35,0.13,0.32
2005,46,La Rioja,40 a 44,Varón,637,0.48,0.1,0.45
2005,46,La Rioja,45 a 49,Mujer,715,0.34,0.15,0.32
2005,46,La Rioja,45 a 49,Varón,550,0.4,0.08,0.38
2005,46,La Rioja,50 a 54,Mujer,1194,0.34,0.21,0.29
2005,46,La Rioja,50 a 54,Varón,818,0.42,0.16,0.38
2005,46,La Rioja,55 a 59,Mujer,1343,0.32,0.29,0.26
2005,46,La Rioja,55 a 59,Varón,529,0.5,0.1,0.48
2005,46,La Rioja,60 a 64,Mujer,998,0.35,0.25,0.3
2005,46,La Rioja,60 a 64,Varón,678,0.4,0.14,0.39
2005,46,La Rioja,65 a 69,Mujer,118,1,0.04,0.98
2005,46,La Rioja,65 a 69,Varón,292,0.71,0.11,0.67
2005,46,La Rioja,70 a 74,Mujer,780,0.43,0.37,0.31
2005,46,La Rioja,70 a 74,Varón,1063,0.36,0.63,0.19
2005,46,La Rioja,75 a 79,Mujer,344,0.55,0.26,0.45
2005,46,La Rioja,75 a 79,Varón,53,1,0.09,0.97
2005,46,La Rioja,80+,Mujer,259,0.68,0.21,0.59
2005,46,La Rioja,80+,Varón,33,1,0.02,1.03
2005,50,Mendoza,20 a 24,Mujer,879,0.79,0.02,0.79
2005,50,Mendoza,20 a 24,Varón,2449,0.71,0.04,0.69
2005,50,Mendoza,25 a 29,Mujer,707,0.83,0.02,0.83
2005,50,Mendoza,25 a 29,Varón,885,0.95,0.02,0.94
2005,50,Mendoza,30 a 34,Mujer,0,NA,0,NA
2005,50,Mendoza,30 a 34,Varón,0,NA,0,NA
2005,50,Mendoza,35 a 39,Mujer,610,1,0.01,0.99
2005,50,Mendoza,35 a 39,Varón,499,0.71,0.01,0.72
2005,50,Mendoza,40 a 44,Mujer,1804,0.46,0.05,0.45
2005,50,Mendoza,40 a 44,Varón,901,0.8,0.02,0.8
2005,50,Mendoza,45 a 49,Mujer,4322,0.33,0.12,0.31
2005,50,Mendoza,45 a 49,Varón,2045,0.53,0.06,0.52
2005,50,Mendoza,50 a 54,Mujer,2058,0.65,0.06,0.62
2005,50,Mendoza,50 a 54,Varón,7258,0.39,0.15,0.36
2005,50,Mendoza,55 a 59,Mujer,3715,0.41,0.13,0.38
2005,50,Mendoza,55 a 59,Varón,2263,0.54,0.1,0.51
2005,50,Mendoza,60 a 64,Mujer,5995,0.38,0.18,0.34
2005,50,Mendoza,60 a 64,Varón,1536,0.57,0.08,0.56
2005,50,Mendoza,65 a 69,Mujer,2273,0.51,0.08,0.49
2005,50,Mendoza,65 a 69,Varón,1850,0.47,0.13,0.45
2005,50,Mendoza,70 a 74,Mujer,1870,0.39,0.08,0.39
2005,50,Mendoza,70 a 74,Varón,945,0.71,0.09,0.69
2005,50,Mendoza,75 a 79,Mujer,2527,0.46,0.13,0.45
2005,50,Mendoza,75 a 79,Varón,3787,0.38,0.33,0.31
2005,50,Mendoza,80+,Mujer,3399,0.41,0.2,0.37
2005,50,Mendoza,80+,Varón,3413,0.39,0.33,0.32
2005,54,Misiones,20 a 24,Mujer,319,0.63,0.01,0.64
2005,54,Misiones,20 a 24,Varón,224,1,0.01,1
2005,54,Misiones,25 a 29,Mujer,812,0.69,0.04,0.67
2005,54,Misiones,25 a 29,Varón,833,0.6,0.04,0.59
2005,54,Misiones,30 a 34,Mujer,1659,0.35,0.06,0.35
2005,54,Misiones,30 a 34,Varón,711,0.53,0.04,0.53
2005,54,Misiones,35 a 39,Mujer,2148,0.44,0.09,0.42
2005,54,Misiones,35 a 39,Varón,374,0.86,0.02,0.85
2005,54,Misiones,40 a 44,Mujer,1157,0.65,0.05,0.63
2005,54,Misiones,40 a 44,Varón,745,0.58,0.05,0.57
2005,54,Misiones,45 a 49,Mujer,946,0.47,0.08,0.46
2005,54,Misiones,45 a 49,Varón,1664,0.49,0.08,0.47
2005,54,Misiones,50 a 54,Mujer,1927,0.57,0.13,0.52
2005,54,Misiones,50 a 54,Varón,1742,0.41,0.12,0.39
2005,54,Misiones,55 a 59,Mujer,2085,0.42,0.16,0.4
2005,54,Misiones,55 a 59,Varón,1317,0.46,0.09,0.45
2005,54,Misiones,60 a 64,Mujer,3544,0.38,0.25,0.31
2005,54,Misiones,60 a 64,Varón,1628,0.36,0.2,0.34
2005,54,Misiones,65 a 69,Mujer,1582,0.4,0.25,0.34
2005,54,Misiones,65 a 69,Varón,936,0.53,0.18,0.48
