anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm2_total,dm2_prev
2005,2,CABA,30-39,Mujer,8244,4595.64,0.56,0.03,0.02,0.55,7419.6,0.03
2005,2,CABA,30-39,Varón,7239,3484.37,0.48,0.04,0.02,0.47,6515.1,0.03
2005,2,CABA,40-49,Mujer,8240,3738.24,0.45,0.04,0.02,0.45,7416,0.04
2005,2,CABA,40-49,Varón,10161,4250.18,0.42,0.07,0.03,0.41,9144.9,0.06
2005,2,CABA,50-59,Mujer,6389,2770.9,0.43,0.03,0.01,0.43,5750.1,0.03
2005,2,CABA,50-59,Varón,18480,6645.49,0.36,0.14,0.05,0.34,16632,0.12
2005,2,CABA,60-69,Mujer,36196,11032.86,0.3,0.24,0.06,0.25,32576.4,0.21
2005,2,CABA,60-69,Varón,27458,7848.99,0.29,0.18,0.05,0.26,24712.2,0.16
2005,2,CABA,70-79,Mujer,13351,3817.1,0.29,0.12,0.03,0.27,12015.9,0.11
2005,2,CABA,70-79,Varón,20157,6128.02,0.3,0.24,0.06,0.27,18141.3,0.21
2005,2,CABA,80+,Mujer,7561,3509.08,0.46,0.1,0.04,0.44,6804.9,0.09
2005,2,CABA,80+,Varón,12788,5341.44,0.42,0.27,0.09,0.34,11509.2,0.25
2005,6,Buenos Aires,30-39,Mujer,86560,20151.81,0.23,0.08,0.02,0.22,77904,0.07
2005,6,Buenos Aires,30-39,Varón,29441,10341.69,0.35,0.03,0.01,0.35,26496.9,0.03
2005,6,Buenos Aires,40-49,Mujer,41871,12780.36,0.31,0.05,0.01,0.3,37683.9,0.04
2005,6,Buenos Aires,40-49,Varón,48422,18267.49,0.38,0.06,0.02,0.36,43579.8,0.05
2005,6,Buenos Aires,50-59,Mujer,93681,22311.27,0.24,0.13,0.03,0.22,84312.9,0.12
2005,6,Buenos Aires,50-59,Varón,81999,21303.35,0.26,0.11,0.03,0.25,73799.1,0.1
2005,6,Buenos Aires,60-69,Mujer,114895,24217.2,0.21,0.2,0.04,0.18,103405.5,0.18
2005,6,Buenos Aires,60-69,Varón,97517,21289.7,0.22,0.19,0.04,0.2,87765.3,0.17
2005,6,Buenos Aires,70-79,Mujer,72126,18322.25,0.25,0.17,0.04,0.22,64913.4,0.16
