anio_enfr,region,grupo_edad_10,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm2_total,dm2_prev
2005,Centro,30-39,Mujer,117806,21243.51,0.18,0.07,0.01,0.17,106025.4,0.06
2005,Centro,30-39,Varón,56720,13195.47,0.23,0.04,0.01,0.23,51048,0.04
2005,Centro,40-49,Mujer,71746,14918.62,0.21,0.05,0.01,0.2,64571.4,0.04
2005,Centro,40-49,Varón,79440,19521.43,0.25,0.06,0.01,0.24,71496,0.05
2005,Centro,50-59,Mujer,149224,24366.73,0.16,0.12,0.02,0.15,134301.6,0.11
2005,Centro,50-59,Varón,155504,24544.61,0.16,0.13,0.02,0.15,139953.6,0.12
2005,Centro,60-69,Mujer,205680,28385.7,0.14,0.21,0.02,0.12,185112,0.19
2005,Centro,60-69,Varón,186418,25509.62,0.14,0.21,0.03,0.12,167776.2,0.19
2005,Centro,70-79,Mujer,118786,19568.95,0.16,0.16,0.02,0.15,106907.4,0.14
2005,Centro,70-79,Varón,104985,19606.5,0.19,0.18,0.03,0.17,94486.5,0.16
2005,Centro,80+,Mujer,45661,11123.88,0.24,0.13,0.03,0.23,41094.9,0.12
2005,Centro,80+,Varón,47238,15402.03,0.33,0.25,0.07,0.28,42514.2,0.22
2005,Cuyo,30-39,Mujer,8689,1610.17,0.19,0.05,0.01,0.18,7820.1,0.05
2005,Cuyo,30-39,Varón,3053,907.75,0.3,0.02,0.01,0.3,2747.7,0.02
2005,Cuyo,40-49,Mujer,10866,1863.24,0.17,0.09,0.01,0.17,9779.4,0.08
2005,Cuyo,40-49,Varón,5196,1448.15,0.28,0.05,0.01,0.28,4676.4,0.04
2005,Cuyo,50-59,Mujer,13092,2417.33,0.18,0.12,0.02,0.17,11782.8,0.11
2005,Cuyo,50-59,Varón,13458,3272.25,0.24,0.12,0.03,0.23,12112.2,0.11
2005,Cuyo,60-69,Mujer,12531,2751.68,0.22,0.14,0.03,0.2,11277.9,0.13
2005,Cuyo,60-69,Varón,8102,1672.49,0.21,0.14,0.03,0.2,7291.8,0.13
2005,Cuyo,70-79,Mujer,8629,1702.67,0.2,0.13,0.03,0.19,7766.1,0.12
2005,Cuyo,70-79,Varón,8678,1923.15,0.22,0.23,0.05,0.2,7810.2,0.21
2005,Cuyo,80+,Mujer,4497,1464.1,0.33,0.18,0.05,0.29,4047.3,0.17
2005,Cuyo,80+,Varón,4770,1519.11,0.32,0.29,0.08,0.26,4293,0.26
