anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv
2005,2,CABA,20-24 años,Mujer,1824,1824,1,0.02,0.02,0.99
2005,2,CABA,20-24 años,Varón,2772,2772,1,0.02,0.02,0.99
2005,2,CABA,25-29 años,Mujer,5369,4133.18,0.77,0.04,0.03,0.75
2005,2,CABA,25-29 años,Varón,3571,2128.29,0.6,0.03,0.02,0.59
2005,2,CABA,30-34 años,Mujer,6251,4141.11,0.66,0.04,0.03,0.64
2005,2,CABA,30-34 años,Varón,5151,2789.61,0.54,0.04,0.02,0.54
2005,2,CABA,35-39 años,Mujer,1993,1993,1,0.02,0.02,0.99
2005,2,CABA,35-39 años,Varón,2088,2088,1,0.03,0.03,0.99
2005,2,CABA,40-44 años,Mujer,0,0,NA,0,0,NA
2005,2,CABA,40-44 años,Varón,1844,1844,1,0.02,0.02,0.99
2005,2,CABA,45-49 años,Mujer,8240,3738.3,0.45,0.07,0.03,0.44
2005,2,CABA,45-49 años,Varón,8317,3829.5,0.46,0.11,0.05,0.44
2005,2,CABA,50-54 años,Mujer,2937,2108.68,0.72,0.03,0.02,0.71
2005,2,CABA,50-54 años,Varón,8463,4508.37,0.53,0.12,0.06,0.51
2005,2,CABA,55-59 años,Mujer,3452,1797.81,0.52,0.04,0.02,0.52
2005,2,CABA,55-59 años,Varón,10017,4882.98,0.49,0.15,0.07,0.45
2005,2,CABA,60-64 años,Mujer,19844,9792.46,0.49,0.25,0.1,0.39
2005,2,CABA,60-64 años,Varón,18938,6470.96,0.34,0.19,0.06,0.31
2005,2,CABA,65-69 años,Mujer,16352,5084.94,0.31,0.23,0.06,0.28
2005,2,CABA,65-69 años,Varón,8520,4443.7,0.52,0.15,0.07,0.48
2005,2,CABA,70-74 años,Mujer,4418,2110.94,0.48,0.08,0.04,0.47
2005,2,CABA,70-74 años,Varón,13786,5357.25,0.39,0.26,0.09,0.33
2005,2,CABA,75-79 años,Mujer,8933,3180.78,0.36,0.17,0.06,0.32
2005,2,CABA,75-79 años,Varón,6371,2976.51,0.47,0.2,0.09,0.44
2005,2,CABA,80+ años,Mujer,7561,3509.13,0.46,0.1,0.04,0.44
2005,2,CABA,80+ años,Varón,12788,5341.53,0.42,0.27,0.09,0.34
2005,6,Buenos Aires,20-24 años,Mujer,15471,7579.27,0.49,0.03,0.01,0.49
2005,6,Buenos Aires,20-24 años,Varón,14902,12169.06,0.82,0.03,0.02,0.8
2005,6,Buenos Aires,25-29 años,Mujer,6830,3322.57,0.49,0.02,0.01,0.49
2005,6,Buenos Aires,25-29 años,Varón,5444,3677.81,0.68,0.01,0.01,0.68
2005,6,Buenos Aires,30-34 años,Mujer,50071,15942.33,0.32,0.09,0.03,0.3
2005,6,Buenos Aires,30-34 años,Varón,8871,6319.75,0.71,0.02,0.01,0.71
2005,6,Buenos Aires,35-39 años,Mujer,36489,12332.12,0.34,0.07,0.02,0.33
2005,6,Buenos Aires,35-39 años,Varón,20570,8186.93,0.4,0.05,0.02,0.39
2005,6,Buenos Aires,40-44 años,Mujer,14834,7289.83,0.49,0.03,0.01,0.49
2005,6,Buenos Aires,40-44 años,Varón,19607,8688.04,0.44,0.05,0.02,0.44
2005,6,Buenos Aires,45-49 años,Mujer,27037,10498.94,0.39,0.07,0.03,0.37
2005,6,Buenos Aires,45-49 años,Varón,28815,16070.54,0.56,0.08,0.04,0.53
2005,6,Buenos Aires,50-54 años,Mujer,60294,19187.56,0.32,0.16,0.05,0.29
2005,6,Buenos Aires,50-54 años,Varón,41014,15992.33,0.39,0.11,0.04,0.37
2005,6,Buenos Aires,55-59 años,Mujer,33387,11392.62,0.34,0.1,0.03,0.33
