anio,anio_enfr,prov_id,prov_nombre,grupo_edad,grupo_edad_10,sexo,proy_pob
2005,2005,2,CABA,20 a 24,20 a 29,Varón,106477
2005,2005,2,CABA,20 a 24,20 a 29,Mujer,112614
2005,2005,2,CABA,25 a 29,20 a 29,Varón,121844
2005,2005,2,CABA,25 a 29,20 a 29,Mujer,131087
2005,2005,2,CABA,30 a 34,30 a 39,Varón,113159
2005,2005,2,CABA,30 a 34,30 a 39,Mujer,120458
2005,2005,2,CABA,35 a 39,30 a 39,Varón,100148
2005,2005,2,CABA,35 a 39,30 a 39,Mujer,103785
2005,2005,2,CABA,40 a 44,40 a 49,Varón,91001
2005,2005,2,CABA,40 a 44,40 a 49,Mujer,98155
2005,2005,2,CABA,45 a 49,40 a 49,Varón,85242
2005,2005,2,CABA,45 a 49,40 a 49,Mujer,96698
2005,2005,2,CABA,50 a 54,50 a 59,Varón,80672
2005,2005,2,CABA,50 a 54,50 a 59,Mujer,95391
2005,2005,2,CABA,55 a 59,50 a 59,Varón,73295
2005,2005,2,CABA,55 a 59,50 a 59,Mujer,92452
2005,2005,2,CABA,60 a 64,60 a 69,Varón,64545
2005,2005,2,CABA,60 a 64,60 a 69,Mujer,88007
2005,2005,2,CABA,65 a 69,60 a 69,Varón,54247
2005,2005,2,CABA,65 a 69,60 a 69,Mujer,81055
2005,2005,2,CABA,70 a 74,70 a 79,Varón,47968
2005,2005,2,CABA,70 a 74,70 a 79,Mujer,76259
2005,2005,2,CABA,75 a 79,70 a 79,Varón,38193
2005,2005,2,CABA,75 a 79,70 a 79,Mujer,71564
2005,2005,2,CABA,80+,80+,Varón,39349
2005,2005,2,CABA,80+,80+,Mujer,100219
2005,2005,6,Buenos Aires,20 a 24,20 a 29,Varón,601552
2005,2005,6,Buenos Aires,20 a 24,20 a 29,Mujer,587106
2005,2005,6,Buenos Aires,25 a 29,20 a 29,Varón,639755
2005,2005,6,Buenos Aires,25 a 29,20 a 29,Mujer,625623
2005,2005,6,Buenos Aires,30 a 34,30 a 39,Varón,545347
2005,2005,6,Buenos Aires,30 a 34,30 a 39,Mujer,536850
2005,2005,6,Buenos Aires,35 a 39,30 a 39,Varón,471958
2005,2005,6,Buenos Aires,35 a 39,30 a 39,Mujer,473785
2005,2005,6,Buenos Aires,40 a 44,40 a 49,Varón,429447
2005,2005,6,Buenos Aires,40 a 44,40 a 49,Mujer,442770
2005,2005,6,Buenos Aires,45 a 49,40 a 49,Varón,396781
2005,2005,6,Buenos Aires,45 a 49,40 a 49,Mujer,430543
2005,2005,6,Buenos Aires,50 a 54,50 a 59,Varón,368311
2005,2005,6,Buenos Aires,50 a 54,50 a 59,Mujer,406716
2005,2005,6,Buenos Aires,55 a 59,50 a 59,Varón,326561
2005,2005,6,Buenos Aires,55 a 59,50 a 59,Mujer,364320
2005,2005,6,Buenos Aires,60 a 64,60 a 69,Varón,275003
2005,2005,6,Buenos Aires,60 a 64,60 a 69,Mujer,309712
2005,2005,6,Buenos Aires,65 a 69,60 a 69,Varón,218281
2005,2005,6,Buenos Aires,65 a 69,60 a 69,Mujer,267592
2005,2005,6,Buenos Aires,70 a 74,70 a 79,Varón,176663
2005,2005,6,Buenos Aires,70 a 74,70 a 79,Mujer,243633
2005,2005,6,Buenos Aires,75 a 79,70 a 79,Varón,129902
2005,2005,6,Buenos Aires,75 a 79,70 a 79,Mujer,203887
2005,2005,6,Buenos Aires,80+,80+,Varón,103959
2005,2005,6,Buenos Aires,80+,80+,Mujer,211345
2005,2005,10,Catamarca,20 a 24,20 a 29,Varón,15970
2005,2005,10,Catamarca,20 a 24,20 a 29,Mujer,15403
2005,2005,10,Catamarca,25 a 29,20 a 29,Varón,15420
2005,2005,10,Catamarca,25 a 29,20 a 29,Mujer,14845
2005,2005,10,Catamarca,30 a 34,30 a 39,Varón,12931
2005,2005,10,Catamarca,30 a 34,30 a 39,Mujer,12456
2005,2005,10,Catamarca,35 a 39,30 a 39,Varón,10984
2005,2005,10,Catamarca,35 a 39,30 a 39,Mujer,10606
2005,2005,10,Catamarca,40 a 44,40 a 49,Varón,10030
2005,2005,10,Catamarca,40 a 44,40 a 49,Mujer,9604
2005,2005,10,Catamarca,45 a 49,40 a 49,Varón,9280
2005,2005,10,Catamarca,45 a 49,40 a 49,Mujer,9002
2005,2005,10,Catamarca,50 a 54,50 a 59,Varón,8353
2005,2005,10,Catamarca,50 a 54,50 a 59,Mujer,8225
2005,2005,10,Catamarca,55 a 59,50 a 59,Varón,6771
2005,2005,10,Catamarca,55 a 59,50 a 59,Mujer,6694
2005,2005,10,Catamarca,60 a 64,60 a 69,Varón,5010
2005,2005,10,Catamarca,60 a 64,60 a 69,Mujer,5420
2005,2005,10,Catamarca,65 a 69,60 a 69,Varón,3964
2005,2005,10,Catamarca,65 a 69,60 a 69,Mujer,4619
2005,2005,10,Catamarca,70 a 74,70 a 79,Varón,3159
2005,2005,10,Catamarca,70 a 74,70 a 79,Mujer,4006
2005,2005,10,Catamarca,75 a 79,70 a 79,Varón,2237
2005,2005,10,Catamarca,75 a 79,70 a 79,Mujer,3171
2005,2005,10,Catamarca,80+,80+,Varón,1816
2005,2005,10,Catamarca,80+,80+,Mujer,3101
2005,2005,22,Chaco,20 a 24,20 a 29,Varón,47497
2005,2005,22,Chaco,20 a 24,20 a 29,Mujer,46146
2005,2005,22,Chaco,25 a 29,20 a 29,Varón,40749
2005,2005,22,Chaco,25 a 29,20 a 29,Mujer,40518
2005,2005,22,Chaco,30 a 34,30 a 39,Varón,31485
2005,2005,22,Chaco,30 a 34,30 a 39,Mujer,32118
2005,2005,22,Chaco,35 a 39,30 a 39,Varón,28608
2005,2005,22,Chaco,35 a 39,30 a 39,Mujer,29047
2005,2005,22,Chaco,40 a 44,40 a 49,Varón,28635
2005,2005,22,Chaco,40 a 44,40 a 49,Mujer,28628
2005,2005,22,Chaco,45 a 49,40 a 49,Varón,26117
2005,2005,22,Chaco,45 a 49,40 a 49,Mujer,26290
2005,2005,22,Chaco,50 a 54,50 a 59,Varón,23219
2005,2005,22,Chaco,50 a 54,50 a 59,Mujer,22367
2005,2005,22,Chaco,55 a 59,50 a 59,Varón,18045
2005,2005,22,Chaco,55 a 59,50 a 59,Mujer,17253
2005,2005,22,Chaco,60 a 64,60 a 69,Varón,13622
2005,2005,22,Chaco,60 a 64,60 a 69,Mujer,14455
2005,2005,22,Chaco,65 a 69,60 a 69,Varón,11035
2005,2005,22,Chaco,65 a 69,60 a 69,Mujer,12946
2005,2005,22,Chaco,70 a 74,70 a 79,Varón,8262
2005,2005,22,Chaco,70 a 74,70 a 79,Mujer,10408
2005,2005,22,Chaco,75 a 79,70 a 79,Varón,5415
2005,2005,22,Chaco,75 a 79,70 a 79,Mujer,7340
2005,2005,22,Chaco,80+,80+,Varón,3833
2005,2005,22,Chaco,80+,80+,Mujer,5982
2005,2005,26,Chubut,20 a 24,20 a 29,Varón,19683
2005,2005,26,Chubut,20 a 24,20 a 29,Mujer,18783
2005,2005,26,Chubut,25 a 29,20 a 29,Varón,18624
2005,2005,26,Chubut,25 a 29,20 a 29,Mujer,17954
2005,2005,26,Chubut,30 a 34,30 a 39,Varón,16395
2005,2005,26,Chubut,30 a 34,30 a 39,Mujer,16121
2005,2005,26,Chubut,35 a 39,30 a 39,Varón,14824
2005,2005,26,Chubut,35 a 39,30 a 39,Mujer,14623
2005,2005,26,Chubut,40 a 44,40 a 49,Varón,14372
2005,2005,26,Chubut,40 a 44,40 a 49,Mujer,14022
2005,2005,26,Chubut,45 a 49,40 a 49,Varón,12787
2005,2005,26,Chubut,45 a 49,40 a 49,Mujer,12655
