anio,region,grupo_edad_10,sexo,proy_pob,pob_est_2010
2005,Centro,30-39,Mujer,1743701,2948351
2005,Centro,30-39,Varón,1745931,2875168
2005,Centro,40-49,Mujer,1531577,2333346
2005,Centro,40-49,Varón,1449919,2226600
2005,Centro,50-59,Mujer,1367619,2043266
2005,Centro,50-59,Varón,1230611,1896227
2005,Centro,60-69,Mujer,1068602,1572788
2005,Centro,60-69,Varón,887810,1360347
2005,Centro,70-79,Mujer,844627,1067525
2005,Centro,70-79,Varón,562451,769536
2005,Centro,80+,Mujer,438009,671649
2005,Centro,80+,Varón,201873,329851
2005,Cuyo,30-39,Mujer,179300,2948351
2005,Cuyo,30-39,Varón,176442,2875168
2005,Cuyo,40-49,Mujer,154218,2333346
2005,Cuyo,40-49,Varón,144167,2226600
2005,Cuyo,50-59,Mujer,136954,2043266
2005,Cuyo,50-59,Varón,125729,1896227
2005,Cuyo,60-69,Mujer,97759,1572788
2005,Cuyo,60-69,Varón,85223,1360347
2005,Cuyo,70-79,Mujer,68525,1067525
2005,Cuyo,70-79,Varón,51782,769536
2005,Cuyo,80+,Mujer,30223,671649
2005,Cuyo,80+,Varón,17815,329851
2005,Noreste,30-39,Mujer,213078,2948351
2005,Noreste,30-39,Varón,209149,2875168
2005,Noreste,40-49,Mujer,189266,2333346
2005,Noreste,40-49,Varón,189232,2226600
2005,Noreste,50-59,Mujer,135724,2043266
2005,Noreste,50-59,Varón,141055,1896227
2005,Noreste,60-69,Mujer,92279,1572788
2005,Noreste,60-69,Varón,85841,1360347
2005,Noreste,70-79,Mujer,58784,1067525
2005,Noreste,70-79,Varón,47853,769536
2005,Noreste,80+,Mujer,22691,671649
2005,Noreste,80+,Varón,14694,329851
2005,Noroeste,30-39,Mujer,297625,2948351
2005,Noroeste,30-39,Varón,298714,2875168
2005,Noroeste,40-49,Mujer,248130,2333346
2005,Noroeste,40-49,Varón,241830,2226600
2005,Noroeste,50-59,Mujer,197843,2043266
2005,Noroeste,50-59,Varón,194773,1896227
2005,Noroeste,60-69,Mujer,130299,1572788
2005,Noroeste,60-69,Varón,119535,1360347
2005,Noroeste,70-79,Mujer,87786,1067525
2005,Noroeste,70-79,Varón,69640,769536
