sequela,health_state_name,health_state_lay_description,dw,lower,upper,frec_wandurranga
Uncomplicated diabetes mellitus type 2,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.07200000000000001,37.14
Moderate vision impairment due to diabetes mellitus type 2 retinopathy,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049,NA
Severe vision impairment due to diabetes mellitus type 2 retinopathy,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258,12.46
Blindness due to diabetes mellitus type 2 retinopathy,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance.",0.187,0.12400000000000001,0.26,NA
"Diabetic neuropathy due to diabetes mellitus type 2, without diabetic foot or amputation",Diabetic neuropathy,"has pain, tingling and numbness in the arms, legs, hands and feet. The person sometimes gets cramps and muscle weakness.",0.133,0.089,0.187,30.91
Diabetic foot due to neuropathy due to diabetes mellitus type 2,Diabetic neuropathy with diabetic foot,NA,0.15000000000000002,0.10300000000000001,0.20800000000000002,NA
Diabetic neuropathy and amputation with treatment due to diabetes mellitus type 2,Diabetic neuropathy with treated amputation,NA,0.167,0.114,0.229,NA
Diabetic neuropathy and amputation without treatment due to diabetes mellitus type 2,Diabetic neuropathy with untreated amputation,NA,0.28200000000000003,0.198,0.379,NA
Stage 1-2 chronic kidney disease with preserved GFR due to type 2 diabetes mellitus,Asymptomatic,NA,0,0,0,NA
End-stage renal disease after transplant due to type 2 diabetes mellitus,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.",0.024,0.014,0.039,NA
End-stage renal disease on dialysis without anemia due to type 2 diabetes mellitus,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day.",0.5710000000000001,0.398,0.725,NA
End-stage renal disease on dialysis and mild anemia due to type 2 diabetes mellitus,"End-stage renal disease, on dialysis and mild anemia",(combined DW),0.5730000000000001,0.403,0.726,NA
End-stage renal disease on dialysis and moderate anemia due to type 2 diabetes mellitus,"End-stage renal disease, on dialysis and moderate anemia",(combined DW),0.593,0.42400000000000004,0.742,NA
End-stage renal disease on dialysis and severe anemia due to type 2 diabetes mellitus,"End-stage renal disease, on dialysis and severe anemia",(combined DW),0.633,0.462,0.7809999999999999,NA
Stage 3 chronic kidney disease and mild anemia due to type 2 diabetes mellitus,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008,NA
Stage 3 chronic kidney disease and moderate anemia due to type 2 diabetes mellitus,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052000000000000005,0.034,0.07600000000000001,NA
Stage 3 chronic kidney disease and severe anemia due to type 2 diabetes mellitus,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.14900000000000002,0.101,0.20900000000000002,NA
Stage 3 chronic kidney disease without anemia due to type 2 diabetes mellitus,Asymptomatic,NA,0,0,0,NA
Stage 4 chronic kidney disease untreated without anemia due to type 2 diabetes mellitus,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.",0.10400000000000001,0.07,0.14700000000000002,NA
Stage 4 chronic kidney disease untreated and mild anemia due to type 2 diabetes mellitus,Mild anemia with Stage IV CKD,NA,0.10800000000000001,0.07200000000000001,0.15100000000000002,NA
Stage 4 chronic kidney disease untreated and moderate anemia due to type 2 diabetes mellitus,Moderate anemia with Stage IV CKD,NA,0.15000000000000002,0.10300000000000001,0.20700000000000002,NA
Stage 4 chronic kidney disease untreated and severe anemia due to type 2 diabetes mellitus,Severe anemia with Stage IV CKD,NA,0.23700000000000002,0.165,0.324,NA
Stage 5 chronic kidney disease untreated without anemia due to type 2 diabetes mellitus,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.5690000000000001,0.389,0.727,NA
Stage 5 chronic kidney disease untreated and mild anemia due to type 2 diabetes mellitus,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.5700000000000001,0.391,0.727,NA
Stage 5 chronic kidney disease untreated and moderate anemia due to type 2 diabetes mellitus,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.591,0.41400000000000003,0.743,NA
Stage 5 chronic kidney disease untreated and severe anemia due to type 2 diabetes mellitus,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.631,0.456,0.7819999999999999,NA
