anio,prov_res,prov_res_cat,sexo,grupo_edad,defun_dm
2005,02,CABA,Masculino,10 a 14,1
2005,02,CABA,Masculino,15 a 19,0
2005,02,CABA,Masculino,20 a 24,0
2005,02,CABA,Masculino,25 a 29,1
2005,02,CABA,Masculino,30 a 34,0
2005,02,CABA,Masculino,35 a 39,0
2005,02,CABA,Masculino,40 a 44,0
2005,02,CABA,Masculino,45 a 49,1
2005,02,CABA,Masculino,50 a 54,9
2005,02,CABA,Masculino,55 a 59,9
2005,02,CABA,Masculino,60 a 64,14
2005,02,CABA,Masculino,65 a 69,11
2005,02,CABA,Masculino,70 a 74,21
2005,02,CABA,Masculino,75 a 79,23
2005,02,CABA,Masculino,80 y más,48
2005,02,CABA,Femenino,10 a 14,0
2005,02,CABA,Femenino,15 a 19,0
2005,02,CABA,Femenino,20 a 24,0
2005,02,CABA,Femenino,25 a 29,0
2005,02,CABA,Femenino,30 a 34,1
2005,02,CABA,Femenino,35 a 39,0
2005,02,CABA,Femenino,40 a 44,1
2005,02,CABA,Femenino,45 a 49,0
2005,02,CABA,Femenino,50 a 54,3
2005,02,CABA,Femenino,55 a 59,10
2005,02,CABA,Femenino,60 a 64,8
2005,02,CABA,Femenino,65 a 69,14
2005,02,CABA,Femenino,70 a 74,17
2005,02,CABA,Femenino,75 a 79,22
2005,02,CABA,Femenino,80 y más,91
2005,06,Buenos Aires,Masculino,10 a 14,1
2005,06,Buenos Aires,Masculino,15 a 19,3
2005,06,Buenos Aires,Masculino,20 a 24,0
2005,06,Buenos Aires,Masculino,25 a 29,3
2005,06,Buenos Aires,Masculino,30 a 34,4
2005,06,Buenos Aires,Masculino,35 a 39,9
2005,06,Buenos Aires,Masculino,40 a 44,13
2005,06,Buenos Aires,Masculino,45 a 49,32
2005,06,Buenos Aires,Masculino,50 a 54,69
2005,06,Buenos Aires,Masculino,55 a 59,103
2005,06,Buenos Aires,Masculino,60 a 64,167
2005,06,Buenos Aires,Masculino,65 a 69,174
2005,06,Buenos Aires,Masculino,70 a 74,255
2005,06,Buenos Aires,Masculino,75 a 79,288
2005,06,Buenos Aires,Masculino,80 y más,326
2005,06,Buenos Aires,Femenino,10 a 14,2
2005,06,Buenos Aires,Femenino,15 a 19,2
2005,06,Buenos Aires,Femenino,20 a 24,4
2005,06,Buenos Aires,Femenino,25 a 29,4
2005,06,Buenos Aires,Femenino,30 a 34,1
2005,06,Buenos Aires,Femenino,35 a 39,7
2005,06,Buenos Aires,Femenino,40 a 44,16
2005,06,Buenos Aires,Femenino,45 a 49,18
2005,06,Buenos Aires,Femenino,50 a 54,36
2005,06,Buenos Aires,Femenino,55 a 59,62
2005,06,Buenos Aires,Femenino,60 a 64,113
2005,06,Buenos Aires,Femenino,65 a 69,158
2005,06,Buenos Aires,Femenino,70 a 74,211
2005,06,Buenos Aires,Femenino,75 a 79,224
2005,06,Buenos Aires,Femenino,80 y más,519
2005,10,Catamarca,Masculino,10 a 14,0
2005,10,Catamarca,Masculino,15 a 19,0
2005,10,Catamarca,Masculino,20 a 24,0
2005,10,Catamarca,Masculino,25 a 29,0
2005,10,Catamarca,Masculino,30 a 34,0
2005,10,Catamarca,Masculino,35 a 39,1
2005,10,Catamarca,Masculino,40 a 44,0
2005,10,Catamarca,Masculino,45 a 49,0
2005,10,Catamarca,Masculino,50 a 54,7
2005,10,Catamarca,Masculino,55 a 59,3
2005,10,Catamarca,Masculino,60 a 64,3
2005,10,Catamarca,Masculino,65 a 69,6
2005,10,Catamarca,Masculino,70 a 74,9
2005,10,Catamarca,Masculino,75 a 79,6
2005,10,Catamarca,Masculino,80 y más,14
2005,10,Catamarca,Femenino,10 a 14,0
2005,10,Catamarca,Femenino,15 a 19,0
2005,10,Catamarca,Femenino,20 a 24,1
2005,10,Catamarca,Femenino,25 a 29,1
2005,10,Catamarca,Femenino,30 a 34,0
2005,10,Catamarca,Femenino,35 a 39,1
2005,10,Catamarca,Femenino,40 a 44,0
2005,10,Catamarca,Femenino,45 a 49,0
2005,10,Catamarca,Femenino,50 a 54,1
2005,10,Catamarca,Femenino,55 a 59,6
2005,10,Catamarca,Femenino,60 a 64,1
2005,10,Catamarca,Femenino,65 a 69,5
2005,10,Catamarca,Femenino,70 a 74,9
2005,10,Catamarca,Femenino,75 a 79,6
2005,10,Catamarca,Femenino,80 y más,11
2005,14,Córdoba,Masculino,10 a 14,0
2005,14,Córdoba,Masculino,15 a 19,0
2005,14,Córdoba,Masculino,20 a 24,0
2005,14,Córdoba,Masculino,25 a 29,1
2005,14,Córdoba,Masculino,30 a 34,3
2005,14,Córdoba,Masculino,35 a 39,2
2005,14,Córdoba,Masculino,40 a 44,5
2005,14,Córdoba,Masculino,45 a 49,11
2005,14,Córdoba,Masculino,50 a 54,35
2005,14,Córdoba,Masculino,55 a 59,50
2005,14,Córdoba,Masculino,60 a 64,82
2005,14,Córdoba,Masculino,65 a 69,83
2005,14,Córdoba,Masculino,70 a 74,91
2005,14,Córdoba,Masculino,75 a 79,109
2005,14,Córdoba,Masculino,80 y más,121
2005,14,Córdoba,Femenino,10 a 14,0
2005,14,Córdoba,Femenino,15 a 19,0
2005,14,Córdoba,Femenino,20 a 24,1
2005,14,Córdoba,Femenino,25 a 29,2
2005,14,Córdoba,Femenino,30 a 34,2
2005,14,Córdoba,Femenino,35 a 39,4
2005,14,Córdoba,Femenino,40 a 44,3
2005,14,Córdoba,Femenino,45 a 49,5
2005,14,Córdoba,Femenino,50 a 54,18
