grupo_edad,sexo,ceguera_n,ceguera_pct,dialisis_transplante_n,dialisis_transplante_pct,neuropatia_periferica_n,neuropatia_periferica_pct,nefropatia_n,nefropatia_pct,hipo_ta_ortostatica_n,hipo_ta_ortostatica_pct,disfuncion_erectil_n,disfuncion_erectil_pct,iam_n,iam_pct,acv_n,acv_pct,claudicacion_miembros_inferiores_n,claudicacion_miembros_inferiores_pct,revascularizacion_n,revascularizacion_pct,hvi_n,hvi_pct,ic_n,ic_pct,ait_n,ait_pct,amputacion_n,amputacion_pct,crm_n,crm_pct,stent_n,stent_pct,ojos_retinopatia_no_proliferativa_n,ojos_retinopatia_no_proliferativa_pct,ojos_retinopatia_proliferativa_n,ojos_retinopatia_proliferativa_pct
30-34,Femenino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-34,Masculino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-39,Femenino,0,0,0,0,0,0,0,0,0,0,0,0,1,6.66666666666667,0,0,1,6.66666666666667,0,0,1,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-39,Masculino,0,0,1,5,2,10,2,10,1,5,0,0,0,0,0,0,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0
40-44,Femenino,0,0,0,0,1,4.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.52380952380952,0,0,0,0,1,4.76190476190476,0,0
40-44,Masculino,0,0,0,0,3,10.7142857142857,1,3.57142857142857,0,0,0,0,0,0,0,0,1,3.57142857142857,1,3.57142857142857,1,3.57142857142857,0,0,0,0,0,0,0,0,0,0,4,14.2857142857143,1,3.57142857142857
45-49,Femenino,0,0,0,0,6,12.7659574468085,3,6.38297872340426,0,0,0,0,2,4.25531914893617,0,0,1,2.12765957446809,0,0,1,2.12765957446809,0,0,0,0,4,8.51063829787234,0,0,0,0,3,6.38297872340426,4,8.51063829787234
45-49,Masculino,0,0,0,0,9,13.6363636363636,2,3.03030303030303,0,0,0,0,0,0,0,0,1,1.51515151515152,1,1.51515151515152,0,0,0,0,0,0,0,0,0,0,0,0,7,10.6060606060606,1,1.51515151515152
50-54,Femenino,0,0,2,3.03030303030303,11,16.6666666666667,8,12.1212121212121,1,1.51515151515152,3,4.54545454545455,4,6.06060606060606,1,1.51515151515152,3,4.54545454545455,1,1.51515151515152,1,1.51515151515152,2,3.03030303030303,1,1.51515151515152,4,6.06060606060606,0,0,1,1.51515151515152,7,10.6060606060606,2,3.03030303030303
50-54,Masculino,1,1,2,2,12,12,6,6,0,0,0,0,3,3,1,1,5,5,2,2,4,4,1,1,2,2,1,1,0,0,0,0,15,15,8,8
