anio_enfr,prov_id,prov_nombre,sexo,AVAD_est_sum,AVP_est_sum,AVD_est_sum,pob_nac_2010,AVAD_tasa_aj,AVP_tasa_aj,AVD_tasa_aj
2005,2,CABA,Mujeres,108697.23827942669,18302.75726797029,90394.48101145639,10636925,1021.89,172.07,849.82
2009,2,CABA,Mujeres,119677.72159523434,18158.498590059604,101519.22300517472,10636925,1125.12,170.71,954.4
2013,2,CABA,Mujeres,127714.14046511381,19910.12262378398,107804.01784132984,10636925,1200.67,187.18,1013.49
2018,2,CABA,Mujeres,112900.3927328621,14643.36471072827,98257.02802213383,10636925,1061.4,137.67,923.74
2005,6,Buenos Aires,Mujeres,191949.7747761652,55013.87232303314,136935.90245313203,10636925,1804.56,517.2,1287.36
2009,6,Buenos Aires,Mujeres,200683.62753671466,46380.57310554083,154303.05443117383,10636925,1886.67,436.03,1450.64
2013,6,Buenos Aires,Mujeres,184964.07355369275,43966.169391601215,140997.90416209152,10636925,1738.89,413.34,1325.55
2018,6,Buenos Aires,Mujeres,208622.78325553416,41874.37816012958,166748.4050954046,10636925,1961.31,393.67,1567.64
2005,10,Catamarca,Mujeres,227347.96332854946,105346.75572302657,122001.2076055229,10636925,2137.35,990.39,1146.96
2009,10,Catamarca,Mujeres,235426.93985972946,75556.2124639899,159870.72739573955,10636925,2213.3,710.32,1502.98
2013,10,Catamarca,Mujeres,195579.78553877719,66389.46194624197,129190.32359253523,10636925,1838.69,624.14,1214.55
2018,10,Catamarca,Mujeres,194923.91803022908,82656.49602117173,112267.42200905737,10636925,1832.52,777.07,1055.45
2005,14,Córdoba,Mujeres,220794.10862490078,91449.18959677829,129344.9190281225,10636925,2075.73,859.73,1216
2009,14,Córdoba,Mujeres,199828.05955594894,65653.23045144648,134174.82910450245,10636925,1878.63,617.22,1261.41
2013,14,Córdoba,Mujeres,218798.47226270376,48814.02087887543,169984.45138382833,10636925,2056.97,458.91,1598.06
2018,14,Córdoba,Mujeres,232194.40801249415,62584.30388753566,169610.1041249585,10636925,2182.91,588.37,1594.54
2005,18,Corrientes,Mujeres,181732.98657628184,92712.12736422532,89020.85921205653,10636925,1708.51,871.61,836.9
2009,18,Corrientes,Mujeres,270593.85746499134,92720.51010207307,177873.34736291828,10636925,2543.91,871.69,1672.23
2013,18,Corrientes,Mujeres,218476.0578750185,83079.49433553987,135396.56353947864,10636925,2053.94,781.05,1272.89
2018,18,Corrientes,Mujeres,306888.20809250505,108210.3675621366,198677.84053036844,10636925,2885.12,1017.31,1867.81
2005,22,Chaco,Mujeres,255283.25737264557,114752.4368224147,140530.82055023086,10636925,2399.97,1078.81,1321.16
