anio_enfr,region,sexo,AVAD_est_sum,AVP_est_sum,AVD_est_sum,pob_nac_2010,AVAD_tasa_aj,AVP_tasa_aj,AVD_tasa_aj
2005,Centro,Mujeres,180845.28231472467,59975.21020930297,120870.0721054217,10636925,1700.17,563.84,1136.33
2009,Centro,Mujeres,184588.56754503833,47832.46788859693,136756.09965644137,10636925,1735.36,449.68,1285.67
2013,Centro,Mujeres,181802.89146573437,42787.83279147597,139015.05867425838,10636925,1709.17,402.26,1306.91
2018,Centro,Mujeres,198423.1951176401,41844.41976886794,156578.77534877215,10636925,1865.42,393.39,1472.03
2005,Cuyo,Mujeres,249698.37252897088,141996.44347100455,107701.92905796634,10636925,2347.47,1334.94,1012.53
2009,Cuyo,Mujeres,270725.15732133616,131419.45139260855,139305.70592872758,10636925,2545.14,1235.5,1309.64
2013,Cuyo,Mujeres,232224.77065057366,104635.39672951198,127589.37392106168,10636925,2183.19,983.7,1199.49
2018,Cuyo,Mujeres,246139.1857220401,84190.78201391027,161948.40370812983,10636925,2314.01,791.5,1522.51
2005,Noreste,Mujeres,241668.3136779201,126370.88364941147,115297.43002850862,10636925,2271.98,1188.04,1083.94
2009,Noreste,Mujeres,261872.52167900334,120999.120070446,140873.40160855735,10636925,2461.92,1137.54,1324.38
2013,Noreste,Mujeres,245545.27220360006,123431.85704532945,122113.41515827061,10636925,2308.42,1160.41,1148.01
2018,Noreste,Mujeres,305886.7749071636,128653.65356053211,177233.12134663147,10636925,2875.71,1209.5,1666.21
2005,Noroeste,Mujeres,193831.74808006443,95696.7665505298,98134.98152953465,10636925,1822.25,899.67,922.59
2009,Noroeste,Mujeres,235271.50776635561,87250.84933208028,148020.65843427533,10636925,2211.84,820.26,1391.57
2013,Noroeste,Mujeres,225030.73069197062,83073.84827436475,141956.8824176059,10636925,2115.56,780.99,1334.57
2018,Noroeste,Mujeres,225550.4543476656,75950.98480129839,149599.4695463672,10636925,2120.45,714.03,1406.42
2005,Patagonia,Mujeres,237574.34883629167,84782.03502931571,152792.31380697596,10636925,2233.49,797.05,1436.43
2009,Patagonia,Mujeres,224296.4498116544,83333.87378873615,140962.57602291825,10636925,2108.66,783.44,1325.22
2013,Patagonia,Mujeres,228298.16664258484,76019.25573035626,152278.91091222854,10636925,2146.28,714.67,1431.61
2018,Patagonia,Mujeres,263537.29496894154,79700.38638236465,183836.90858657687,10636925,2477.57,749.28,1728.29
2005,Centro,Varones,232852.772167725,63178.41377372878,169674.35839399623,9457729,2462.04,668.01,1794.03
2009,Centro,Varones,219474.60467701062,48337.49855203977,171137.10612497086,9457729,2320.58,511.09,1809.49
2013,Centro,Varones,201809.82193948,46180.55590986935,155629.26602961065,9457729,2133.81,488.28,1645.52
2018,Centro,Varones,261531.36931663062,48338.10251378664,213193.266802844,9457729,2765.27,511.1,2254.17
2005,Cuyo,Varones,261785.67109703514,130768.86517206766,131016.80592496748,9457729,2767.95,1382.67,1385.29
2009,Cuyo,Varones,286084.6369298714,123519.27990069846,162565.3570291729,9457729,3024.88,1306.01,1718.86
2013,Cuyo,Varones,257460.0852335576,99505.95617089666,157954.12906266088,9457729,2722.22,1052.11,1670.11
2018,Cuyo,Varones,296477.3069302538,75746.79033358015,220730.51659667364,9457729,3134.76,800.9,2333.86
2005,Noreste,Varones,196115.18550731704,86848.93211819306,109266.253389124,9457729,2073.6,918.29,1155.31
2009,Noreste,Varones,194557.8249868914,84535.93515852642,110021.88982836498,9457729,2057.13,893.83,1163.3
2013,Noreste,Varones,211672.3222175045,95725.91334322149,115946.408874283,9457729,2238.09,1012.14,1225.94
2018,Noreste,Varones,255985.06393115022,116061.10332771533,139923.96060343488,9457729,2706.62,1227.16,1479.47
2005,Noroeste,Varones,178821.92200889825,76829.50896949647,101992.4130394018,9457729,1890.75,812.35,1078.4
2009,Noroeste,Varones,228026.86110760545,77968.13847662292,150058.72263098255,9457729,2411.01,824.39,1586.63
2013,Noroeste,Varones,199440.6423896982,72660.19526153724,126780.44712816096,9457729,2108.76,768.26,1340.5
2018,Noroeste,Varones,234583.3961651815,75611.30002239157,158972.09614278993,9457729,2480.34,799.47,1680.87
2005,Patagonia,Varones,212373.4334688556,71949.75729113637,140423.67617771923,9457729,2245.5,760.75,1484.75
2009,Patagonia,Varones,261490.02535764186,75423.77657220127,186066.2487854406,9457729,2764.83,797.48,1967.35
2013,Patagonia,Varones,233704.0077856574,76683.81247792883,157020.19530772854,9457729,2471.04,810.81,1660.23
2018,Patagonia,Varones,282385.1693628056,79896.3006979162,202488.86866488936,9457729,2985.76,844.77,2140.99
