anio_enfr,prov_nombre,grupo_edad_10,sexo,prev_dm,prev_dm_cv
2005,Buenos Aires,20 a 29,Varón,0.02177554259587671,0.6167694048610407
2005,Buenos Aires,20 a 29,Mujer,0.021626994709866995,0.370061633663724
2005,Buenos Aires,30 a 39,Varón,0.033781171079067515,0.3471676252710685
2005,Buenos Aires,30 a 39,Mujer,0.07974844598323404,0.2240026113525041
2005,Buenos Aires,40 a 49,Varón,0.05994876956580412,0.36246943953415933
2005,Buenos Aires,40 a 49,Mujer,0.048272681681145055,0.30030918960205855
2005,Buenos Aires,50 a 59,Varón,0.10838428778758535,0.24685654222842773
2005,Buenos Aires,50 a 59,Mujer,0.13207621652485918,0.2216770919043671
2005,Buenos Aires,60 a 69,Varón,0.1923871377587156,0.1972456600360961
2005,Buenos Aires,60 a 69,Mujer,0.20362752795348088,0.18368920320230447
2005,Buenos Aires,70 a 79,Varón,0.1752041464242997,0.2619342900490858
2005,Buenos Aires,70 a 79,Mujer,0.17258698622433963,0.2248118977685325
2005,Buenos Aires,80+,Varón,0.2846459366192598,0.4057900626284033
2005,Buenos Aires,80+,Mujer,0.16187968596978503,0.31451451133620034
2005,CABA,20 a 29,Varón,0.024050292144885663,0.5464736446372445
2005,CABA,20 a 29,Mujer,0.03198865076647351,0.6158868944676115
2005,CABA,30 a 39,Varón,0.03663925091737315,0.4749853890418291
2005,CABA,30 a 39,Mujer,0.03182765809589993,0.5467065314565048
2005,CABA,40 a 49,Varón,0.06577337605592776,0.4065581751879199
2005,CABA,40 a 49,Mujer,0.039679291166060726,0.44642852029405566
2005,CABA,50 a 59,Varón,0.13577253691866872,0.337291161633905
2005,CABA,50 a 59,Mujer,0.0310975906546605,0.43206245712098856
2005,CABA,60 a 69,Varón,0.17923561473938446,0.2588418378394651
2005,CABA,60 a 69,Mujer,0.23805014074132533,0.25019021897704247
2005,CABA,70 a 79,Varón,0.23776215527613295,0.2685137059300094
2005,CABA,70 a 79,Mujer,0.12164366088105326,0.2701060937099527
2005,CABA,80+,Varón,0.27281066666666665,0.34235560611837673
2005,CABA,80+,Mujer,0.10037836043810155,0.4389030042041809
2005,Catamarca,20 a 29,Varón,0.02812245484597327,0.4707414650373937
2005,Catamarca,20 a 29,Mujer,0.04022157996146435,0.5633917770335587
2005,Catamarca,30 a 39,Varón,0.04103790029383933,0.3518826522320597
2005,Catamarca,30 a 39,Mujer,0.07573874993247258,0.28990537027985025
2005,Catamarca,40 a 49,Varón,0.03651776980762961,0.503970632740509
2005,Catamarca,40 a 49,Mujer,0.10279726335844808,0.2989845301755954
2005,Catamarca,50 a 59,Varón,0.1809065793512739,0.29934768949523627
2005,Catamarca,50 a 59,Mujer,0.15369165260705392,0.24562081094083135
2005,Catamarca,60 a 69,Varón,0.16551375063269783,0.3381177183424925
2005,Catamarca,60 a 69,Mujer,0.2951636804526472,0.22724964512737142
2005,Catamarca,70 a 79,Varón,0.11770491803278689,0.4525948064645705
2005,Catamarca,70 a 79,Mujer,0.2959099643151249,0.2767156689542734
2005,Catamarca,80+,Varón,0.03908045977011494,1.0225389570944936
2005,Catamarca,80+,Mujer,0.010625737898465172,1.018550038157415
2005,Chaco,20 a 29,Varón,0.0330844361478716,0.40417815156834247
2005,Chaco,20 a 29,Mujer,0.052459859528439866,0.35257927896384783
2005,Chaco,30 a 39,Varón,0.027925319716415528,0.5131182023043963
2005,Chaco,30 a 39,Mujer,0.11606337215402371,0.2379474358450331
2005,Chaco,40 a 49,Varón,0.04898031655844156,0.3647450947150007
2005,Chaco,40 a 49,Mujer,0.09251821745508766,0.23055561949818357
2005,Chaco,50 a 59,Varón,0.11988999947115131,0.30627093079340145
2005,Chaco,50 a 59,Mujer,0.15363698164513936,0.28672857587956635
2005,Chaco,60 a 69,Varón,0.1568258079708012,0.3119229336311723
2005,Chaco,60 a 69,Mujer,0.14758120433089764,0.2736754191722398
2005,Chaco,70 a 79,Varón,0.18834602368866327,0.3507420014378801
2005,Chaco,70 a 79,Mujer,0.2522685115556224,0.23788025406876956
2005,Chaco,80+,Varón,0.06568778979907264,0.7501842230729177
2005,Chaco,80+,Mujer,0.20005083884087443,0.46089346096987943
2005,Chubut,20 a 29,Varón,0.024120603015075376,0.5852726157067167
2005,Chubut,20 a 29,Mujer,0.04252023390001162,0.37407263624817566
2005,Chubut,30 a 39,Varón,0.03316050982933679,0.3739654670503939
2005,Chubut,30 a 39,Mujer,0.09345938764791299,0.285901610898397
2005,Chubut,40 a 49,Varón,0.09240908444360153,0.3080015964821915
2005,Chubut,40 a 49,Mujer,0.11921531799446966,0.2330185816531735
2005,Chubut,50 a 59,Varón,0.17090766735641183,0.24352541677581166
2005,Chubut,50 a 59,Mujer,0.11575698049670267,0.23734203616876542
2005,Chubut,60 a 69,Varón,0.10201037152802443,0.30761249568294374
2005,Chubut,60 a 69,Mujer,0.15292475014697238,0.303732690356412
2005,Chubut,70 a 79,Varón,0.26562874251497004,0.29469649368132655
2005,Chubut,70 a 79,Mujer,0.24872727272727274,0.2261999155609562
2005,Chubut,80+,Varón,0.1938534278959811,1.058951425931156
2005,Chubut,80+,Mujer,0.3103734439834025,0.39175136231763275
2005,Córdoba,20 a 29,Varón,0.020008907694020712,0.7770839994820788
2005,Córdoba,20 a 29,Mujer,0.05364305190665033,0.44840461589763636
2005,Córdoba,30 a 39,Varón,0.0975463648800706,0.4957412959891323
2005,Córdoba,30 a 39,Mujer,0.06177230291332069,0.324988570325861
2005,Córdoba,40 a 49,Varón,0.08899907344802545,0.3966408472538124
2005,Córdoba,40 a 49,Mujer,0.07213417466269414,0.4721013635405136
2005,Córdoba,50 a 59,Varón,0.1374579524841056,0.3334746053285698
2005,Córdoba,50 a 59,Mujer,0.1387798097660097,0.3109008941934123
2005,Córdoba,60 a 69,Varón,0.25674648588676213,0.24602944055468304
2005,Córdoba,60 a 69,Mujer,0.2422894762184072,0.24971646372973913
2005,Córdoba,70 a 79,Varón,0.16686799683425668,0.3479945712914627
2005,Córdoba,70 a 79,Mujer,0.21000679559092847,0.22410966458326614
2005,Córdoba,80+,Varón,0.08179742747369007,0.6456659529572681
2005,Córdoba,80+,Mujer,0.09459160333505497,0.5066909847299993
2005,Corrientes,20 a 29,Varón,0.01708353485801147,0.629274031766289
2005,Corrientes,20 a 29,Mujer,0.08136440010111073,0.34640834351718447
2005,Corrientes,30 a 39,Varón,0.015656304864194982,0.6380751724514687
2005,Corrientes,30 a 39,Mujer,0.04030933740691235,0.3957517703639357
2005,Corrientes,40 a 49,Varón,0.051746577125305844,0.3895605775008832
2005,Corrientes,40 a 49,Mujer,0.05859300585113621,0.31404130977196415
2005,Corrientes,50 a 59,Varón,0.18576977618842097,0.27206268366831704
2005,Corrientes,50 a 59,Mujer,0.12718277844631634,0.2743075773069887
2005,Corrientes,60 a 69,Varón,0.16699495260371783,0.34759907307391946
2005,Corrientes,60 a 69,Mujer,0.21715713731741995,0.2266107940473091
2005,Corrientes,70 a 79,Varón,0.312018779342723,0.29063622030638864
2005,Corrientes,70 a 79,Mujer,0.15098314606741572,0.38624345946805444
2005,Corrientes,80+,Varón,0.19698239731768652,0.5977132035583782
2005,Corrientes,80+,Mujer,0,NA
2005,Entre Ríos,20 a 29,Varón,0.007663395003519584,0.7123722081288388
2005,Entre Ríos,20 a 29,Mujer,0.0402971579384668,0.4588072327539619
2005,Entre Ríos,30 a 39,Varón,0.020598816293373564,0.6208038928798805
2005,Entre Ríos,30 a 39,Mujer,0.057960759086523,0.36069482534558645
2005,Entre Ríos,40 a 49,Varón,0.03307427834682329,0.4291814174921676
2005,Entre Ríos,40 a 49,Mujer,0.03589642997253825,0.47109885408748475
2005,Entre Ríos,50 a 59,Varón,0.168293465742821,0.27298649070969094
2005,Entre Ríos,50 a 59,Mujer,0.13198043500884588,0.29371366679464717
2005,Entre Ríos,60 a 69,Varón,0.12698561601000627,0.33569421443988634
2005,Entre Ríos,60 a 69,Mujer,0.13053167780961478,0.2767535752403583
2005,Entre Ríos,70 a 79,Varón,0.18757704696385255,0.3416929353774994
2005,Entre Ríos,70 a 79,Mujer,0.2735138543454654,0.28927965476355844
2005,Entre Ríos,80+,Varón,0.2049134561697376,0.6975027742573533
2005,Entre Ríos,80+,Mujer,0.12860226659471127,0.4606340095304048
2005,Formosa,20 a 29,Varón,0.009179069646839184,0.7107349046033872
2005,Formosa,20 a 29,Mujer,0.047469712474829166,0.29134479910891875
2005,Formosa,30 a 39,Varón,0.04172946901511563,0.3421680114826919
2005,Formosa,30 a 39,Mujer,0.029972430090586845,0.3497721929992296
2005,Formosa,40 a 49,Varón,0.11166658417066773,0.31407825379225857
2005,Formosa,40 a 49,Mujer,0.10183547103051747,0.2631024381692546
2005,Formosa,50 a 59,Varón,0.08501201256699316,0.31138598959396835
2005,Formosa,50 a 59,Mujer,0.2047719298245614,0.3393461013121672
2005,Formosa,60 a 69,Varón,0.10640025990903183,0.4316079709646732
2005,Formosa,60 a 69,Mujer,0.33117740232312565,0.2746851433804945
2005,Formosa,70 a 79,Varón,0.0364963503649635,0.6866450855913997
2005,Formosa,70 a 79,Mujer,0.2310600945307225,0.4861827823347773
2005,Formosa,80+,Varón,0.0367063492063492,0.7488760272453078
2005,Formosa,80+,Mujer,0.139186295503212,0.4862357337540912
2005,Jujuy,20 a 29,Varón,0,NA
2005,Jujuy,20 a 29,Mujer,0.015091505053264136,0.6299450856506165
2005,Jujuy,30 a 39,Varón,0.016353413654618475,0.5738342682468905
2005,Jujuy,30 a 39,Mujer,0.02338863794301598,0.41063747008028745
2005,Jujuy,40 a 49,Varón,0.03304913421815944,0.5065977485393935
2005,Jujuy,40 a 49,Mujer,0.05653028408075755,0.3224615958357852
2005,Jujuy,50 a 59,Varón,0.10211066742726754,0.37035731339615147
2005,Jujuy,50 a 59,Mujer,0.04424351490146161,0.41204192406697077
2005,Jujuy,60 a 69,Varón,0.17657921548650024,0.2715450916184189
2005,Jujuy,60 a 69,Mujer,0.09960125562059896,0.33637482850756506
2005,Jujuy,70 a 79,Varón,0.0655280585569885,0.5733212049700862
2005,Jujuy,70 a 79,Mujer,0.06757167460237058,0.41439518287568816
2005,Jujuy,80+,Varón,0.09118023008095441,0.7089553307884692
2005,Jujuy,80+,Mujer,0.09993084370677732,0.5135477865868789
2005,La Pampa,20 a 29,Varón,0.003865192920594019,1.002179724009401
2005,La Pampa,20 a 29,Mujer,0.04633078481343527,0.37885774692958835
2005,La Pampa,30 a 39,Varón,0.012009409434195865,0.7194485066863159
2005,La Pampa,30 a 39,Mujer,0.10349388294941034,0.3173510568467354
2005,La Pampa,40 a 49,Varón,0.008933505249585558,0.9976326197502916
2005,La Pampa,40 a 49,Mujer,0.09638039952193957,0.2803103273529567
2005,La Pampa,50 a 59,Varón,0.1298612468243111,0.3325999952126847
2005,La Pampa,50 a 59,Mujer,0.0949918605764627,0.314902150118926
2005,La Pampa,60 a 69,Varón,0.15342785006797435,0.3818455076541129
2005,La Pampa,60 a 69,Mujer,0.1473874962247055,0.36926403685778014
2005,La Pampa,70 a 79,Varón,0.24180327868852458,0.30904391765356815
2005,La Pampa,70 a 79,Mujer,0.12276739889139807,0.3446004043343603
2005,La Pampa,80+,Varón,0.10178571428571428,0.7467593388340585
2005,La Pampa,80+,Mujer,0.06137903547229972,0.6591448634669376
2005,La Rioja,20 a 29,Varón,0.02454572834052806,0.4551519737992608
2005,La Rioja,20 a 29,Mujer,0.05476015398589904,0.3271362556473184
2005,La Rioja,30 a 39,Varón,0.010719669476857797,0.628735633133017
2005,La Rioja,30 a 39,Mujer,0.08022906705215167,0.26944480887601524
2005,La Rioja,40 a 49,Varón,0.09063144231503398,0.3021317440791025
2005,La Rioja,40 a 49,Mujer,0.13577166029790222,0.2310294080267653
2005,La Rioja,50 a 59,Varón,0.1294196771714066,0.2994987380475907
2005,La Rioja,50 a 59,Mujer,0.24580951458192035,0.19404949432665702
2005,La Rioja,60 a 69,Varón,0.13267678840103952,0.3384715119518612
2005,La Rioja,60 a 69,Mujer,0.1692191053828658,0.2983976485551401
2005,La Rioja,70 a 79,Varón,0.48776223776223776,0.22379396747964864
2005,La Rioja,70 a 79,Mujer,0.32373271889400923,0.2611358332527461
2005,La Rioja,80+,Varón,0.02214765100671141,1.0289423140367782
2005,La Rioja,80+,Mujer,0.21005677210056772,0.5877704589060309
2005,Mendoza,20 a 29,Varón,0.03272348945859998,0.5669611275819545
2005,Mendoza,20 a 29,Mujer,0.020613732957277843,0.5718112056425698
2005,Mendoza,30 a 39,Varón,0.006482876890297771,0.7147177104055328
2005,Mendoza,30 a 39,Mujer,0.006113694676074407,0.9977293328220375
2005,Mendoza,40 a 49,Varón,0.040985545152269785,0.4351531947642688
2005,Mendoza,40 a 49,Mujer,0.08267541195999838,0.2604057721137177
2005,Mendoza,50 a 59,Varón,0.1361523831314619,0.29989024003956455
2005,Mendoza,50 a 59,Mujer,0.09273299707649307,0.3308467855922574
2005,Mendoza,60 a 69,Varón,0.10425518812734774,0.35639927013998507
2005,Mendoza,60 a 69,Mujer,0.13808998897685137,0.2844104944066335
2005,Mendoza,70 a 79,Varón,0.21732341324515478,0.30285533021831157
2005,Mendoza,70 a 79,Mujer,0.1004087597908246,0.30832270714401117
2005,Mendoza,80+,Varón,0.3316490137012924,0.31926116512984143
2005,Mendoza,80+,Mujer,0.20206884251828072,0.36801652929643686
2005,Misiones,20 a 29,Varón,0.022423522423522423,0.51318190348086
2005,Misiones,20 a 29,Mujer,0.02448210922787194,0.5187721313609062
2005,Misiones,30 a 39,Varón,0.029655342061387924,0.4540216193852448
2005,Misiones,30 a 39,Mujer,0.07414115447534471,0.2844449984699339
2005,Misiones,40 a 49,Varón,0.0661340800527096,0.3724571788595189
2005,Misiones,40 a 49,Mujer,0.062154573666321856,0.4049441276411443
2005,Misiones,50 a 59,Varón,0.10483207676490747,0.2971483739460819
2005,Misiones,50 a 59,Mujer,0.14299461809887015,0.321266036481049
2005,Misiones,60 a 69,Varón,0.19464055264556288,0.27601195093587066
2005,Misiones,60 a 69,Mujer,0.25173108088199186,0.23854456204233182
2005,Misiones,70 a 79,Varón,0.15100818234950322,0.3651119945334109
2005,Misiones,70 a 79,Mujer,0.09826215566648179,0.45347619633830527
2005,Misiones,80+,Varón,0.17479970866715222,0.49584219852084815
2005,Misiones,80+,Mujer,0.1307145275990518,0.6194255858551337
2005,Neuquén,20 a 29,Varón,0.05217052064122571,0.4481845908492478
2005,Neuquén,20 a 29,Mujer,0.055607367684775005,0.3341015832607118
2005,Neuquén,30 a 39,Varón,0.07105128642017379,0.3384798285352694
2005,Neuquén,30 a 39,Mujer,0.10693578975887294,0.21994052460834032
2005,Neuquén,40 a 49,Varón,0.03781927654169998,0.5225033335670728
2005,Neuquén,40 a 49,Mujer,0.07211249549296903,0.3242830034411701
2005,Neuquén,50 a 59,Varón,0.154939293598234,0.2645484949988161
2005,Neuquén,50 a 59,Mujer,0.13375240090797974,0.2945041160626746
2005,Neuquén,60 a 69,Varón,0.2156185956207529,0.2788233860063039
2005,Neuquén,60 a 69,Mujer,0.19359553547701303,0.306060848602194
2005,Neuquén,70 a 79,Varón,0.17445928753180662,0.35077804416816305
2005,Neuquén,70 a 79,Mujer,0.17475167475167475,0.3172538418114942
2005,Neuquén,80+,Varón,0,NA
2005,Neuquén,80+,Mujer,0.2185362517099863,0.39993881383823954
2005,Río Negro,20 a 29,Varón,0.03352576173864724,0.4418053330142304
2005,Río Negro,20 a 29,Mujer,0.04733706829302886,0.33462887895827187
2005,Río Negro,30 a 39,Varón,0.019245198079231692,0.7354509926376318
2005,Río Negro,30 a 39,Mujer,0.0664230332362092,0.30129865032451236
2005,Río Negro,40 a 49,Varón,0.0655931717113757,0.42485679708375335
2005,Río Negro,40 a 49,Mujer,0.1288093398574985,0.2501952519936421
2005,Río Negro,50 a 59,Varón,0.08028676840516519,0.3782399510930053
2005,Río Negro,50 a 59,Mujer,0.17799800261196896,0.19594679547535246
2005,Río Negro,60 a 69,Varón,0.2620367486764248,0.2679337981223355
2005,Río Negro,60 a 69,Mujer,0.16463376098085067,0.3139173374031853
2005,Río Negro,70 a 79,Varón,0.23571147024044145,0.28811857511685024
2005,Río Negro,70 a 79,Mujer,0.3172531214528944,0.21866785877859432
2005,Río Negro,80+,Varón,0.23589878755930416,0.769656983851804
2005,Río Negro,80+,Mujer,0.1395606833814067,0.48727638675989127
2005,Salta,20 a 29,Varón,0.006751043703429689,0.89460494684519265
2005,Salta,20 a 29,Mujer,0.024410230941147255,0.5195112422868061
2005,Salta,30 a 39,Varón,0.017418191187838186,0.47365209078016923
2005,Salta,30 a 39,Mujer,0.03177195456907431,0.493239700125607
2005,Salta,40 a 49,Varón,0.045404580837651705,0.41200077704983007
2005,Salta,40 a 49,Mujer,0.048585157501334755,0.3669301112055886
2005,Salta,50 a 59,Varón,0.02865237611589245,0.5788857993993541
2005,Salta,50 a 59,Mujer,0.10264790746367745,0.26848709662182746
2005,Salta,60 a 69,Varón,0.11706095185082104,0.40890474628101686
