autor,anio,idioma,titulo,revista,doi_url,poblacion,rango_edad,media_edad,sd_edad,media_DM,sd_DM,fuente,complicacion,n_muestra,n_comp,fr_comp,n_mujeres,n_comp_mujeres,fr_comp_mujeres,n_varones,n_comp_varones,fr_comp_varones,comp_def
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Macrovascular disease,299,39,0.130,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Coronary artery disease,299,17,0.057,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Myocardial infarction,299,10,0.033,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Percutaneous coronary intervention,299,7,0.023,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Heart failure,299,8,0.027,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Angina,299,6,0.020,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Stroke,299,5,0.017,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Diabetic foot,299,1,0.003,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Peripheral artery disease,299,6,0.020,,,,,,,
Chen-Ku et al. (2019),2019,ENG,Vascular Complications in Patients with Type 2 Diabetes: Prevalence and Comorbidities in 6 Countries of Latin America (A Cohort of the Discover Study Program),Endocrine Practice,10.4158/EP-2018-0473,Pacientes con DM2,46-65 años,59.9,10.8,,,Tabla 5,Microvascular disease,299,30,0.100,,,,,,,
