grupo_edad, grupo_edad_5, grupo_edad_10
"11.20 a 24", "20-24", "20-29"
"12.25 a 29", "25-29", "20-29"
"13.30 a 34", "30-34", "30-39"
"14.35 a 39", "35-39", "30-39"
"15.40 a 44", "40-44", "40-49"
"16.45 a 49", "45-49", "40-49"
"17.50 a 54", "50-54", "50-59"
"18.55 a 59", "55-59", "50-59"
"19.60 a 64", "60-64", "60-69"
"20.65 a 69", "65-69", "60-69"
"21.70 a 74", "70-74", "70-79"
"22.75 a 79", "75-79", "70-79"
"23.80 a 84", "80+", "80+"
"24.85 y más", "80+", "80+"
"05_20 a 24", "20-24", "20-29"
"06_25 a 29", "25-29", "20-29"
"07_30 a 34", "30-34", "30-39"
"08_35 a 39", "35-39", "30-39"
"09_40 a 44", "40-44", "40-49"
"10_45 a 49", "45-49", "40-49"
"11_50 a 54", "50-54", "50-59"
"12_55 a 59", "55-59", "50-59"
"13_60 a 64", "60-64", "60-69"
"14_65 a 69", "65-69", "60-69"
"15_70 a 74", "70-74", "70-79"
"16_75 a 79", "75-79", "70-79"
"17_80 y más", "80+", "80+"
"20-24 years", "20-24", "20-29"
"25-29 years", "25-29", "20-29"
"30-34 years", "30-34", "30-39"
"35-39 years", "35-39", "30-39"
"40-44 years", "40-44", "40-49"
"45-49 years", "45-49", "40-49"
"50-54 years", "50-54", "50-59"
"55-59 years", "55-59", "50-59"
"60-64 years", "60-64", "60-69"
"65-69 years", "65-69", "60-69"
"70-74 years", "70-74", "70-79"
"75-79 years", "75-79", "70-79"
"80-84 years", "80+", "80+"
"85+ years", "80+", "80+"
"20-24", "20-24", "20-29"
"25-29", "25-29", "20-29"
"30-34", "30-34", "30-39"
"35-39", "35-39", "30-39"
"40-44", "40-44", "40-49"
"45-49", "45-49", "40-49"
"50-54", "50-54", "50-59"
"55-59", "55-59", "50-59"
"60-64", "60-64", "60-69"
"65-69", "65-69", "60-69"
"70-74", "70-74", "70-79"
"75-79", "75-79", "70-79"
"80-84", "80+", "80+"
"85-89", "80+", "80+"
"90-94", "80+", "80+"
"95-99", "80+", "80+"
"100 y más", "80+", "80+"
"80 y más", "80+", "80+"
