"Jurisdicción","Sexo","Grupo de edad","Causa de muerte (CIE-10)","Total"
"Buenos Aires","Varón","01.0 a 6 días","A50",1
"Buenos Aires","Varón","01.0 a 6 días","D48",1
"Buenos Aires","Varón","01.0 a 6 días","G71",1
"Buenos Aires","Varón","01.0 a 6 días","I27",3
"Buenos Aires","Varón","01.0 a 6 días","J18",1
"Buenos Aires","Varón","01.0 a 6 días","P01",2
"Buenos Aires","Varón","01.0 a 6 días","P02",2
"Buenos Aires","Varón","01.0 a 6 días","P05",1
"Buenos Aires","Varón","01.0 a 6 días","P07",176
"Buenos Aires","Varón","01.0 a 6 días","P20",6
"Buenos Aires","Varón","01.0 a 6 días","P21",31
"Buenos Aires","Varón","01.0 a 6 días","P22",170
"Buenos Aires","Varón","01.0 a 6 días","P23",12
"Buenos Aires","Varón","01.0 a 6 días","P24",13
"Buenos Aires","Varón","01.0 a 6 días","P25",6
"Buenos Aires","Varón","01.0 a 6 días","P26",14
"Buenos Aires","Varón","01.0 a 6 días","P28",23
"Buenos Aires","Varón","01.0 a 6 días","P29",26
"Buenos Aires","Varón","01.0 a 6 días","P36",118
"Buenos Aires","Varón","01.0 a 6 días","P52",17
"Buenos Aires","Varón","01.0 a 6 días","P54",1
"Buenos Aires","Varón","01.0 a 6 días","P55",2
"Buenos Aires","Varón","01.0 a 6 días","P60",1
"Buenos Aires","Varón","01.0 a 6 días","P61",1
"Buenos Aires","Varón","01.0 a 6 días","P70",1
"Buenos Aires","Varón","01.0 a 6 días","P77",10
"Buenos Aires","Varón","01.0 a 6 días","P78",1
"Buenos Aires","Varón","01.0 a 6 días","P83",14
"Buenos Aires","Varón","01.0 a 6 días","P96",11
"Buenos Aires","Varón","01.0 a 6 días","Q00",32
"Buenos Aires","Varón","01.0 a 6 días","Q01",2
"Buenos Aires","Varón","01.0 a 6 días","Q03",5
"Buenos Aires","Varón","01.0 a 6 días","Q04",1
"Buenos Aires","Varón","01.0 a 6 días","Q05",1
"Buenos Aires","Varón","01.0 a 6 días","Q07",1
"Buenos Aires","Varón","01.0 a 6 días","Q20",2
"Buenos Aires","Varón","01.0 a 6 días","Q21",1
"Buenos Aires","Varón","01.0 a 6 días","Q22",2
"Buenos Aires","Varón","01.0 a 6 días","Q23",3
"Buenos Aires","Varón","01.0 a 6 días","Q24",39
"Buenos Aires","Varón","01.0 a 6 días","Q25",3
"Buenos Aires","Varón","01.0 a 6 días","Q33",5
"Buenos Aires","Varón","01.0 a 6 días","Q39",2
"Buenos Aires","Varón","01.0 a 6 días","Q41",1
"Buenos Aires","Varón","01.0 a 6 días","Q60",7
"Buenos Aires","Varón","01.0 a 6 días","Q61",3
"Buenos Aires","Varón","01.0 a 6 días","Q64",1
"Buenos Aires","Varón","01.0 a 6 días","Q68",1
"Buenos Aires","Varón","01.0 a 6 días","Q75",1
"Buenos Aires","Varón","01.0 a 6 días","Q76",1
"Buenos Aires","Varón","01.0 a 6 días","Q77",6
"Buenos Aires","Varón","01.0 a 6 días","Q78",1
"Buenos Aires","Varón","01.0 a 6 días","Q79",33
"Buenos Aires","Varón","01.0 a 6 días","Q89",88
"Buenos Aires","Varón","01.0 a 6 días","Q90",2
"Buenos Aires","Varón","01.0 a 6 días","Q91",4
"Buenos Aires","Varón","01.0 a 6 días","R68",1
"Buenos Aires","Varón","01.0 a 6 días","R95",1
"Buenos Aires","Varón","01.0 a 6 días","Y06",1
"Buenos Aires","Varón","01.0 a 6 días","Y09",1
"Buenos Aires","Varón","01.0 a 6 días","Y34",1
"Buenos Aires","Varón","02.7 a 27 días","A05",2
"Buenos Aires","Varón","02.7 a 27 días","A09",2
"Buenos Aires","Varón","02.7 a 27 días","A50",2
"Buenos Aires","Varón","02.7 a 27 días","E84",1
"Buenos Aires","Varón","02.7 a 27 días","G03",1
"Buenos Aires","Varón","02.7 a 27 días","I27",3
"Buenos Aires","Varón","02.7 a 27 días","J18",1
"Buenos Aires","Varón","02.7 a 27 días","J93",1
"Buenos Aires","Varón","02.7 a 27 días","J98",1
"Buenos Aires","Varón","02.7 a 27 días","M72",1
"Buenos Aires","Varón","02.7 a 27 días","P07",43
"Buenos Aires","Varón","02.7 a 27 días","P21",5
"Buenos Aires","Varón","02.7 a 27 días","P22",22
