INDICADOR;GRUPEDAD;Ambos sexos;Masculino;Femenino
ex - expectation of life at age x;<1 year;76,57514223;73,51079318;79,50280777
ex - expectation of life at age x;1-4 years;76,21175367;73,1911179;79,08603601
ex - expectation of life at age x;5-9 years;72,28867316;69,26999776;75,16021796
ex - expectation of life at age x;10-14 years;67,34482337;64,32741383;70,21450763
ex - expectation of life at age x;15-19  years;62,41196492;59,40089992;65,27387185
ex - expectation of life at age x;20-24 years;57,6093496;54,65657239;60,40297394
ex - expectation of life at age x;25-29 years;52,87806806;50,0197159;55,56145953
ex - expectation of life at age x;30-34 years;48,12068821;45,33865014;50,71508748
ex - expectation of life at age x;35-39 years;43,37175844;40,64950958;45,89630877
ex - expectation of life at age x;40-44 years;38,68171333;36,01442579;41,1409978
ex - expectation of life at age x;45-49 years;34,04267791;31,42642857;36,44056423
ex - expectation of life at age x;50-54 years;29,53768621;26,99320587;31,84964737
ex - expectation of life at age x;55-59 years;25,19500413;22,76581336;27,36954671
ex - expectation of life at age x;60-64 years;21,10568881;18,84240221;23,081486
ex - expectation of life at age x;65-69 years;17,32389337;15,27210485;19,04191262
ex - expectation of life at age x;70-74 years;13,84196135;12,07612097;15,22052497
ex - expectation of life at age x;75-79 years;10,71943863;9,29822592;11,71438026
ex - expectation of life at age x;80+ years;6,815930378;5,992080761;7,27094577
