prov_id,grupo_edad,sexo,anio,value
2,20-24,Varón,2001,117007
2,20-24,Mujer,2001,121554
2,20-24,Varón,2005,106477
2,20-24,Mujer,2005,112614
2,25-29,Varón,2001,115237
2,25-29,Mujer,2001,122074
2,25-29,Varón,2005,121844
2,25-29,Mujer,2005,131087
2,30-34,Varón,2001,104699
2,30-34,Mujer,2001,108642
2,30-34,Varón,2005,113159
2,30-34,Mujer,2005,120458
2,35-39,Varón,2001,95066
2,35-39,Mujer,2001,101979
2,35-39,Varón,2005,100148
2,35-39,Mujer,2005,103785
2,40-44,Varón,2001,89249
2,40-44,Mujer,2001,99856
2,40-44,Varón,2005,91001
2,40-44,Mujer,2005,98155
2,45-49,Varón,2001,84850
2,45-49,Mujer,2001,98834
2,45-49,Varón,2005,85242
2,45-49,Mujer,2005,96698
2,50-54,Varón,2001,78792
2,50-54,Mujer,2001,96579
2,50-54,Varón,2005,80672
2,50-54,Mujer,2005,95391
2,55-59,Varón,2001,71664
2,55-59,Mujer,2001,93105
2,55-59,Varón,2005,73295
2,55-59,Mujer,2005,92452
2,60-64,Varón,2001,62227
2,60-64,Mujer,2001,86879
2,60-64,Varón,2005,64545
2,60-64,Mujer,2005,88007
2,65-69,Varón,2001,57829
2,65-69,Mujer,2001,83716
2,65-69,Varón,2005,54247
2,65-69,Mujer,2005,81055
2,70-74,Varón,2001,50920
2,70-74,Mujer,2001,82042
2,70-74,Varón,2005,47968
2,70-74,Mujer,2005,76259
2,75-79,Varón,2001,40343
2,75-79,Mujer,2001,79324
2,75-79,Varón,2005,38193
2,75-79,Mujer,2005,71564
2,80 y más,Varón,2001,35338
2,80 y más,Mujer,2001,87693
2,80 y más,Varón,2005,39349
2,80 y más,Mujer,2005,100219
6,20-24,Varón,2001,639746
6,20-24,Mujer,2001,625944
6,20-24,Varón,2005,601552
6,20-24,Mujer,2005,587106
6,25-29,Varón,2001,567670
6,25-29,Mujer,2001,554526
6,25-29,Varón,2005,639755
6,25-29,Mujer,2005,625623
6,30-34,Varón,2001,491282
6,30-34,Mujer,2001,485403
6,30-34,Varón,2005,545347
6,30-34,Mujer,2005,536850
6,35-39,Varón,2001,444669
6,35-39,Mujer,2001,448384
6,35-39,Varón,2005,471958
6,35-39,Mujer,2005,473785
6,40-44,Varón,2001,413808
6,40-44,Mujer,2001,437567
6,40-44,Varón,2005,429447
6,40-44,Mujer,2005,442770
6,45-49,Varón,2001,387950
6,45-49,Mujer,2001,418596
6,45-49,Varón,2005,396781
6,45-49,Mujer,2005,430543
6,50-54,Varón,2001,352166
6,50-54,Mujer,2001,381773
6,50-54,Varón,2005,368311
6,50-54,Mujer,2005,406716
6,55-59,Varón,2001,307068
6,55-59,Mujer,2001,330783
6,55-59,Varón,2005,326561
6,55-59,Mujer,2005,364320
6,60-64,Varón,2001,254182
6,60-64,Mujer,2001,288426
6,60-64,Varón,2005,275003
6,60-64,Mujer,2005,309712
6,65-69,Varón,2001,216631
6,65-69,Mujer,2001,268190
6,65-69,Varón,2005,218281
6,65-69,Mujer,2005,267592
6,70-74,Varón,2001,177504
6,70-74,Mujer,2001,242772
6,70-74,Varón,2005,176663
6,70-74,Mujer,2005,243633
6,75-79,Varón,2001,119111
6,75-79,Mujer,2001,180527
6,75-79,Varón,2005,129902
6,75-79,Mujer,2005,203887
6,80 y más,Varón,2001,88949
6,80 y más,Mujer,2001,178998
6,80 y más,Varón,2005,103959
6,80 y más,Mujer,2005,211345
10,20-24,Varón,2001,15616
10,20-24,Mujer,2001,15057
10,20-24,Varón,2005,15970
10,20-24,Mujer,2005,15403
10,25-29,Varón,2001,13225
10,25-29,Mujer,2001,12693
10,25-29,Varón,2005,15420
10,25-29,Mujer,2005,14845
10,30-34,Varón,2001,10985
10,30-34,Mujer,2001,10655
