anio_enfr,codprov_censo,prov_nombre,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,02,CABA,Centro,30 a 39,Mujer,1,0.3333333333333333,98257.61885,4983143.736,50.71508748453657,16.90502916151219
2005,02,CABA,Centro,30 a 39,Varón,4,1.3333333333333333,96997.57994,4397739.3413,45.33865013972843,60.451533519637906
2005,02,CABA,Centro,40 a 49,Mujer,5,1.6666666666666667,97340.83661,4492775.462499999,46.15509398692027,76.92515664486712
2005,02,CABA,Centro,40 a 49,Varón,5,1.6666666666666667,95386.37498,3914498.4263,41.03833935528808,68.39723225881347
2005,02,CABA,Centro,50 a 59,Mujer,24,8,95441.65065,4007943.3663,41.99365097946365,335.9492078357092
2005,02,CABA,Centro,50 a 59,Varón,46,15.333333333333334,92417.20236,3440462.4833,37.227511712571605,570.8218462594313
2005,02,CABA,Centro,60 a 69,Mujer,55,18.333333333333332,91170.49198,3534888.1766999997,38.772283662519285,710.8252004795202
2005,02,CABA,Centro,60 a 69,Varón,86,28.666666666666668,85071.85545,2985441.5738,35.09317573959179,1006.0043712016314
2005,02,CABA,Centro,70 a 79,Mujer,138,46,81312.23623,3089197.6009,37.991792430377735,1747.6224517973758
2005,02,CABA,Centro,70 a 79,Varón,158,52.666666666666664,68546.20957,2577191.6172,37.59787205400685,1980.1545948443606
2005,02,CABA,Centro,80+,Mujer,291,97,97889.69055,2704000.1218,27.622930531370443,2679.424261542933
2005,02,CABA,Centro,80+,Varón,141,47,96298.78607,2266735.9454,23.538572373615384,1106.3129015599231
2005,06,Buenos Aires,Centro,30 a 39,Mujer,24,8,98257.61885,4983143.736,50.71508748453657,405.72069987629254
2005,06,Buenos Aires,Centro,30 a 39,Varón,28,9.333333333333334,96997.57994,4397739.3413,45.33865013972843,423.16073463746534
2005,06,Buenos Aires,Centro,40 a 49,Mujer,89,29.666666666666668,97340.83661,4492775.462499999,46.15509398692027,1369.2677882786347
2005,06,Buenos Aires,Centro,40 a 49,Varón,125,41.666666666666664,95386.37498,3914498.4263,41.03833935528808,1709.9308064703366
2005,06,Buenos Aires,Centro,50 a 59,Mujer,255,85,95441.65065,4007943.3663,41.99365097946365,3569.46033325441
2005,06,Buenos Aires,Centro,50 a 59,Varón,430,143.33333333333334,92417.20236,3440462.4833,37.227511712571605,5335.943345468597
2005,06,Buenos Aires,Centro,60 a 69,Mujer,714,238,91170.49198,3534888.1766999997,38.772283662519285,9227.803511679589
2005,06,Buenos Aires,Centro,60 a 69,Varón,1010,336.6666666666667,85071.85545,2985441.5738,35.09317573959179,11814.702498995905
