anio_enfr,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,AVP
2005,Centro,30 a 39,Mujer,43,2.8666666666666667,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,145.38325078900482
2005,Centro,30 a 39,Varón,47,3.1333333333333333,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,142.06110377114908
2005,Centro,40 a 49,Mujer,154,10.266666666666667,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,473.85896493238147
2005,Centro,40 a 49,Varón,223,14.866666666666667,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,610.1033117486162
2005,Centro,50 a 59,Mujer,544,36.266666666666666,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,1522.9697421885485
2005,Centro,50 a 59,Varón,940,62.666666666666664,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,2332.924067321154
2005,Centro,60 a 69,Mujer,1455,97,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,3760.911515264371
2005,Centro,60 a 69,Varón,2136,142.4,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,4997.268225317872
2005,Centro,70 a 79,Mujer,2540,169.33333333333334,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,6433.276851543964
2005,Centro,70 a 79,Varón,3056,203.73333333333332,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,7659.939799802995
2005,Centro,80+,Mujer,3146,209.73333333333332,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,5793.449296779428
2005,Centro,80+,Varón,1878,125.2,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,2947.0292611766463
2005,Cuyo,30 a 39,Mujer,7,0.5833333333333334,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,29.583801032646335
2005,Cuyo,30 a 39,Varón,12,1,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,45.33865013972843
2005,Cuyo,40 a 49,Mujer,34,2.8333333333333335,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,130.7727662962741
2005,Cuyo,40 a 49,Varón,42,3.5,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,143.63418774350828
2005,Cuyo,50 a 59,Mujer,153,12.75,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,535.4190499881615
2005,Cuyo,50 a 59,Varón,226,18.833333333333332,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,701.1181372534319
2005,Cuyo,60 a 69,Mujer,367,30.583333333333332,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,1185.7856753453814
2005,Cuyo,60 a 69,Varón,508,42.333333333333336,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,1485.611106309386
2005,Cuyo,70 a 79,Mujer,580,48.333333333333336,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,1836.2699674682574
2005,Cuyo,70 a 79,Varón,577,48.083333333333336,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,1807.8310145968294
2005,Cuyo,80+,Mujer,411,34.25,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,946.0853706994377
2005,Cuyo,80+,Varón,264,22,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,517.8485922195384
2005,NEA,30 a 39,Mujer,9,0.75,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,38.03631561340242
2005,NEA,30 a 39,Varón,7,0.5833333333333334,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,26.447545914841584
2005,NEA,40 a 49,Mujer,42,3.5,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,161.54282895422094
2005,NEA,40 a 49,Varón,32,2.6666666666666665,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,109.43557161410155
2005,NEA,50 a 59,Mujer,132,11,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,461.93016077410016
2005,NEA,50 a 59,Varón,178,14.833333333333334,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,552.2080904031455
2005,NEA,60 a 69,Mujer,271,22.583333333333332,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,875.6074060452272
2005,NEA,60 a 69,Varón,291,24.25,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,851.009511685101
2005,NEA,70 a 79,Mujer,399,33.25,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,1263.2270983100598
2005,NEA,70 a 79,Varón,347,28.916666666666668,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,1087.2051335616982
2005,NEA,80+,Mujer,285,23.75,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,656.044600120048
2005,NEA,80+,Varón,156,13,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,306.001440857
2005,NOA1,30 a 39,Mujer,4,0.4444444444444444,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,22.54003888201625
2005,NOA1,30 a 39,Varón,8,0.8888888888888888,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,40.30102234642527
2005,NOA1,40 a 49,Mujer,21,2.3333333333333335,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,107.69521930281397
2005,NOA1,40 a 49,Varón,34,3.7777777777777777,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,155.03372645331052
2005,NOA1,50 a 59,Mujer,90,10,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,419.93650979463655
2005,NOA1,50 a 59,Varón,139,15.444444444444445,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,574.958236449717
2005,NOA1,60 a 69,Mujer,211,23.444444444444443,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,908.9946503101743
2005,NOA1,60 a 69,Varón,238,26.444444444444443,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,928.0195362247607
2005,NOA1,70 a 79,Mujer,274,30.444444444444443,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,1156.6390139915
2005,NOA1,70 a 79,Varón,270,30,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,1127.9361616202054
2005,NOA1,80+,Mujer,227,25.22222222222222,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,696.7116922912322
2005,NOA1,80+,Varón,139,15.444444444444445,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,363.5401733258376
2005,NOA2,30 a 39,Mujer,3,0.5,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,25.357543742268284
