anio_enfr,codprov_censo,region_deis,grupo_edad_10,sexo,dm_total,dm_total_se,dm2_total,dm2_total_se,dm2_prev,dm2_prev_se,dm2_prev_cv,dm2_prev_cv_cat
2005,02,Centro,30 a 39,Mujer,8244,4595.64,7419.6,4136.07,0.03,0.02,0.55,Muy alta
2005,02,Centro,30 a 39,Varón,7239,3484.37,6515.1,3135.93,0.03,0.02,0.47,Muy alta
2005,02,Centro,40 a 49,Mujer,8240,3738.24,7416,3364.42,0.04,0.02,0.45,Muy alta
2005,02,Centro,40 a 49,Varón,10161,4250.18,9144.9,3825.16,0.06,0.02,0.41,Muy alta
2005,02,Centro,50 a 59,Mujer,6389,2770.9,5750.1,2493.81,0.03,0.01,0.43,Muy alta
2005,02,Centro,50 a 59,Varón,18480,6645.49,16632,5980.94,0.12,0.04,0.34,Muy alta
2005,02,Centro,60 a 69,Mujer,36196,11032.86,32576.4,9929.57,0.21,0.05,0.25,Alta
2005,02,Centro,60 a 69,Varón,27458,7848.99,24712.2,7064.09,0.16,0.04,0.26,Alta
2005,02,Centro,70 a 79,Mujer,13351,3817.1,12015.9,3435.39,0.11,0.03,0.27,Alta
2005,02,Centro,70 a 79,Varón,20157,6128.02,18141.3,5515.22,0.21,0.06,0.27,Alta
2005,02,Centro,80+,Mujer,7561,3509.08,6804.9,3158.18,0.09,0.04,0.44,Muy alta
2005,02,Centro,80+,Varón,12788,5341.44,11509.2,4807.3,0.25,0.08,0.34,Muy alta
2005,06,Centro,30 a 39,Mujer,86560,20151.81,77904,18136.63,0.07,0.02,0.22,Alta
2005,06,Centro,30 a 39,Varón,29441,10341.69,26496.9,9307.52,0.03,0.01,0.35,Muy alta
2005,06,Centro,40 a 49,Mujer,41871,12780.36,37683.9,11502.33,0.04,0.01,0.3,Alta
2005,06,Centro,40 a 49,Varón,48422,18267.49,43579.8,16440.74,0.05,0.02,0.36,Muy alta
2005,06,Centro,50 a 59,Mujer,93681,22311.27,84312.9,20080.15,0.12,0.03,0.22,Alta
2005,06,Centro,50 a 59,Varón,81999,21303.35,73799.1,19173.02,0.1,0.02,0.25,Alta
2005,06,Centro,60 a 69,Mujer,114895,24217.2,103405.5,21795.48,0.18,0.03,0.18,Moderada
2005,06,Centro,60 a 69,Varón,97517,21289.7,87765.3,19160.73,0.17,0.03,0.2,Moderada
2005,06,Centro,70 a 79,Mujer,72126,18322.25,64913.4,16490.02,0.16,0.03,0.22,Alta
2005,06,Centro,70 a 79,Varón,59325,17543.88,53392.5,15789.49,0.16,0.04,0.26,Alta
2005,06,Centro,80+,Mujer,30249,10329.3,27224.1,9296.37,0.15,0.05,0.31,Muy alta
2005,06,Centro,80+,Varón,30602,14379.92,27541.8,12941.93,0.26,0.1,0.41,Muy alta
2005,10,NOA2,30 a 39,Mujer,1402,421.92,1261.8,379.73,0.07,0.02,0.29,Alta
2005,10,NOA2,30 a 39,Varón,824,292.7,741.6,263.43,0.04,0.01,0.35,Muy alta
2005,10,NOA2,40 a 49,Mujer,1187,375.63,1068.3,338.06,0.09,0.03,0.3,Alta
2005,10,NOA2,40 a 49,Varón,448,228.17,403.2,205.35,0.03,0.02,0.5,Muy alta
2005,10,NOA2,50 a 59,Mujer,1913,498.14,1721.7,448.33,0.14,0.03,0.25,Alta
2005,10,NOA2,50 a 59,Varón,1768,571.89,1591.2,514.7,0.16,0.05,0.3,Alta
2005,10,NOA2,60 a 69,Mujer,2191,564.25,1971.9,507.82,0.27,0.06,0.23,Alta
2005,10,NOA2,60 a 69,Varón,981,355.67,882.9,320.1,0.15,0.05,0.34,Muy alta
2005,10,NOA2,70 a 79,Mujer,1078,355.69,970.2,320.12,0.27,0.07,0.28,Alta
2005,10,NOA2,70 a 79,Varón,359,165.63,323.1,149.07,0.11,0.05,0.45,Muy alta
2005,10,NOA2,80+,Mujer,18,18,16.2,16.2,0.01,0.01,1.02,Muy alta
2005,10,NOA2,80+,Varón,34,34,30.6,30.6,0.04,0.04,1.02,Muy alta
2005,14,Centro,30 a 39,Mujer,10977,3640.81,9879.3,3276.73,0.06,0.02,0.32,Muy alta
2005,14,Centro,30 a 39,Varón,12050,6477.67,10845,5829.9,0.09,0.04,0.5,Muy alta
2005,14,Centro,40 a 49,Mujer,12735,6352.29,11461.5,5717.06,0.06,0.03,0.47,Muy alta
2005,14,Centro,40 a 49,Varón,10662,4453.33,9595.8,4008,0.08,0.03,0.4,Muy alta
2005,14,Centro,50 a 59,Mujer,22265,7543.49,20038.5,6789.14,0.12,0.04,0.31,Muy alta
2005,14,Centro,50 a 59,Varón,15610,5629.16,14049,5066.24,0.12,0.04,0.33,Muy alta
2005,14,Centro,60 a 69,Mujer,27676,8347.75,24908.4,7512.98,0.22,0.05,0.25,Alta
2005,14,Centro,60 a 69,Varón,29389,8500.46,26450.1,7650.41,0.23,0.06,0.25,Alta
2005,14,Centro,70 a 79,Mujer,18233,4414.11,16409.7,3972.7,0.19,0.04,0.22,Alta
2005,14,Centro,70 a 79,Varón,12018,4638.99,10816.2,4175.1,0.15,0.05,0.35,Muy alta
2005,14,Centro,80+,Mujer,2564,1358.06,2307.6,1222.25,0.09,0.04,0.51,Muy alta
2005,14,Centro,80+,Varón,1469,924.14,1322.1,831.73,0.07,0.05,0.65,Muy alta
2005,18,NEA,30 a 39,Mujer,2111,850.98,1899.9,765.88,0.04,0.01,0.4,Muy alta
2005,18,NEA,30 a 39,Varón,758,485.86,682.2,437.28,0.01,0.01,0.64,Muy alta
2005,18,NEA,40 a 49,Mujer,2153,688.77,1937.7,619.89,0.05,0.02,0.31,Muy alta
2005,18,NEA,40 a 49,Varón,1988,788.07,1789.2,709.26,0.05,0.02,0.39,Muy alta
2005,18,NEA,50 a 59,Mujer,4756,1393.04,4280.4,1253.73,0.11,0.03,0.27,Alta
2005,18,NEA,50 a 59,Varón,6026,1855.84,5423.4,1670.26,0.17,0.05,0.27,Alta
2005,18,NEA,60 a 69,Mujer,5040,1292.05,4536,1162.84,0.2,0.04,0.23,Alta
2005,18,NEA,60 a 69,Varón,2713,1033.3,2441.7,929.97,0.15,0.05,0.35,Muy alta
2005,18,NEA,70 a 79,Mujer,1505,622.79,1354.5,560.51,0.14,0.05,0.39,Muy alta
2005,18,NEA,70 a 79,Varón,3323,1107.63,2990.7,996.87,0.28,0.08,0.29,Alta
2005,18,NEA,80+,Mujer,0,0,0,0,0,0,NA,NA
2005,18,NEA,80+,Varón,470,318.09,423,286.28,0.18,0.11,0.6,Muy alta
2005,22,NEA,30 a 39,Mujer,5531,1419.38,4977.9,1277.44,0.1,0.02,0.24,Alta
2005,22,NEA,30 a 39,Varón,1225,636.73,1102.5,573.06,0.03,0.01,0.51,Muy alta
2005,22,NEA,40 a 49,Mujer,3847,917.73,3462.3,825.95,0.08,0.02,0.23,Alta
2005,22,NEA,40 a 49,Varón,1931,717.33,1737.9,645.6,0.04,0.02,0.36,Muy alta
2005,22,NEA,50 a 59,Mujer,4520,1451,4068,1305.9,0.14,0.04,0.29,Alta
2005,22,NEA,50 a 59,Varón,4534,1483.97,4080.6,1335.57,0.11,0.03,0.31,Muy alta
2005,22,NEA,60 a 69,Mujer,2767,807.5,2490.3,726.75,0.13,0.04,0.27,Alta
2005,22,NEA,60 a 69,Varón,2664,889.04,2397.6,800.13,0.14,0.04,0.31,Muy alta
2005,22,NEA,70 a 79,Mujer,5032,1423.23,4528.8,1280.91,0.23,0.05,0.24,Alta
2005,22,NEA,70 a 79,Varón,1781,587.72,1602.9,528.95,0.17,0.06,0.35,Muy alta
2005,22,NEA,80+,Mujer,787,398.16,708.3,358.34,0.18,0.08,0.46,Muy alta
2005,22,NEA,80+,Varón,255,187.95,229.5,169.15,0.06,0.04,0.75,Muy alta
2005,26,Patagonia Sur,30 a 39,Mujer,3025,910,2722.5,819,0.08,0.02,0.29,Alta
2005,26,Patagonia Sur,30 a 39,Varón,921,342.88,828.9,308.59,0.03,0.01,0.37,Muy alta
2005,26,Patagonia Sur,40 a 49,Mujer,2285,548.24,2056.5,493.42,0.11,0.03,0.23,Alta
2005,26,Patagonia Sur,40 a 49,Varón,1949,620.11,1754.1,558.1,0.08,0.03,0.31,Muy alta
2005,26,Patagonia Sur,50 a 59,Mujer,2475,597.58,2227.5,537.83,0.1,0.02,0.24,Alta
2005,26,Patagonia Sur,50 a 59,Varón,3056,795.08,2750.4,715.57,0.15,0.04,0.24,Alta
2005,26,Patagonia Sur,60 a 69,Mujer,2081,680.61,1872.9,612.55,0.14,0.04,0.3,Alta
2005,26,Patagonia Sur,60 a 69,Varón,1436,415.31,1292.4,373.78,0.09,0.03,0.31,Muy alta
2005,26,Patagonia Sur,70 a 79,Mujer,1710,404.45,1539,364,0.22,0.05,0.23,Alta
2005,26,Patagonia Sur,70 a 79,Varón,1109,367.24,998.1,330.51,0.24,0.07,0.29,Alta
2005,26,Patagonia Sur,80+,Mujer,1122,584.37,1009.8,525.94,0.28,0.11,0.39,Muy alta
2005,26,Patagonia Sur,80+,Varón,82,82,73.8,73.8,0.17,0.18,1.06,Muy alta
2005,30,Centro,30 a 39,Mujer,3604,1328.83,3243.6,1195.94,0.05,0.02,0.36,Muy alta
2005,30,Centro,30 a 39,Varón,1065,663.33,958.5,597,0.02,0.01,0.62,Muy alta
2005,30,Centro,40 a 49,Mujer,1830,873.08,1647,785.77,0.03,0.02,0.47,Muy alta
2005,30,Centro,40 a 49,Varón,1847,789.85,1662.3,710.86,0.03,0.01,0.43,Muy alta
2005,30,Centro,50 a 59,Mujer,6341,2001.26,5706.9,1801.14,0.12,0.03,0.29,Alta
2005,30,Centro,50 a 59,Varón,8914,2678.24,8022.6,2410.41,0.15,0.04,0.27,Alta
2005,30,Centro,60 a 69,Mujer,5330,1562.39,4797,1406.15,0.12,0.03,0.28,Alta
2005,30,Centro,60 a 69,Varón,4061,1443.98,3654.9,1299.58,0.11,0.04,0.34,Muy alta
2005,30,Centro,70 a 79,Mujer,7808,2876.67,7027.2,2589,0.25,0.07,0.29,Alta
2005,30,Centro,70 a 79,Varón,4717,1790.99,4245.3,1611.89,0.17,0.06,0.34,Muy alta
2005,30,Centro,80+,Mujer,2383,1023.03,2144.7,920.73,0.12,0.05,0.46,Muy alta
2005,30,Centro,80+,Varón,1101,860.08,990.9,774.07,0.18,0.13,0.7,Muy alta
2005,34,NEA,30 a 39,Mujer,761,265.92,684.9,239.33,0.03,0.01,0.35,Muy alta
2005,34,NEA,30 a 39,Varón,969,329.12,872.1,296.21,0.04,0.01,0.34,Muy alta
2005,34,NEA,40 a 49,Mujer,1842,501.83,1657.8,451.65,0.09,0.02,0.26,Alta
2005,34,NEA,40 a 49,Varón,2256,749.87,2030.4,674.89,0.1,0.03,0.31,Muy alta
2005,34,NEA,50 a 59,Mujer,2918,1183.79,2626.2,1065.41,0.18,0.06,0.34,Muy alta
2005,34,NEA,50 a 59,Varón,1380,439.24,1242,395.32,0.08,0.02,0.31,Muy alta
2005,34,NEA,60 a 69,Mujer,2509,795.68,2258.1,716.11,0.3,0.08,0.27,Alta
2005,34,NEA,60 a 69,Varón,655,274.6,589.5,247.14,0.1,0.04,0.43,Muy alta
2005,34,NEA,70 a 79,Mujer,1711,911.53,1539.9,820.38,0.21,0.1,0.49,Muy alta
2005,34,NEA,70 a 79,Varón,135,89.02,121.5,80.12,0.03,0.02,0.69,Muy alta
2005,34,NEA,80+,Mujer,325,159.04,292.5,143.14,0.13,0.06,0.49,Muy alta
2005,34,NEA,80+,Varón,74,52.34,66.6,47.11,0.03,0.02,0.75,Muy alta
2005,38,NOA1,30 a 39,Mujer,1077,438.47,969.3,394.62,0.02,0.01,0.41,Muy alta
2005,38,NOA1,30 a 39,Varón,509,291.8,458.1,262.62,0.01,0.01,0.57,Muy alta
2005,38,NOA1,40 a 49,Mujer,1582,501.43,1423.8,451.29,0.05,0.02,0.32,Muy alta
2005,38,NOA1,40 a 49,Varón,752,380.79,676.8,342.71,0.03,0.02,0.51,Muy alta
2005,38,NOA1,50 a 59,Mujer,1008,368.91,907.2,332.02,0.04,0.02,0.41,Muy alta
2005,38,NOA1,50 a 59,Varón,2327,901.54,2094.3,811.38,0.09,0.03,0.37,Muy alta
2005,38,NOA1,60 a 69,Mujer,1174,403.47,1056.6,363.13,0.09,0.03,0.34,Muy alta
2005,38,NOA1,60 a 69,Varón,2773,796.18,2495.7,716.56,0.16,0.04,0.27,Alta
2005,38,NOA1,70 a 79,Mujer,667,268.6,600.3,241.74,0.06,0.03,0.41,Muy alta
2005,38,NOA1,70 a 79,Varón,564,295.24,507.6,265.72,0.06,0.03,0.57,Muy alta
2005,38,NOA1,80+,Mujer,289,149.48,260.1,134.53,0.09,0.05,0.51,Muy alta
2005,38,NOA1,80+,Varón,214,151.38,192.6,136.24,0.08,0.06,0.71,Muy alta
