anio_enfr,region_deis,grupo_edad10,sexo,dm_total,dm_total_se,dm2_total,dm2_total_se,dm2_prev,dm2_prev_se,dm2_prev_cv,dm2_prev_cv_cat
2005,Centro,30 a 39,Mujer,115928,21234.19,104335.2,19110.77,0.06,0.01,0.18,Moderada
2005,Centro,30 a 39,Varón,56526,13194.76,50873.4,11875.28,0.04,0.01,0.23,Alta
2005,Centro,40 a 49,Mujer,70617,14915.08,63555.3,13423.57,0.04,0.01,0.21,Alta
2005,Centro,40 a 49,Varón,79343,19521.2,71408.7,17569.08,0.05,0.01,0.24,Alta
2005,Centro,50 a 59,Mujer,148232,24364.75,133408.8,21928.28,0.11,0.02,0.15,Moderada
2005,Centro,50 a 59,Varón,154175,24540.4,138757.5,22086.36,0.12,0.02,0.15,Moderada
2005,Centro,60 a 69,Mujer,204704,28383.04,184233.6,25544.73,0.19,0.02,0.12,Moderada
2005,Centro,60 a 69,Varón,185628,25507.76,167065.2,22956.98,0.19,0.02,0.12,Moderada
2005,Centro,70 a 79,Mujer,118188,19567.86,106369.2,17611.07,0.14,0.02,0.15,Moderada
2005,Centro,70 a 79,Varón,103746,19601.58,93371.4,17641.42,0.16,0.03,0.17,Moderada
2005,Centro,80+,Mujer,45507,11123.41,40956.3,10011.07,0.12,0.03,0.23,Alta
2005,Centro,80+,Varón,47124,15401.8,42411.6,13861.62,0.23,0.06,0.28,Alta
2005,Cuyo,30 a 39,Mujer,10132,1660.68,9118.8,1494.61,0.05,0.01,0.16,Moderada
2005,Cuyo,30 a 39,Varón,3245,915.74,2920.5,824.17,0.02,0.01,0.28,Alta
2005,Cuyo,40 a 49,Mujer,12607,1913.7,11346.3,1722.33,0.08,0.01,0.15,Moderada
2005,Cuyo,40 a 49,Varón,6383,1496.29,5744.7,1346.66,0.05,0.01,0.23,Alta
2005,Cuyo,50 a 59,Mujer,15629,2486.74,14066.1,2238.06,0.12,0.02,0.15,Moderada
2005,Cuyo,50 a 59,Varón,14805,3300.58,13324.5,2970.52,0.11,0.02,0.21,Alta
2005,Cuyo,60 a 69,Mujer,13647,2776.18,12282.3,2498.56,0.13,0.02,0.19,Moderada
2005,Cuyo,60 a 69,Varón,9072,1707.1,8164.8,1536.39,0.13,0.02,0.18,Moderada
2005,Cuyo,70 a 79,Mujer,9753,1744.73,8777.7,1570.26,0.13,0.02,0.18,Moderada
2005,Cuyo,70 a 79,Varón,9794,1961.13,8814.6,1765.02,0.22,0.04,0.18,Moderada
2005,Cuyo,80+,Mujer,4756,1474.6,4280.4,1327.14,0.17,0.05,0.28,Alta
2005,Cuyo,80+,Varón,4803,1519.47,4322.7,1367.52,0.24,0.06,0.26,Alta
2005,NEA,30 a 39,Mujer,12210,2009.67,10989,1808.7,0.06,0.01,0.16,Moderada
2005,NEA,30 a 39,Varón,4037,996.52,3633.3,896.87,0.02,0.01,0.25,Alta
2005,NEA,40 a 49,Mujer,9945,1529.06,8950.5,1376.16,0.07,0.01,0.15,Moderada
