anio,codprov_censo,prov_nombre,region_deis,sexo,grupo_edad10,pob_proy,proy_pob,pob_est_2010
2001,02,CABA,Centro,Mujer,30 a 39,210621,NA,2948351
2001,02,CABA,Centro,Mujer,40 a 49,198690,NA,2333346
2001,02,CABA,Centro,Mujer,50 a 59,189684,NA,2043266
2001,02,CABA,Centro,Mujer,60 a 69,170595,NA,1572788
2001,02,CABA,Centro,Mujer,70 a 79,161366,NA,1067525
2001,02,CABA,Centro,Mujer,80+,87693,NA,671649
2001,02,CABA,Centro,Varón,30 a 39,199765,NA,2875168
2001,02,CABA,Centro,Varón,40 a 49,174099,NA,2226600
2001,02,CABA,Centro,Varón,50 a 59,150456,NA,1896227
2001,02,CABA,Centro,Varón,60 a 69,120056,NA,1360347
2001,02,CABA,Centro,Varón,70 a 79,91263,NA,769536
2001,02,CABA,Centro,Varón,80+,35338,NA,329851
2001,06,Buenos Aires,Centro,Mujer,30 a 39,933787,NA,2948351
2001,06,Buenos Aires,Centro,Mujer,40 a 49,856163,NA,2333346
2001,06,Buenos Aires,Centro,Mujer,50 a 59,712556,NA,2043266
2001,06,Buenos Aires,Centro,Mujer,60 a 69,556616,NA,1572788
2001,06,Buenos Aires,Centro,Mujer,70 a 79,423299,NA,1067525
2001,06,Buenos Aires,Centro,Mujer,80+,178998,NA,671649
2001,06,Buenos Aires,Centro,Varón,30 a 39,935951,NA,2875168
2001,06,Buenos Aires,Centro,Varón,40 a 49,801758,NA,2226600
2001,06,Buenos Aires,Centro,Varón,50 a 59,659234,NA,1896227
2001,06,Buenos Aires,Centro,Varón,60 a 69,470813,NA,1360347
2001,06,Buenos Aires,Centro,Varón,70 a 79,296615,NA,769536
2001,06,Buenos Aires,Centro,Varón,80+,88949,NA,329851
2001,10,Catamarca,NOA2,Mujer,30 a 39,20247,NA,2948351
2001,10,Catamarca,NOA2,Mujer,40 a 49,17415,NA,2333346
2001,10,Catamarca,NOA2,Mujer,50 a 59,12694,NA,2043266
2001,10,Catamarca,NOA2,Mujer,60 a 69,9277,NA,1572788
2001,10,Catamarca,NOA2,Mujer,70 a 79,6532,NA,1067525
2001,10,Catamarca,NOA2,Mujer,80+,2764,NA,671649
2001,10,Catamarca,NOA2,Varón,30 a 39,20850,NA,2875168
2001,10,Catamarca,NOA2,Varón,40 a 49,17780,NA,2226600
2001,10,Catamarca,NOA2,Varón,50 a 59,12784,NA,1896227
2001,10,Catamarca,NOA2,Varón,60 a 69,8162,NA,1360347
2001,10,Catamarca,NOA2,Varón,70 a 79,4820,NA,769536
2001,10,Catamarca,NOA2,Varón,80+,1790,NA,329851
2001,14,Córdoba,Centro,Mujer,30 a 39,199333,NA,2948351
2001,14,Córdoba,Centro,Mujer,40 a 49,183759,NA,2333346
2001,14,Córdoba,Centro,Mujer,50 a 59,158684,NA,2043266
2001,14,Córdoba,Centro,Mujer,60 a 69,127090,NA,1572788
2001,14,Córdoba,Centro,Mujer,70 a 79,94743,NA,1067525
2001,14,Córdoba,Centro,Mujer,80+,40697,NA,671649
2001,14,Córdoba,Centro,Varón,30 a 39,200082,NA,2875168
2001,14,Córdoba,Centro,Varón,40 a 49,173373,NA,2226600
2001,14,Córdoba,Centro,Varón,50 a 59,146074,NA,1896227
2001,14,Córdoba,Centro,Varón,60 a 69,107233,NA,1360347
2001,14,Córdoba,Centro,Varón,70 a 79,65592,NA,769536
2001,14,Córdoba,Centro,Varón,80+,19885,NA,329851
2001,18,Corrientes,NEA,Mujer,30 a 39,57579,NA,2948351
2001,18,Corrientes,NEA,Mujer,40 a 49,49791,NA,2333346
2001,18,Corrientes,NEA,Mujer,50 a 59,35370,NA,2043266
2001,18,Corrientes,NEA,Mujer,60 a 69,26662,NA,1572788
2001,18,Corrientes,NEA,Mujer,70 a 79,17020,NA,1067525
2001,18,Corrientes,NEA,Mujer,80+,7307,NA,671649
2001,18,Corrientes,NEA,Varón,30 a 39,56186,NA,2875168
2001,18,Corrientes,NEA,Varón,40 a 49,49006,NA,2226600
2001,18,Corrientes,NEA,Varón,50 a 59,35358,NA,1896227
2001,18,Corrientes,NEA,Varón,60 a 69,22981,NA,1360347
2001,18,Corrientes,NEA,Varón,70 a 79,12846,NA,769536
2001,18,Corrientes,NEA,Varón,80+,4475,NA,329851
2001,22,Chaco,NEA,Mujer,30 a 39,59373,NA,2948351
2001,22,Chaco,NEA,Mujer,40 a 49,51290,NA,2333346
2001,22,Chaco,NEA,Mujer,50 a 59,34307,NA,2043266
2001,22,Chaco,NEA,Mujer,60 a 69,26308,NA,1572788
2001,22,Chaco,NEA,Mujer,70 a 79,15673,NA,1067525
2001,22,Chaco,NEA,Mujer,80+,5883,NA,671649
2001,22,Chaco,NEA,Varón,30 a 39,59206,NA,2875168
2001,22,Chaco,NEA,Varón,40 a 49,52100,NA,2226600
2001,22,Chaco,NEA,Varón,50 a 59,35744,NA,1896227
2001,22,Chaco,NEA,Varón,60 a 69,23758,NA,1360347
2001,22,Chaco,NEA,Varón,70 a 79,12597,NA,769536
2001,22,Chaco,NEA,Varón,80+,3872,NA,329851
2001,26,Chubut,Patagonia Sur,Mujer,30 a 39,28867,NA,2948351
2001,26,Chubut,Patagonia Sur,Mujer,40 a 49,24886,NA,2333346
2001,26,Chubut,Patagonia Sur,Mujer,50 a 59,17278,NA,2043266
2001,26,Chubut,Patagonia Sur,Mujer,60 a 69,11866,NA,1572788
2001,26,Chubut,Patagonia Sur,Mujer,70 a 79,7178,NA,1067525
2001,26,Chubut,Patagonia Sur,Mujer,80+,2903,NA,671649
2001,26,Chubut,Patagonia Sur,Varón,30 a 39,29643,NA,2875168
2001,26,Chubut,Patagonia Sur,Varón,40 a 49,25423,NA,2226600
2001,26,Chubut,Patagonia Sur,Varón,50 a 59,17846,NA,1896227
2001,26,Chubut,Patagonia Sur,Varón,60 a 69,11507,NA,1360347
2001,26,Chubut,Patagonia Sur,Varón,70 a 79,5974,NA,769536
2001,26,Chubut,Patagonia Sur,Varón,80+,1674,NA,329851
2001,30,Entre Ríos,Centro,Mujer,30 a 39,72932,NA,2948351
