anio,region_deis,sexo,grupo_edad10,pob_proy,proy_pob,pob_est_2010
2001,Centro,Mujer,30 a 39,1609002,NA,2948351
2001,Centro,Mujer,40 a 49,1486496,NA,2333346
2001,Centro,Mujer,50 a 59,1266740,NA,2043266
2001,Centro,Mujer,60 a 69,1026085,NA,1572788
2001,Centro,Mujer,70 a 79,813308,NA,1067525
2001,Centro,Mujer,80+,369432,NA,671649
2001,Centro,Varón,30 a 39,1602939,NA,2875168
2001,Centro,Varón,40 a 49,1387855,NA,2226600
2001,Centro,Varón,50 a 59,1150773,NA,1896227
2001,Centro,Varón,60 a 69,843058,NA,1360347
2001,Centro,Varón,70 a 79,543515,NA,769536
2001,Centro,Varón,80+,173901,NA,329851
2001,Cuyo,Mujer,30 a 39,182538,NA,2948351
2001,Cuyo,Mujer,40 a 49,166231,NA,2333346
2001,Cuyo,Mujer,50 a 59,134777,NA,2043266
2001,Cuyo,Mujer,60 a 69,97877,NA,1572788
2001,Cuyo,Mujer,70 a 79,68247,NA,1067525
2001,Cuyo,Mujer,80+,26820,NA,671649
2001,Cuyo,Varón,30 a 39,178667,NA,2875168
2001,Cuyo,Varón,40 a 49,155294,NA,2226600
2001,Cuyo,Varón,50 a 59,125471,NA,1896227
2001,Cuyo,Varón,60 a 69,85304,NA,1360347
2001,Cuyo,Varón,70 a 79,51883,NA,769536
2001,Cuyo,Varón,80+,15617,NA,329851
2001,NEA,Mujer,30 a 39,205848,NA,2948351
2001,NEA,Mujer,40 a 49,174588,NA,2333346
2001,NEA,Mujer,50 a 59,116966,NA,2043266
2001,NEA,Mujer,60 a 69,86595,NA,1572788
2001,NEA,Mujer,70 a 79,51947,NA,1067525
2001,NEA,Mujer,80+,20414,NA,671649
2001,NEA,Varón,30 a 39,203912,NA,2875168
2001,NEA,Varón,40 a 49,176493,NA,2226600
2001,NEA,Varón,50 a 59,121095,NA,1896227
2001,NEA,Varón,60 a 69,80361,NA,1360347
2001,NEA,Varón,70 a 79,43152,NA,769536
2001,NEA,Varón,80+,13791,NA,329851
2001,NOA1,Mujer,30 a 39,186692,NA,2948351
2001,NOA1,Mujer,40 a 49,164099,NA,2333346
2001,NOA1,Mujer,50 a 59,117728,NA,2043266
2001,NOA1,Mujer,60 a 69,83574,NA,1572788
2001,NOA1,Mujer,70 a 79,53378,NA,1067525
2001,NOA1,Mujer,80+,20176,NA,671649
2001,NOA1,Varón,30 a 39,183012,NA,2875168
2001,NOA1,Varón,40 a 49,155973,NA,2226600
2001,NOA1,Varón,50 a 59,113819,NA,1896227
2001,NOA1,Varón,60 a 69,75323,NA,1360347
2001,NOA1,Varón,70 a 79,43036,NA,769536
2001,NOA1,Varón,80+,12773,NA,329851
2001,NOA2,Mujer,30 a 39,65041,NA,2948351
2001,NOA2,Mujer,40 a 49,56360,NA,2333346
2001,NOA2,Mujer,50 a 59,41617,NA,2043266
2001,NOA2,Mujer,60 a 69,31562,NA,1572788
2001,NOA2,Mujer,70 a 79,21404,NA,1067525
2001,NOA2,Mujer,80+,9226,NA,671649
2001,NOA2,Varón,30 a 39,67380,NA,2875168
2001,NOA2,Varón,40 a 49,57607,NA,2226600
2001,NOA2,Varón,50 a 59,42987,NA,1896227
2001,NOA2,Varón,60 a 69,28740,NA,1360347
2001,NOA2,Varón,70 a 79,16623,NA,769536
2001,NOA2,Varón,80+,6110,NA,329851
2001,Patagonia Norte,Mujer,30 a 39,93924,NA,2948351
2001,Patagonia Norte,Mujer,40 a 49,80136,NA,2333346
2001,Patagonia Norte,Mujer,50 a 59,57529,NA,2043266
2001,Patagonia Norte,Mujer,60 a 69,39112,NA,1572788
2001,Patagonia Norte,Mujer,70 a 79,24870,NA,1067525
2001,Patagonia Norte,Mujer,80+,10708,NA,671649
2001,Patagonia Norte,Varón,30 a 39,93246,NA,2875168
2001,Patagonia Norte,Varón,40 a 49,80136,NA,2226600
2001,Patagonia Norte,Varón,50 a 59,59158,NA,1896227
2001,Patagonia Norte,Varón,60 a 69,37944,NA,1360347
2001,Patagonia Norte,Varón,70 a 79,20113,NA,769536
2001,Patagonia Norte,Varón,80+,6310,NA,329851
2001,Patagonia Sur,Mujer,30 a 39,52042,NA,2948351
2001,Patagonia Sur,Mujer,40 a 49,43151,NA,2333346
2001,Patagonia Sur,Mujer,50 a 59,27404,NA,2043266
2001,Patagonia Sur,Mujer,60 a 69,18116,NA,1572788
2001,Patagonia Sur,Mujer,70 a 79,10309,NA,1067525
2001,Patagonia Sur,Mujer,80+,3924,NA,671649
2001,Patagonia Sur,Varón,30 a 39,53959,NA,2875168
2001,Patagonia Sur,Varón,40 a 49,46066,NA,2226600
2001,Patagonia Sur,Varón,50 a 59,29513,NA,1896227
2001,Patagonia Sur,Varón,60 a 69,18147,NA,1360347
2001,Patagonia Sur,Varón,70 a 79,8857,NA,769536
2001,Patagonia Sur,Varón,80+,2337,NA,329851
2005,Centro,Mujer,30 a 39,1722668,NA,2948351
2005,Centro,Mujer,40 a 49,1512669,NA,2333346
2005,Centro,Mujer,50 a 59,1351604,NA,2043266
2005,Centro,Mujer,60 a 69,1056310,NA,1572788
2005,Centro,Mujer,70 a 79,835973,NA,1067525
2005,Centro,Mujer,80+,433569,NA,671649
2005,Centro,Varón,30 a 39,1724380,NA,2875168
2005,Centro,Varón,40 a 49,1430517,NA,2226600
2005,Centro,Varón,50 a 59,1214319,NA,1896227
2005,Centro,Varón,60 a 69,875942,NA,1360347
2005,Centro,Varón,70 a 79,555673,NA,769536
2005,Centro,Varón,80+,199563,NA,329851
2005,Cuyo,Mujer,30 a 39,200398,NA,2948351
2005,Cuyo,Mujer,40 a 49,171397,NA,2333346
2005,Cuyo,Mujer,50 a 59,149784,NA,2043266
2005,Cuyo,Mujer,60 a 69,106172,NA,1572788
2005,Cuyo,Mujer,70 a 79,73930,NA,1067525
2005,Cuyo,Mujer,80+,32433,NA,671649
2005,Cuyo,Varón,30 a 39,198259,NA,2875168
2005,Cuyo,Varón,40 a 49,161751,NA,2226600
2005,Cuyo,Varón,50 a 59,138956,NA,1896227
2005,Cuyo,Varón,60 a 69,93073,NA,1360347
2005,Cuyo,Varón,70 a 79,56249,NA,769536
2005,Cuyo,Varón,80+,19252,NA,329851
2005,NEA,Mujer,30 a 39,213078,NA,2948351
2005,NEA,Mujer,40 a 49,189266,NA,2333346
2005,NEA,Mujer,50 a 59,135724,NA,2043266
2005,NEA,Mujer,60 a 69,92279,NA,1572788
2005,NEA,Mujer,70 a 79,58784,NA,1067525
2005,NEA,Mujer,80+,22691,NA,671649
2005,NEA,Varón,30 a 39,209149,NA,2875168
2005,NEA,Varón,40 a 49,189232,NA,2226600
2005,NEA,Varón,50 a 59,141055,NA,1896227
2005,NEA,Varón,60 a 69,85841,NA,1360347
2005,NEA,Varón,70 a 79,47853,NA,769536
2005,NEA,Varón,80+,14694,NA,329851
2005,NOA1,Mujer,30 a 39,203325,NA,2948351
2005,NOA1,Mujer,40 a 49,171162,NA,2333346
2005,NOA1,Mujer,50 a 59,137652,NA,2043266
2005,NOA1,Mujer,60 a 69,88656,NA,1572788
2005,NOA1,Mujer,70 a 79,59764,NA,1067525
2005,NOA1,Mujer,80+,23488,NA,671649
2005,NOA1,Varón,30 a 39,201036,NA,2875168
2005,NOA1,Varón,40 a 49,163050,NA,2226600
2005,NOA1,Varón,50 a 59,131935,NA,1896227
2005,NOA1,Varón,60 a 69,80782,NA,1360347
2005,NOA1,Varón,70 a 79,47211,NA,769536
2005,NOA1,Varón,80+,14322,NA,329851
2005,NOA2,Mujer,30 a 39,73202,NA,2948351
2005,NOA2,Mujer,40 a 49,59789,NA,2333346
2005,NOA2,Mujer,50 a 59,47361,NA,2043266
2005,NOA2,Mujer,60 a 69,33230,NA,1572788
2005,NOA2,Mujer,70 a 79,22617,NA,1067525
2005,NOA2,Mujer,80+,9348,NA,671649
2005,NOA2,Varón,30 a 39,75861,NA,2875168
2005,NOA2,Varón,40 a 49,61196,NA,2226600
2005,NOA2,Varón,50 a 59,49611,NA,1896227
2005,NOA2,Varón,60 a 69,30903,NA,1360347
2005,NOA2,Varón,70 a 79,17962,NA,769536
2005,NOA2,Varón,80+,5953,NA,329851
2005,Patagonia Norte,Mujer,30 a 39,99028,NA,2948351
2005,Patagonia Norte,Mujer,40 a 49,86407,NA,2333346
2005,Patagonia Norte,Mujer,50 a 59,66298,NA,2043266
2005,Patagonia Norte,Mujer,60 a 69,44029,NA,1572788
2005,Patagonia Norte,Mujer,70 a 79,28294,NA,1067525
2005,Patagonia Norte,Mujer,80+,12622,NA,671649
2005,Patagonia Norte,Varón,30 a 39,98326,NA,2875168
2005,Patagonia Norte,Varón,40 a 49,85124,NA,2226600
2005,Patagonia Norte,Varón,50 a 59,66188,NA,1896227
2005,Patagonia Norte,Varón,60 a 69,42813,NA,1360347
2005,Patagonia Norte,Varón,70 a 79,22877,NA,769536
2005,Patagonia Norte,Varón,80+,7505,NA,329851
2005,Patagonia Sur,Mujer,30 a 39,56124,NA,2948351
2005,Patagonia Sur,Mujer,40 a 49,48058,NA,2333346
2005,Patagonia Sur,Mujer,50 a 59,33037,NA,2043266
2005,Patagonia Sur,Mujer,60 a 69,20447,NA,1572788
2005,Patagonia Sur,Mujer,70 a 79,12036,NA,1067525
2005,Patagonia Sur,Mujer,80+,4625,NA,671649
2005,Patagonia Sur,Varón,30 a 39,56835,NA,2875168
2005,Patagonia Sur,Varón,40 a 49,50695,NA,2226600
2005,Patagonia Sur,Varón,50 a 59,34473,NA,1896227
2005,Patagonia Sur,Varón,60 a 69,20123,NA,1360347
2005,Patagonia Sur,Varón,70 a 79,9905,NA,769536
2005,Patagonia Sur,Varón,80+,2743,NA,329851
2009,Centro,Mujer,30 a 39,NA,1882652,2948351
2009,Centro,Mujer,40 a 49,NA,1555688,2333346
2009,Centro,Mujer,50 a 59,NA,1379296,2043266
