anio_enfr,region_deis,sexo,grupo_edad_10,proy_pob,dm_total,dm_total_se,dm2_total,dm2_total_se,dm2_prev,dm2_prev_se,dm2_prev_cv,defun_n,defun_mean,defun_se,ex,fwd,AVP,AVP_inf,AVP_sup,AVD,AVD_inf,AVD_sup,AVAD,AVAD_inf,AVAD_sup,AVP_tasa,AVP_tasa_inf,AVP_tasa_sup,AVD_tasa,AVD_tasa_inf,AVD_tasa_sup,AVAD_tasa,AVAD_tasa_inf,AVAD_tasa_sup
2005,Centro,Mujer,30 a 39,1722668,115928,21234.1878268823,104335.2,19110.7690442072,0.0588469992233463,0.0104077945368766,0.176861941547352,43,2.86666666666667,0.977525219907679,50.7150874845366,0.0643872796179425,144.856228444919,47.9670264400239,242.141580309954,6695.5575572472,4312.64712412965,9125.9401601598,6846.09905074062,4457.50158022065,9268.43127669942,8.40883028215067,2.78446145397859,14.0561954079343,388.673705975104,250.34696901142,529.756178216569,397.412562997665,258.755696409328,538.02771495723
2005,Centro,Mujer,40 a 49,1512669,70617,14915.0821737475,63555.3,13423.5739563599,0.0444277684300445,0.00919954083855744,0.207067362679783,154,10.2666666666667,1.84992492340155,46.1550939869203,0.0607444624951787,472.908906684993,307.500015970961,638.340487913477,3862.61633455247,2249.7607347786,5452.884898128,4333.31233433682,2718.66855930141,5936.00576793568,31.2632113624985,20.328308173894,42.1996145827988,255.35106057918,148.727893199279,360.481037036391,286.467980393385,179.726599758534,392.41934408226
2005,Centro,Mujer,50 a 59,1351604,148232,24364.750384342,133408.8,21928.2753459365,0.105602332913538,0.0162478294979301,0.15385862271843,544,36.2666666666667,3.47690794944141,41.9936509794637,0.095738854348258,1526.1573777497,1238.13440306193,1814.86428746141,12797.2426958423,8690.00607998103,16996.1378532755,14315.8470920824,10185.4157998978,18533.1845147509,112.91453545193,91.6048193895498,134.274853245582,946.818942222895,642.940245810239,1257.47910284932,1059.17466151938,753.579879898094,1371.19929467144
2005,Centro,Mujer,60 a 69,1056310,204704,28383.0381472403,184233.6,25544.7343325389,0.186749110518687,0.0223988371819847,0.119940797146358,1455,97,5.68624070307733,38.7722836625193,0.141268066304241,3761.63473901031,3326.21961192976,4178.76226720452,26071.1949174256,18874.682952194,33155.8389216821,29817.9770499243,22614.4381223445,36912.2449524208,356.11087076808,314.89047835671,395.599991215128,2468.13860679399,1786.85073058042,3138.83603503537,2822.84339350421,2140.89028053739,3494.45190828647
2005,Centro,Mujer,70 a 79,835973,118188,19567.8564459695,106369.2,17611.0708013787,0.143538880072546,0.0213323985415518,0.148617562926297,2540,169.333333333333,7.5129517797231,37.9917924303777,0.184921326838426,6434.82143966336,5877.8833646885,6998.3152751772,19648.2836428238,13372.2623511007,25873.5734856898,26063.2115005433,19716.8346881756,32342.6254687282,769.74034324833,703.118804637052,837.146089069528,2350.34907142022,1599.60457468132,3095.02501703881,3117.70972274742,2358.54922206525,3868.86005513673
2005,Centro,Mujer,80+,433569,45507,11123.4138892232,40956.3,10011.0725002929,0.115775235543042,0.0263347864458088,0.227464762410423,3146,209.733333333333,8.36128645072701,27.6229305313704,0.199850784311032,5795.97893626124,5347.30703299314,6250.40564843736,8197.064527736,4305.26636647422,11979.4652084743,13996.0276736336,10062.091073787,17798.1425303649,1336.80658355677,1233.32319261597,1441.61728546952,1890.60207896229,992.982977674655,2762.98933006609,3228.09695195772,2320.7588812362,4105.03115544812
2005,Centro,Varón,30 a 39,1724380,56526,13194.75873404,50873.4,11875.2828606468,0.0361108764766885,0.00828961331322912,0.229560014102136,47,3.13333333333333,1.02198064778373,45.3386501397284,0.016576188398,141.827039957075,52.427024175983,235.374388950885,843.21251348362,451.716631168852,1238.46761589207,984.663883026907,584.452561663404,1385.99518076127,8.2248135536874,3.04034053839542,13.6497981274943,48.8994602978242,26.1958867053,71.8210380479981,57.1024880262417,33.8934899304912,80.3764356325907
2005,Centro,Varón,40 a 49,1430517,79343,19521.201155627,71408.7,17569.0810400689,0.0545224029997412,0.0129088657593619,0.236762597558716,223,14.8666666666667,2.2261077142752,41.0383393552881,0.0872595074687928,607.966861148381,430.937950140483,791.424752438756,6262.11647025906,3269.15036839305,9249.66961162854,6870.93725293489,3861.1938322465,9859.88794535085,42.4997998030349,30.1246297765411,55.3243863888899,437.751978498617,228.529291745086,646.596273349323,480.31147151239,269.915969698123,689.253461884819
2005,Centro,Varón,50 a 59,1214319,154175,24540.3993509872,138757.5,22086.3594158926,0.116376154368084,0.0175372389662795,0.150694436171273,940,62.6666666666667,4.57043640026736,37.2275117125716,0.149790434322404,2333.47536218438,1996.57403694212,2662.00401474539,20870.501727767,14297.7438398757,27339.2002778133,23211.516721953,16616.1061600558,29638.104507986,192.163291703776,164.419237197319,219.217850889708,1718.7000885078,1177.42898199531,2251.40183739308,1911.4842740625,1368.34770435576,2440.71817273599
2005,Centro,Varón,60 a 69,875942,185628,25507.7555205538,167065.2,22956.9799685253,0.186028167257567,0.0228650630343203,0.122911833037963,2136,142.4,6.88960569747403,35.0931757395918,0.20417545409127,4999.3091307881,4521.91385936683,5474.28384619063,34128.4494518719,24843.0854450301,43367.2489269979,39128.8865107365,29896.8032997919,48375.6017061157,570.735177761553,516.234392159165,624.959625887402,3896.19968580932,2836.15644015587,4950.92699368199,4467.06363100942,3413.1030707275,5522.6946197483
