anio,sexo,grupo_edad_10,comp_tipo,comp_qualidiab,comp_frec,dw
2005,Mujer,10 a 19,,Sin complicaciones,1,0.0490114147
2005,Mujer,20 a 29,macrovascular,ACV,0.166666666666667,0.403952630975241
2005,Mujer,20 a 29,,Sin complicaciones,0.833333333333333,0.0490114147
2005,Mujer,20 a 29,macrovascular,IAM,0.166666666666667,0.25318521505
2005,Mujer,30 a 39,,Sin complicaciones,0.935483870967742,0.0490114147
2005,Mujer,30 a 39,microvascular,Nefropatía,0.032258064516129,0.242893275079427
2005,Mujer,30 a 39,microvascular,Neuropatía periférica,0.032258064516129,0.133189991499999
2005,Mujer,30 a 39,microvascular,Retinopatía proliferativa,0.032258064516129,0.1840484878
2005,Mujer,40 a 49,,Sin complicaciones,0.805825242718447,0.0490114147
2005,Mujer,40 a 49,microvascular,Ceguera,0.00970873786407767,0.1873645834
2005,Mujer,40 a 49,macrovascular,Claudicación miembros inferiores,0.0194174757281553,0.0141852508
2005,Mujer,40 a 49,macrovascular,IAM,0.00970873786407767,0.25318521505
2005,Mujer,40 a 49,microvascular,Nefropatía,0.0388349514563107,0.242893275079427
2005,Mujer,40 a 49,microvascular,Neuropatía periférica,0.0970873786407767,0.133189991499999
2005,Mujer,40 a 49,microvascular,Retinopatía no proliferativa,0.0679611650485437,0.1074453071
2005,Mujer,40 a 49,microvascular,Retinopatía proliferativa,0.0194174757281553,0.1840484878
2005,Mujer,50 a 59,macrovascular,ACV,0.00854700854700855,0.403952630975241
2005,Mujer,50 a 59,,Sin complicaciones,0.722222222222222,0.0490114147
2005,Mujer,50 a 59,microvascular,Amputación,0.0128205128205128,0.224603255005897
2005,Mujer,50 a 59,macrovascular,Claudicación miembros inferiores,0.0299145299145299,0.0141852508
2005,Mujer,50 a 59,macrovascular,IAM,0.0256410256410256,0.25318521505
2005,Mujer,50 a 59,microvascular,Nefropatía,0.094017094017094,0.242893275079427
2005,Mujer,50 a 59,microvascular,Neuropatía periférica,0.106837606837607,0.133189991499999
2005,Mujer,50 a 59,microvascular,Retinopatía no proliferativa,0.0726495726495727,0.1074453071
2005,Mujer,50 a 59,microvascular,Retinopatía proliferativa,0.00854700854700855,0.1840484878
2005,Mujer,60 a 69,macrovascular,ACV,0.0123456790123457,0.403952630975241
2005,Mujer,60 a 69,,Sin complicaciones,0.699588477366255,0.0490114147
2005,Mujer,60 a 69,microvascular,Amputación,0.00823045267489712,0.224603255005897
2005,Mujer,60 a 69,microvascular,Ceguera,0.00411522633744856,0.1873645834
2005,Mujer,60 a 69,macrovascular,Claudicación miembros inferiores,0.0823045267489712,0.0141852508
2005,Mujer,60 a 69,macrovascular,IAM,0.0205761316872428,0.25318521505
2005,Mujer,60 a 69,microvascular,Nefropatía,0.123456790123457,0.242893275079427
2005,Mujer,60 a 69,microvascular,Neuropatía periférica,0.111111111111111,0.133189991499999
2005,Mujer,60 a 69,microvascular,Retinopatía no proliferativa,0.0864197530864198,0.1074453071
2005,Mujer,60 a 69,microvascular,Retinopatía proliferativa,0.0288065843621399,0.1840484878
2005,Mujer,70 a 79,macrovascular,ACV,0.0217391304347826,0.403952630975241
2005,Mujer,70 a 79,,Sin complicaciones,0.532608695652174,0.0490114147
2005,Mujer,70 a 79,microvascular,Amputación,0.0217391304347826,0.224603255005897
2005,Mujer,70 a 79,microvascular,Ceguera,0.0217391304347826,0.1873645834
2005,Mujer,70 a 79,macrovascular,Claudicación miembros inferiores,0.0978260869565217,0.0141852508
2005,Mujer,70 a 79,macrovascular,IAM,0.0217391304347826,0.25318521505
2005,Mujer,70 a 79,microvascular,Nefropatía,0.108695652173913,0.242893275079427
2005,Mujer,70 a 79,microvascular,Neuropatía periférica,0.25,0.133189991499999
2005,Mujer,70 a 79,microvascular,Retinopatía no proliferativa,0.152173913043478,0.1074453071
2005,Mujer,70 a 79,microvascular,Retinopatía proliferativa,0.0543478260869565,0.1840484878
2005,Mujer,80+,macrovascular,ACV,0.0769230769230769,0.403952630975241
2005,Mujer,80+,,Sin complicaciones,0.384615384615385,0.0490114147
2005,Mujer,80+,microvascular,Ceguera,0.0769230769230769,0.1873645834
2005,Mujer,80+,microvascular,Nefropatía,0.153846153846154,0.242893275079427
2005,Mujer,80+,microvascular,Neuropatía periférica,0.230769230769231,0.133189991499999
2005,Mujer,80+,microvascular,Retinopatía no proliferativa,0.307692307692308,0.1074453071
2005,Varón,20 a 29,,Sin complicaciones,1,0.0490114147
2005,Varón,30 a 39,macrovascular,ACV,0.0416666666666667,0.403952630975241
2005,Varón,30 a 39,,Sin complicaciones,0.791666666666667,0.0490114147
2005,Varón,30 a 39,macrovascular,Claudicación miembros inferiores,0.0416666666666667,0.0141852508
2005,Varón,30 a 39,microvascular,Disfunción eréctil,0.0416666666666667,0.133189991499999
2005,Varón,30 a 39,macrovascular,IAM,0.0416666666666667,0.25318521505
2005,Varón,30 a 39,microvascular,Nefropatía,0.0416666666666667,0.242893275079427
2005,Varón,40 a 49,,Sin complicaciones,0.722222222222222,0.0490114147
2005,Varón,40 a 49,microvascular,Amputación,0.00925925925925926,0.224603255005897
2005,Varón,40 a 49,microvascular,Ceguera,0.0185185185185185,0.1873645834
2005,Varón,40 a 49,macrovascular,Claudicación miembros inferiores,0.0462962962962963,0.0141852508
2005,Varón,40 a 49,microvascular,Disfunción eréctil,0.157407407407407,0.133189991499999
2005,Varón,40 a 49,macrovascular,IAM,0.00925925925925926,0.25318521505
2005,Varón,40 a 49,microvascular,Nefropatía,0.037037037037037,0.242893275079427
2005,Varón,40 a 49,microvascular,Neuropatía periférica,0.0925925925925926,0.133189991499999
2005,Varón,40 a 49,microvascular,Retinopatía no proliferativa,0.0277777777777778,0.1074453071
2005,Varón,50 a 59,macrovascular,ACV,0.0217391304347826,0.403952630975241
2005,Varón,50 a 59,,Sin complicaciones,0.572463768115942,0.0490114147
2005,Varón,50 a 59,microvascular,Amputación,0.0217391304347826,0.224603255005897
2005,Varón,50 a 59,microvascular,Ceguera,0.0108695652173913,0.1873645834
2005,Varón,50 a 59,macrovascular,Claudicación miembros inferiores,0.0398550724637681,0.0141852508
2005,Varón,50 a 59,microvascular,Disfunción eréctil,0.192028985507246,0.133189991499999
2005,Varón,50 a 59,macrovascular,IAM,0.0507246376811594,0.25318521505
2005,Varón,50 a 59,microvascular,Nefropatía,0.0978260869565217,0.242893275079427
2005,Varón,50 a 59,microvascular,Neuropatía periférica,0.173913043478261,0.133189991499999
2005,Varón,50 a 59,microvascular,Retinopatía no proliferativa,0.0579710144927536,0.1074453071
